BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.74	76.20	74.31	35.71
0.59	62.33	76.13	45.16
0.22	37.89	67.47	48.89
0.00	17.22	59.31	60.87
0.36	33.49	58.35	57.78
0.24	26.49	44.54	66.67
0.00	31.61	50.80	52.63
0.17	25.86	55.06	68.97
0.00	12.96	43.23	87.50
0.00	26.43	57.05	57.14
0.55	62.27	78.15	37.84
0.69	68.99	87.89	14.29
0.29	40.71	60.87	62.30
0.00	12.85	45.16	69.23
0.48	40.05	66.60	53.85
0.00	6.69	39.01	61.54
0.29	39.60	67.93	37.04
0.17	19.51	51.07	80.65
0.00	18.21	60.71	73.68
0.41	42.95	69.80	40.00
0.35	32.47	73.18	33.33
0.24	29.40	64.52	53.06
0.19	23.65	57.07	60.71
0.00	27.13	59.70	64.00
0.28	34.56	57.98	63.64
0.39	43.67	67.86	41.79
0.30	33.09	54.50	45.71
0.00	35.49	71.50	42.86
0.00	13.02	46.48	80.00
0.00	14.61	45.49	78.38
0.21	26.29	43.21	66.67
0.15	23.64	47.74	79.31
0.00	29.45	61.06	71.70
0.20	33.65	50.24	51.85
0.00	7.66	39.16	88.89
0.00	4.84	47.79	85.71
0.00	6.79	26.64	80.00
0.00	17.58	57.79	54.55
0.00	33.28	45.65	47.06
0.00	27.05	72.60	26.67
0.29	33.00	51.08	50.00
0.00	5.77	46.84	90.00
0.30	36.85	55.51	56.41
0.35	34.17	69.75	30.00
0.00	10.16	43.02	83.87
0.21	24.48	53.66	71.11
0.11	16.07	45.15	90.91
0.42	53.32	69.60	56.60
0.12	17.85	45.22	85.71
0.58	56.33	81.14	32.00
0.00	5.22	27.24	87.18
0.25	34.23	57.12	55.81
0.84	84.09	78.63	35.29
0.76	80.94	86.42	14.29
0.00	13.34	48.14	68.29
0.37	41.34	62.42	68.00
0.00	15.31	52.20	66.67
0.39	44.83	46.90	34.78
0.00	6.07	46.71	97.30
0.00	9.64	47.12	81.08
0.14	18.31	40.63	73.33
0.00	17.49	54.60	58.33
0.68	72.52	89.49	20.51
0.00	23.55	38.46	73.47
0.00	10.55	11.59	82.35
0.22	33.96	56.10	54.55
0.20	24.11	54.79	64.15
0.46	41.20	58.46	47.46
0.16	16.97	41.65	77.27
0.29	34.78	51.92	57.78
0.25	36.73	69.88	62.07
0.24	31.21	53.95	60.61
0.36	38.62	56.86	66.67
0.50	56.34	62.35	36.36
0.42	41.15	63.74	34.78
0.00	13.60	43.37	50.00
0.58	60.55	69.03	35.00
0.00	8.77	36.38	86.67
0.41	47.24	60.49	48.72
0.49	55.84	76.89	31.82
0.36	34.79	65.61	60.87
0.28	31.69	57.21	60.71
0.00	21.69	57.98	75.00
0.00	45.83	61.53	40.00
0.00	10.21	47.85	87.80
0.15	16.28	52.80	71.79
0.81	70.71	82.89	15.38
0.16	20.91	62.60	71.64
0.59	59.69	86.36	13.33
0.49	54.45	86.29	27.59
0.00	12.55	48.69	62.50
0.24	32.59	62.03	41.38
0.00	50.00	70.15	13.33
0.00	6.84	56.24	100.00
0.00	14.92	66.11	55.56
0.00	19.67	64.21	60.87
0.00	27.09	47.31	66.67
0.51	44.06	77.77	30.30
0.18	16.31	56.34	73.68
0.57	62.73	82.58	34.48
0.00	36.16	83.65	32.00
0.55	56.27	62.57	47.06
0.00	21.28	56.42	88.00
0.47	51.55	64.93	46.15
0.00	24.05	45.75	69.23
0.00	8.69	43.66	77.19
0.38	50.41	66.04	47.37
0.00	35.40	67.07	43.48
0.40	58.21	57.89	52.46
0.32	34.85	52.41	53.33
0.00	12.46	37.88	64.52
0.43	46.05	58.23	46.15
0.32	43.52	57.33	51.38
0.26	48.79	65.35	54.29
0.38	49.70	63.40	43.14
0.51	54.14	75.43	28.57
0.23	27.09	49.24	55.32
0.47	50.14	69.43	42.86
0.37	39.51	62.08	46.88
0.30	40.16	56.98	73.68
0.32	35.77	53.09	58.82
0.33	43.93	62.33	46.15
0.39	42.62	62.84	47.22
0.48	54.15	72.40	40.82
0.45	53.17	59.99	41.51
0.56	62.15	56.79	57.14
0.28	41.33	54.97	63.16
0.35	54.55	57.52	48.28
0.00	27.39	66.31	38.46
0.43	49.50	70.29	32.26
0.46	52.98	65.67	50.00
0.59	63.40	76.92	18.18
0.00	15.07	50.15	68.57
0.48	53.02	72.42	34.29
0.20	36.18	56.01	60.38
0.52	61.32	71.10	40.00
0.69	72.17	72.56	35.82
0.88	89.10	91.39	12.50
0.00	26.51	49.69	64.71
0.72	72.10	85.40	17.65
0.29	34.46	69.98	50.00
0.48	54.13	80.09	33.90
0.59	60.76	69.18	29.09
0.80	83.05	81.53	14.46
0.44	40.11	73.46	42.86
0.28	33.15	69.58	60.61
0.14	19.47	54.55	69.39
0.89	88.57	92.63	12.90
0.00	18.95	39.14	57.14
0.15	22.87	52.70	63.41
0.47	55.01	64.56	33.33
0.39	45.09	69.61	45.07
0.55	59.62	68.04	35.90
0.29	32.69	61.17	50.70
0.37	45.02	62.72	50.00
0.39	44.16	61.69	58.14
0.00	13.67	46.63	90.00
0.39	49.53	66.99	49.12
0.36	31.24	71.92	36.84
0.43	50.35	65.21	43.08
0.38	47.75	43.69	63.16
0.91	91.74	90.32	5.41
0.32	29.98	67.18	50.00
0.28	26.29	68.28	43.33
0.63	66.43	83.85	25.53
0.49	57.15	74.45	35.00
0.21	24.74	49.90	55.56
0.28	22.64	41.12	55.17
0.00	15.13	48.60	53.85
0.80	80.34	91.59	11.76
0.58	58.09	76.58	30.51
0.39	47.90	72.67	36.84
0.84	86.56	90.47	5.56
0.38	46.24	61.89	47.06
0.52	55.48	75.83	35.56
0.49	50.67	62.93	32.00
0.48	80.34	86.34	30.77
0.18	17.12	40.57	71.43
0.35	51.88	72.42	25.81
0.00	12.49	46.22	75.86
0.55	59.15	74.00	25.00
0.50	53.74	77.14	31.37
0.85	86.76	88.17	8.70
0.47	50.35	60.07	26.67
0.34	33.91	77.83	48.98
0.48	51.32	69.83	36.36
0.43	44.68	69.25	30.43
0.21	29.17	52.76	58.82
0.40	42.89	64.65	53.12
0.28	33.49	66.13	41.18
0.39	52.04	69.94	29.79
0.32	54.03	61.95	60.61
0.00	21.34	52.86	64.00
0.00	39.67	73.17	50.00
0.23	38.41	54.74	67.69
0.00	13.21	65.08	66.67
0.18	27.50	60.69	73.17
0.00	21.02	46.44	61.54
0.31	41.02	59.46	54.17
0.00	13.72	45.54	53.66
0.00	13.45	49.81	64.52
0.51	58.45	70.62	33.96
0.00	14.98	52.05	85.71
0.00	13.68	48.87	66.67
0.00	21.27	44.37	66.67
0.00	12.68	40.20	81.16
0.24	29.18	46.98	66.67
0.13	17.85	37.52	71.43
0.00	11.99	51.75	77.42
0.14	21.96	44.98	66.67
0.32	38.06	54.23	40.00
0.13	16.93	44.98	62.50
0.52	59.98	54.00	43.75
0.19	25.86	52.88	62.50
0.00	12.09	39.04	97.78
0.00	15.68	43.21	75.00
0.12	16.26	42.81	68.66
0.00	19.72	62.54	25.00
0.37	39.77	57.95	60.00
0.00	9.74	34.69	75.00
0.00	21.14	44.50	81.69
0.32	34.52	55.39	56.18
0.16	21.57	46.25	75.86
0.26	35.55	50.68	50.00
0.00	14.24	40.64	60.47
0.00	16.23	41.65	87.50
0.00	5.37	22.13	85.00
0.00	11.59	51.84	66.67
0.47	56.43	62.01	57.89
0.24	36.40	59.89	43.24
0.00	51.29	64.70	54.55
0.23	24.02	54.26	58.33
0.31	41.44	41.97	61.11
0.46	54.82	75.32	26.67
0.37	58.77	53.00	50.00
0.00	20.56	51.62	116.67
0.28	31.04	53.00	72.00
0.50	58.88	84.40	38.46
0.00	26.58	51.18	59.26
0.29	64.17	76.05	44.44
0.00	13.83	44.13	105.88
0.00	17.43	42.13	65.00
0.23	42.46	61.59	50.00
0.00	24.74	48.09	72.73
0.00	11.39	44.95	70.00
0.42	50.39	67.68	32.00
0.00	19.64	58.29	46.15
0.23	29.88	52.13	65.57
0.00	100.00	100.00	0.00
0.27	52.45	63.77	40.00
0.35	43.67	75.19	28.57
0.48	57.95	61.95	47.50
0.34	49.72	57.88	57.83
0.00	6.27	27.66	81.82
0.00	23.69	52.40	66.67
0.20	24.18	47.97	66.67
0.19	30.93	55.31	67.69
0.00	16.33	50.30	76.19
0.14	25.07	37.25	62.22
0.35	42.39	63.83	30.00
0.00	13.22	37.14	65.22
0.41	38.10	56.06	43.48
0.32	32.04	45.71	60.47
0.36	47.28	52.07	48.78
0.00	8.53	33.76	75.00
0.18	22.42	54.67	106.67
0.00	9.86	36.07	80.00
0.00	21.65	37.79	75.86
0.00	7.77	46.68	100.00
0.42	48.98	58.83	56.25
0.00	13.95	50.44	64.52
0.27	28.10	59.28	43.48
0.20	21.25	49.54	82.35
0.18	33.37	67.41	58.33
0.25	29.17	56.15	54.55
0.00	15.19	40.49	93.33
0.22	24.44	60.19	66.67
0.00	11.60	55.33	93.33
0.44	52.08	68.26	42.11
0.00	6.80	51.85	74.29
0.00	23.36	71.36	31.58
0.27	40.16	63.58	48.98
0.31	40.11	62.60	43.90
0.28	34.96	60.34	53.66
0.45	59.23	74.59	31.58
0.29	35.07	61.24	60.00
0.00	22.31	62.46	69.57
0.28	30.23	61.32	71.43
0.00	12.26	59.51	62.50
0.19	29.41	49.81	64.20
0.00	14.06	54.07	62.50
0.00	26.75	53.34	57.89
0.26	30.96	45.33	60.61
0.00	3.10	41.03	87.50
0.56	63.75	57.44	40.00
0.00	14.56	54.75	69.57
0.00	25.95	55.11	36.36
0.00	21.72	55.40	63.64
0.00	20.28	52.40	61.54
0.24	31.70	50.99	53.57
0.17	25.54	50.97	62.22
0.23	35.07	76.40	52.63
0.17	27.58	52.86	64.52
0.00	20.64	43.86	72.22
0.18	32.40	54.75	58.70
1.00	100.00	100.00	0.00
0.60	71.67	84.51	17.14
0.76	74.68	92.35	20.00
0.69	74.19	83.04	30.77
0.29	37.84	60.54	51.85
0.00	10.09	46.21	71.43
0.74	77.60	81.18	23.08
0.98	98.16	93.99	6.67
0.00	27.30	76.85	46.15
0.40	58.70	80.03	26.32
0.00	29.85	69.95	37.50
0.24	32.59	67.13	75.00
0.38	42.40	71.66	45.83
0.79	72.93	86.84	20.00
0.40	45.02	67.39	50.00
0.32	46.51	68.53	43.24
0.30	43.73	60.32	66.67
0.58	67.04	82.06	21.05
0.41	43.72	74.80	48.48
0.00	14.58	45.78	71.43
0.00	18.04	45.42	50.00
0.39	52.69	74.36	44.44
0.41	45.45	61.92	48.57
0.00	17.49	57.77	66.67
0.55	61.37	76.16	26.32
0.51	56.87	68.37	30.43
0.00	11.38	40.42	72.34
0.21	29.54	66.05	40.00
0.43	48.93	64.78	49.12
0.00	50.81	100.00	40.00
0.00	4.03	43.59	88.00
0.00	22.04	52.03	64.20
0.25	35.40	46.13	48.48
0.00	12.18	57.94	66.67
0.00	24.55	60.08	52.63
0.00	11.43	52.55	68.57
0.23	36.91	61.10	32.73
0.14	22.09	47.95	55.38
0.52	57.33	68.99	45.61
0.00	53.34	59.31	60.87
0.39	46.70	72.80	42.55
0.43	50.90	64.13	50.00
0.38	49.83	72.61	42.31
0.00	19.13	64.51	28.57
0.51	54.27	64.84	41.67
0.25	34.10	67.06	36.73
0.00	18.13	52.29	77.78
0.58	66.78	70.09	50.00
0.16	22.22	59.64	66.67
0.47	54.32	78.00	39.44
0.00	15.19	45.98	87.50
0.36	46.43	73.82	36.84
0.31	41.05	65.15	58.06
0.55	59.23	82.80	27.27
0.43	44.53	54.26	46.15
0.46	54.07	83.23	25.53
0.00	19.35	40.01	81.82
0.28	33.23	61.66	55.56
0.28	35.22	69.35	81.25
0.00	16.66	43.28	69.57
0.00	14.34	61.96	63.16
0.24	34.81	66.17	48.98
0.00	39.80	74.05	46.15
0.20	24.19	55.20	71.15
0.55	59.15	79.27	33.33
0.00	13.26	36.48	71.43
0.24	30.62	47.23	58.33
0.36	42.46	60.15	55.17
0.00	9.94	46.03	86.96
0.19	29.09	62.53	55.00
0.00	40.00	71.68	58.06
0.41	41.28	61.45	43.04
0.69	72.46	80.75	20.51
0.00	27.41	48.92	75.00
0.54	56.79	81.36	22.22
0.21	28.34	56.87	75.47
0.21	29.95	47.09	60.00
0.60	96.22	71.34	30.77
0.18	37.42	64.07	74.07
0.19	28.20	56.73	68.85
0.42	63.94	59.67	57.14
0.15	21.34	38.12	70.77
0.00	8.51	56.85	75.86
0.24	36.28	55.48	49.18
0.00	11.46	47.11	70.18
0.14	29.12	49.54	65.57
0.22	24.01	47.93	73.68
0.26	45.08	59.93	54.05
0.30	39.76	51.93	57.69
0.43	48.41	55.11	53.85
0.46	48.53	59.73	46.51
0.40	50.06	73.34	46.15
0.00	5.61	18.13	93.02
0.00	14.95	49.44	76.19
0.24	28.88	52.33	67.65
0.00	27.61	50.92	66.67
0.44	49.53	64.30	52.05
0.38	48.84	62.22	52.78
0.00	9.87	45.05	92.68
0.00	12.77	49.10	64.15
0.00	16.21	59.25	113.04
0.09	11.79	49.63	70.59
0.41	44.83	69.63	38.46
0.18	32.33	57.53	60.71
0.19	25.54	49.72	70.10
0.00	13.89	52.44	44.44
0.32	35.56	60.77	35.00
0.00	27.04	53.04	66.67
0.42	45.24	75.22	47.62
0.30	37.60	75.86	66.67
0.25	32.51	68.33	35.00
0.42	37.60	66.54	80.00
0.45	53.83	67.42	42.42
0.60	57.67	81.14	27.27
0.00	32.52	58.19	70.59
0.41	45.77	52.52	53.33
0.00	26.21	54.72	36.36
0.43	50.22	73.09	41.10
0.52	60.75	61.63	47.06
0.32	31.36	43.99	69.23
0.39	43.15	58.96	32.26
0.00	23.07	31.33	56.25
0.78	79.69	86.72	15.38
0.00	7.15	57.14	71.43
0.30	34.79	44.15	76.19
0.33	36.31	63.95	52.17
0.18	29.70	57.24	69.09
0.00	18.71	40.16	75.76
0.28	30.11	60.18	68.42
0.30	34.96	60.52	59.57
0.27	35.61	36.54	64.41
0.43	44.90	61.93	50.98
0.00	13.60	39.31	70.83
0.52	53.19	67.33	38.71
0.10	9.56	53.12	65.79
0.34	34.00	56.11	56.67
0.19	22.51	47.65	70.00
0.31	37.68	66.91	53.85
0.23	28.12	51.71	48.28
0.28	33.17	63.84	47.71
0.47	60.90	76.06	36.84
0.00	12.79	38.80	114.29
0.52	67.71	74.25	53.06
0.55	60.23	76.93	31.91
0.00	9.50	42.92	81.63
0.30	35.48	62.77	63.53
0.39	51.81	70.42	45.71
0.30	31.74	64.51	42.20
0.62	64.32	74.99	32.00
0.31	34.83	62.79	54.90
0.18	24.36	55.44	68.00
0.28	28.27	63.19	40.00
0.33	34.64	63.19	51.28
0.00	15.69	54.04	61.90
0.53	59.75	55.11	58.06
0.46	51.92	69.53	41.38
0.00	6.88	52.60	105.00
0.11	20.59	56.11	61.82
0.17	28.17	49.54	60.71
0.00	32.60	57.55	68.42
0.00	19.61	51.28	60.71
0.48	55.23	76.85	44.90
0.15	24.92	53.98	72.22
0.00	12.22	40.08	70.59
0.29	40.62	64.14	50.75
0.27	26.38	60.55	63.16
0.37	53.00	57.82	50.70
0.30	33.33	44.14	68.57
0.00	29.67	47.92	90.91
0.18	27.97	53.21	64.29
0.43	55.25	56.88	63.64
0.36	50.71	64.58	50.98
0.25	36.89	47.28	63.83
0.00	23.23	57.49	55.81
0.31	37.20	64.70	57.14
0.37	39.90	54.21	58.33
0.00	21.78	47.43	58.06
0.20	23.22	34.36	66.67
0.17	21.58	47.40	67.44
0.22	24.60	41.55	77.23
0.42	45.59	55.85	61.82
0.51	54.33	71.25	38.89
0.36	42.73	54.86	56.00
0.51	52.57	73.06	45.45
0.43	49.58	77.53	36.84
0.24	27.20	51.73	57.69
0.23	28.35	49.26	58.46
0.40	46.07	62.32	57.78
0.35	35.08	55.76	47.62
0.42	47.90	71.21	57.14
0.24	22.90	58.76	69.09
0.20	28.92	59.65	54.17
0.30	31.01	60.23	51.52
0.25	30.80	54.39	65.00
0.20	23.35	58.35	91.30
0.00	11.72	43.25	74.07
0.15	15.20	48.12	78.26
0.31	38.08	59.67	65.12
0.14	24.04	49.60	77.55
0.21	23.08	49.30	55.17
0.69	66.96	73.44	29.79
0.23	27.68	57.42	58.14
0.00	16.94	40.72	109.09
0.00	4.82	34.18	97.78
0.00	16.68	50.05	72.73
0.00	4.89	31.96	87.18
0.00	9.88	37.69	77.78
0.53	52.54	81.37	30.00
0.21	22.05	51.97	66.67
0.38	43.95	70.63	44.44
0.78	82.51	79.31	27.27
0.00	45.50	74.86	40.00
0.35	45.61	54.01	57.14
0.00	39.76	85.07	57.14
0.00	21.26	51.16	68.97
0.00	11.20	44.02	64.29
0.00	11.73	47.50	75.00
0.00	100.00	100.00	0.00
0.19	29.49	41.05	56.25
0.15	25.76	45.12	70.00
0.00	6.61	45.11	72.73
1.00	100.00	100.00	0.00
0.53	56.83	80.46	38.46
0.00	10.80	43.47	75.86
0.16	19.90	44.40	70.00
0.00	100.00	100.00	0.00
0.00	22.25	40.40	62.50
0.20	27.67	55.61	53.33
0.27	30.28	62.98	94.74
0.00	10.68	35.30	100.00
0.00	21.37	49.96	52.00
0.00	13.16	38.91	78.79
