BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.58	61.22	80.45	28.57
0.37	36.62	66.73	58.06
0.22	37.89	67.47	48.89
0.00	17.22	59.52	60.87
0.37	34.67	60.73	53.33
0.32	36.86	56.48	46.67
0.00	34.39	64.03	42.11
0.32	39.72	64.20	55.17
0.00	8.53	41.44	87.50
0.00	12.79	55.23	66.67
0.55	63.54	82.05	27.03
0.88	85.79	95.99	7.14
0.30	39.97	53.12	65.57
0.00	12.85	46.89	61.54
0.53	43.79	66.35	38.46
0.00	6.44	33.03	69.23
0.27	36.79	67.05	37.04
0.12	16.64	48.97	80.65
0.00	16.94	60.54	73.68
0.45	42.95	71.56	32.00
0.35	32.47	74.14	33.33
0.31	35.19	65.33	40.82
0.19	24.32	56.06	57.14
0.00	42.06	59.63	40.00
0.35	42.33	63.11	45.45
0.39	44.01	68.72	41.79
0.41	37.95	55.28	51.43
0.00	35.49	71.50	42.86
0.00	17.74	46.47	72.00
0.00	16.24	51.93	70.27
0.13	18.23	41.64	66.67
0.16	23.92	47.73	72.41
0.16	20.63	47.80	64.15
0.23	32.28	55.71	56.79
0.00	8.23	51.05	66.67
0.00	4.84	47.79	85.71
0.00	6.79	31.72	80.00
0.00	17.68	52.36	54.55
0.00	33.28	45.65	47.06
0.00	27.05	73.18	26.67
0.00	19.33	49.96	55.00
0.00	13.82	51.44	80.00
0.31	37.21	55.34	56.41
0.35	34.17	69.75	30.00
0.00	11.40	46.25	80.65
0.00	13.52	48.50	80.00
0.00	8.69	38.09	86.36
0.41	50.36	69.18	56.60
0.14	20.69	45.25	75.00
0.63	64.14	81.50	24.00
0.00	11.18	48.33	74.36
0.00	19.70	62.14	60.47
0.54	54.11	75.14	47.06
0.78	88.95	86.03	19.05
0.00	24.83	49.41	58.54
0.23	31.23	54.60	100.00
0.58	57.96	59.92	44.44
0.00	16.59	34.46	52.17
0.00	14.71	48.10	91.89
0.00	11.37	50.27	70.27
0.18	26.71	46.24	60.00
0.00	33.11	61.85	50.00
0.86	87.87	83.15	20.51
0.00	25.06	33.72	77.55
0.00	9.29	12.35	94.12
0.13	26.59	49.96	57.58
0.18	21.95	55.62	71.70
0.35	33.18	54.86	54.24
0.00	5.83	30.29	86.36
0.38	41.86	53.53	48.89
0.24	32.59	64.79	62.07
0.22	29.69	56.15	54.55
0.60	65.53	77.03	33.33
0.61	65.67	68.38	30.30
0.49	51.16	61.33	39.13
0.23	20.47	46.36	50.00
0.25	34.28	64.64	55.00
0.00	9.08	44.33	80.00
0.39	47.60	59.63	48.72
0.41	53.71	76.93	50.00
0.46	43.85	78.84	52.17
0.21	29.76	59.26	53.57
0.00	28.06	61.37	70.83
0.00	49.01	59.16	32.00
0.00	14.58	66.11	73.17
0.14	15.63	49.61	71.79
0.81	70.71	82.89	15.38
0.22	29.17	65.09	59.70
0.00	24.38	80.10	26.67
1.00	100.00	100.00	0.00
0.00	6.74	38.98	75.00
0.24	32.59	62.03	41.38
0.00	50.00	70.15	13.33
0.28	25.92	57.26	91.67
0.00	14.92	66.11	55.56
0.00	20.45	61.70	60.87
0.00	27.09	68.19	66.67
0.38	32.38	61.28	42.42
0.00	34.90	60.55	57.89
0.36	46.25	75.11	34.48
