BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.35	41.13	75.73	75.73
0.00	6.69	47.59	47.59
0.62	69.35	80.27	80.27
0.18	23.27	59.36	59.36
0.22	23.55	49.20	49.20
0.29	38.09	58.41	58.41
0.39	37.82	68.07	68.07
0.34	39.44	59.57	59.57
0.16	14.61	43.63	43.63
0.00	12.30	54.12	54.12
0.64	71.87	84.21	84.21
0.88	85.79	95.99	95.99
0.32	39.66	61.31	61.31
0.00	15.84	48.34	48.34
0.60	56.59	69.60	69.60
0.34	38.72	51.41	51.41
0.42	56.17	70.14	70.14
0.17	19.74	47.69	47.69
0.00	23.46	62.16	62.16
0.48	53.73	71.09	71.09
0.00	13.35	53.65	53.65
0.33	41.17	68.63	68.63
0.22	30.65	61.88	61.88
0.00	41.15	58.96	58.96
0.18	25.92	48.55	48.55
0.44	48.75	70.72	70.72
0.25	30.08	50.72	50.72
0.00	14.54	53.65	53.65
0.17	24.31	52.70	52.70
0.24	30.60	61.95	61.95
0.33	38.63	47.03	47.03
0.25	36.08	50.72	50.72
0.33	37.20	61.99	61.99
0.32	39.61	54.93	54.93
0.00	15.91	52.55	52.55
0.00	4.84	47.79	47.79
0.00	6.79	26.30	26.30
0.00	24.18	45.40	45.40
0.00	33.28	45.65	45.65
0.00	27.05	73.18	73.18
0.35	44.90	66.32	66.32
0.00	9.97	46.69	46.69
0.19	25.82	50.63	50.63
0.00	11.39	68.07	68.07
0.12	16.27	47.95	47.95
0.46	55.35	65.70	65.70
0.29	34.45	54.64	54.64
0.46	57.95	70.43	70.43
0.16	25.23	47.38	47.38
0.63	64.14	81.14	81.14
0.00	11.72	47.67	47.67
0.28	34.29	57.19	57.19
0.54	54.11	65.46	65.46
0.87	88.95	87.15	87.15
0.00	13.34	48.14	48.14
0.25	34.57	54.39	54.39
0.29	35.22	70.56	70.56
0.55	66.10	47.29	47.29
0.00	22.35	51.47	51.47
0.18	21.27	57.81	57.81
0.19	28.32	46.57	46.57
0.00	27.41	62.62	62.62
0.86	87.87	83.15	83.15
0.00	15.28	30.92	30.92
0.00	9.98	15.96	15.96
0.47	56.09	66.95	66.95
0.42	40.36	63.65	63.65
0.49	56.32	59.67	59.67
0.00	10.85	46.29	46.29
0.39	42.73	54.11	54.11
0.34	37.44	65.99	65.99
0.45	48.44	55.00	55.00
0.45	61.00	56.70	56.70
0.61	65.67	68.38	68.38
0.28	32.24	53.03	53.03
0.00	11.92	46.04	46.04
0.26	26.70	60.95	60.95
0.00	6.99	32.16	32.16
0.17	22.77	51.69	51.69
0.49	55.84	76.11	76.11
0.46	43.85	78.84	78.84
0.44	51.02	66.73	66.73
0.34	38.85	64.53	64.53
0.00	45.83	61.53	61.53
0.00	22.07	63.56	63.56
0.17	21.33	55.84	55.84
0.81	70.71	82.89	82.89
0.27	32.93	66.66	66.66
0.00	11.04	46.05	46.05
0.46	50.39	84.65	84.65
0.00	8.26	51.36	51.36
0.24	32.59	62.03	62.03
1.00	100.00	100.00	100.00
0.35	31.31	58.63	58.63
0.00	14.92	66.11	66.11
0.60	64.93	86.25	86.25
0.00	29.98	69.45	69.45
0.55	55.33	68.99	68.99
0.16	15.78	48.36	48.36
0.62	61.48	73.40	73.40
0.00	34.57	81.36	81.36
0.35	35.69	46.78	46.78
0.00	13.68	58.32	58.32
0.31	36.33	64.77	64.77
0.54	61.09	74.34	74.34
0.20	24.14	49.37	49.37
0.56	58.70	71.42	71.42
0.42	45.85	72.39	72.39
0.50	55.11	62.04	62.04
0.47	44.83	60.40	60.40
0.00	25.76	46.13	46.13
0.23	29.90	45.83	45.83
0.22	30.98	49.48	49.48
0.28	43.15	69.00	69.00
0.33	41.35	64.78	64.78
0.50	53.52	72.08	72.08
0.25	31.28	51.90	51.90
0.17	22.40	59.75	59.75
0.29	33.05	60.46	60.46
0.19	22.01	54.97	54.97
0.46	47.45	66.24	66.24
0.49	55.96	67.73	67.73
0.50	54.28	66.20	66.20
0.00	23.47	60.64	60.64
0.44	48.96	60.35	60.35
0.39	53.87	69.82	69.82
0.33	39.97	59.16	59.16
0.33	52.70	57.43	57.43
0.35	49.66	66.63	66.63
0.67	73.88	85.65	85.65
0.50	57.01	68.13	68.13
0.70	73.49	85.57	85.57
0.00	16.32	52.31	52.31
0.67	75.22	76.65	76.65
0.22	35.14	61.06	61.06
0.64	71.03	83.36	83.36
0.71	75.51	72.19	72.19
0.52	61.00	77.24	77.24
0.53	57.18	70.90	70.90
0.83	85.79	96.34	96.34
0.37	43.82	68.38	68.38
0.35	40.50	73.14	73.14
0.50	53.23	65.27	65.27
0.82	85.62	93.86	93.86
0.55	57.18	79.92	79.92
0.36	38.69	67.37	67.37
0.18	24.29	51.61	51.61
0.61	64.23	86.34	86.34
0.36	46.66	50.24	50.24
0.17	31.37	55.11	55.11
0.47	55.01	64.32	64.32
0.45	51.28	67.50	67.50
0.52	55.80	71.68	71.68
0.36	39.11	66.76	66.76
0.32	39.25	62.95	62.95
0.45	51.26	62.53	62.53
0.00	34.17	58.36	58.36
0.39	49.53	66.99	66.99
0.65	66.97	85.92	85.92
0.35	42.29	67.41	67.41
0.38	50.49	42.42	42.42
0.91	91.74	90.32	90.32
0.34	32.65	72.53	72.53
0.30	30.71	64.07	64.07
0.44	53.67	74.97	74.97
0.67	72.55	77.24	77.24
0.23	28.06	55.88	55.88
0.41	47.92	45.31	45.31
0.48	43.99	59.88	59.88
0.59	59.46	90.94	90.94
0.52	58.23	74.51	74.51
0.00	23.35	59.20	59.20
0.60	52.01	86.08	86.08
0.43	52.01	61.62	61.62
0.56	58.21	84.12	84.12
0.00	16.54	44.52	44.52
0.24	34.36	67.73	67.73
0.52	53.78	60.76	60.76
0.28	26.44	68.46	68.46
0.30	48.80	67.20	67.20
0.55	59.15	72.20	72.20
0.55	56.48	81.99	81.99
0.73	76.82	85.68	85.68
0.48	50.72	58.09	58.09
0.29	31.33	69.55	69.55
0.53	59.19	73.93	73.93
0.34	37.11	64.82	64.82
0.58	62.68	80.91	80.91
0.33	38.41	65.62	65.62
0.35	35.59	51.62	51.62
0.31	38.38	60.05	60.05
0.23	35.31	70.06	70.06
0.34	35.35	57.92	57.92
0.00	41.42	70.63	70.63
0.33	43.78	60.43	60.43
0.00	8.67	63.28	63.28
0.20	26.41	54.03	54.03
0.00	13.68	46.03	46.03
0.37	44.48	68.96	68.96
0.00	26.77	59.21	59.21
0.00	16.74	48.23	48.23
0.00	18.96	61.19	61.19
0.31	33.64	55.16	55.16
0.00	9.24	48.23	48.23
0.27	38.94	54.19	54.19
0.14	20.52	48.80	48.80
0.29	33.16	50.04	50.04
0.13	18.29	40.21	40.21
0.21	21.95	53.53	53.53
0.17	24.85	50.46	50.46
0.40	49.01	54.56	54.56
0.19	20.69	47.89	47.89
0.46	54.16	42.87	42.87
0.31	35.32	54.57	54.57
0.00	7.13	39.26	39.26
0.35	38.39	71.18	71.18
0.17	22.59	41.90	41.90
0.64	59.46	75.01	75.01
0.24	30.71	56.81	56.81
0.00	9.37	35.36	35.36
0.00	14.29	45.91	45.91
0.33	35.84	60.73	60.73
0.12	20.79	47.12	47.12
0.17	22.45	45.30	45.30
0.00	14.51	48.28	48.28
0.00	16.52	42.27	42.27
0.00	5.72	26.72	26.72
