BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.74	76.20	74.31	74.31
0.59	62.33	76.13	76.13
0.22	37.89	67.47	67.47
0.00	17.22	59.31	59.31
0.36	33.49	58.35	58.35
0.24	26.49	44.54	44.54
0.00	31.61	50.80	50.80
0.17	25.86	55.06	55.06
0.00	12.96	43.23	43.23
0.00	26.43	57.05	57.05
0.55	62.27	78.15	78.15
0.69	68.99	87.89	87.89
0.29	40.71	60.87	60.87
0.00	12.85	45.16	45.16
0.48	40.05	66.60	66.60
0.00	6.69	39.01	39.01
0.29	39.60	67.93	67.93
0.17	19.51	51.07	51.07
0.00	18.21	60.71	60.71
0.41	42.95	69.80	69.80
0.35	32.47	73.18	73.18
0.24	29.40	64.52	64.52
0.19	23.65	57.07	57.07
0.00	27.13	59.70	59.70
0.28	34.56	57.98	57.98
0.39	43.67	67.86	67.86
0.30	33.09	54.50	54.50
0.00	35.49	71.50	71.50
0.00	13.02	46.48	46.48
0.00	14.61	45.49	45.49
0.21	26.29	43.21	43.21
0.15	23.64	47.74	47.74
0.00	29.45	61.06	61.06
0.20	33.65	50.24	50.24
0.00	7.66	39.16	39.16
0.00	4.84	47.79	47.79
0.00	6.79	26.64	26.64
0.00	17.58	57.79	57.79
0.00	33.28	45.65	45.65
0.00	27.05	72.60	72.60
0.29	33.00	51.08	51.08
0.00	5.77	46.84	46.84
0.30	36.85	55.51	55.51
0.35	34.17	69.75	69.75
0.00	10.16	43.02	43.02
0.21	24.48	53.66	53.66
0.11	16.07	45.15	45.15
0.42	53.32	69.60	69.60
0.12	17.85	45.22	45.22
0.58	56.33	81.14	81.14
0.00	5.22	27.24	27.24
0.25	34.23	57.12	57.12
0.84	84.09	78.63	78.63
0.76	80.94	86.42	86.42
0.00	13.34	48.14	48.14
0.37	41.34	62.42	62.42
0.00	15.31	52.20	52.20
0.39	44.83	46.90	46.90
0.00	6.07	46.71	46.71
0.00	9.64	47.12	47.12
0.14	18.31	40.63	40.63
0.00	17.49	54.60	54.60
0.68	72.52	89.49	89.49
0.00	23.55	38.46	38.46
0.00	10.55	11.59	11.59
0.22	33.96	56.10	56.10
0.20	24.11	54.79	54.79
0.46	41.20	58.46	58.46
0.16	16.97	41.65	41.65
0.29	34.78	51.92	51.92
0.25	36.73	69.88	69.88
0.24	31.21	53.95	53.95
0.36	38.62	56.86	56.86
0.50	56.34	62.35	62.35
0.42	41.15	63.74	63.74
0.00	13.60	43.37	43.37
0.58	60.55	69.03	69.03
0.00	8.77	36.38	36.38
0.41	47.24	60.49	60.49
0.49	55.84	76.89	76.89
0.36	34.79	65.61	65.61
0.28	31.69	57.21	57.21
0.00	21.69	57.98	57.98
0.00	45.83	61.53	61.53
0.00	10.21	47.85	47.85
0.15	16.28	52.80	52.80
0.81	70.71	82.89	82.89
0.16	20.91	62.60	62.60
0.59	59.69	86.36	86.36
0.49	54.45	86.29	86.29
0.00	12.55	48.69	48.69
0.24	32.59	62.03	62.03
0.00	50.00	70.15	70.15
0.00	6.84	56.24	56.24
0.00	14.92	66.11	66.11
0.00	19.67	64.21	64.21
0.00	27.09	47.31	47.31
0.51	44.06	77.77	77.77
0.18	16.31	56.34	56.34
0.57	62.73	82.58	82.58
0.00	36.16	83.65	83.65
0.55	56.27	62.57	62.57
0.00	21.28	56.42	56.42
0.47	51.55	64.93	64.93
0.00	24.05	45.75	45.75
0.00	8.69	43.66	43.66
0.38	50.41	66.04	66.04
0.00	35.40	67.07	67.07
0.40	58.21	57.89	57.89
0.32	34.85	52.41	52.41
0.00	12.46	37.88	37.88
0.43	46.05	58.23	58.23
0.32	43.52	57.33	57.33
0.26	48.79	65.35	65.35
0.38	49.70	63.40	63.40
0.51	54.14	75.43	75.43
0.23	27.09	49.24	49.24
0.47	50.14	69.43	69.43
0.37	39.51	62.08	62.08
0.30	40.16	56.98	56.98
0.32	35.77	53.09	53.09
0.33	43.93	62.33	62.33
0.39	42.62	62.84	62.84
0.48	54.15	72.40	72.40
0.45	53.17	59.99	59.99
0.56	62.15	56.79	56.79
0.28	41.33	54.97	54.97
0.35	54.55	57.52	57.52
0.00	27.39	66.31	66.31
0.43	49.50	70.29	70.29
0.46	52.98	65.67	65.67
0.59	63.40	76.92	76.92
0.00	15.07	50.15	50.15
0.48	53.02	72.42	72.42
0.20	36.18	56.01	56.01
0.52	61.32	71.10	71.10
0.69	72.17	72.56	72.56
0.88	89.10	91.39	91.39
0.00	26.51	49.69	49.69
0.72	72.10	85.40	85.40
0.29	34.46	69.98	69.98
0.48	54.13	80.09	80.09
0.59	60.76	69.18	69.18
0.80	83.05	81.53	81.53
0.44	40.11	73.46	73.46
0.28	33.15	69.58	69.58
0.14	19.47	54.55	54.55
0.89	88.57	92.63	92.63
0.00	18.95	39.14	39.14
0.15	22.87	52.70	52.70
0.47	55.01	64.56	64.56
0.39	45.09	69.61	69.61
0.55	59.62	68.04	68.04
0.29	32.69	61.17	61.17
0.37	45.02	62.72	62.72
0.39	44.16	61.69	61.69
0.00	13.67	46.63	46.63
0.39	49.53	66.99	66.99
0.36	31.24	71.92	71.92
0.43	50.35	65.21	65.21
0.38	47.75	43.69	43.69
0.91	91.74	90.32	90.32
0.32	29.98	67.18	67.18
0.28	26.29	68.28	68.28
0.63	66.43	83.85	83.85
0.49	57.15	74.45	74.45
0.21	24.74	49.90	49.90
0.28	22.64	41.12	41.12
0.00	15.13	48.60	48.60
0.80	80.34	91.59	91.59
0.58	58.09	76.58	76.58
0.39	47.90	72.67	72.67
0.84	86.56	90.47	90.47
0.38	46.24	61.89	61.89
0.52	55.48	75.83	75.83
0.49	50.67	62.93	62.93
0.48	80.34	86.34	86.34
0.18	17.12	40.57	40.57
0.35	51.88	72.42	72.42
0.00	12.49	46.22	46.22
0.55	59.15	74.00	74.00
0.50	53.74	77.14	77.14
0.85	86.76	88.17	88.17
0.47	50.35	60.07	60.07
0.34	33.91	77.83	77.83
0.48	51.32	69.83	69.83
0.43	44.68	69.25	69.25
0.21	29.17	52.76	52.76
0.40	42.89	64.65	64.65
0.28	33.49	66.13	66.13
0.39	52.04	69.94	69.94
0.32	54.03	61.95	61.95
0.00	21.34	52.86	52.86
0.00	39.67	73.17	73.17
0.23	38.41	54.74	54.74
0.00	13.21	65.08	65.08
0.18	27.50	60.69	60.69
0.00	21.02	46.44	46.44
0.31	41.02	59.46	59.46
0.00	13.72	45.54	45.54
0.00	13.45	49.81	49.81
0.51	58.45	70.62	70.62
0.00	14.98	52.05	52.05
0.00	13.68	48.87	48.87
0.00	21.27	44.37	44.37
0.00	12.68	40.20	40.20
0.24	29.18	46.98	46.98
0.13	17.85	37.52	37.52
0.00	11.99	51.75	51.75
0.14	21.96	44.98	44.98
0.32	38.06	54.23	54.23
0.13	16.93	44.98	44.98
0.52	59.98	54.00	54.00
0.19	25.86	52.88	52.88
0.00	12.09	39.04	39.04
0.00	15.68	43.21	43.21
0.12	16.26	42.81	42.81
0.00	19.72	62.54	62.54
0.37	39.77	57.95	57.95
0.00	9.74	34.69	34.69
0.00	21.14	44.50	44.50
0.32	34.52	55.39	55.39
0.16	21.57	46.25	46.25
0.26	35.55	50.68	50.68
0.00	14.24	40.64	40.64
0.00	16.23	41.65	41.65
0.00	5.37	22.13	22.13
0.00	11.59	51.84	51.84
0.47	56.43	62.01	62.01
0.24	36.40	59.89	59.89
0.00	51.29	64.70	64.70
0.23	24.02	54.26	54.26
0.31	41.44	41.97	41.97
0.46	54.82	75.32	75.32
0.37	58.77	53.00	53.00
0.00	20.56	51.62	51.62
0.28	31.04	53.00	53.00
0.50	58.88	84.40	84.40
0.00	26.58	51.18	51.18
0.29	64.17	76.05	76.05
0.00	13.83	44.13	44.13
0.00	17.43	42.13	42.13
0.23	42.46	61.59	61.59
0.00	24.74	48.09	48.09
0.00	11.39	44.95	44.95
0.42	50.39	67.68	67.68
0.00	19.64	58.29	58.29
0.23	29.88	52.13	52.13
0.00	100.00	100.00	100.00
0.27	52.45	63.77	63.77
0.35	43.67	75.19	75.19
0.48	57.95	61.95	61.95
0.34	49.72	57.88	57.88
0.00	6.27	27.66	27.66
0.00	23.69	52.40	52.40
0.20	24.18	47.97	47.97
0.19	30.93	55.31	55.31
0.00	16.33	50.30	50.30
0.14	25.07	37.25	37.25
0.35	42.39	63.83	63.83
0.00	13.22	37.14	37.14
0.41	38.10	56.06	56.06
0.32	32.04	45.71	45.71
0.36	47.28	52.07	52.07
0.00	8.53	33.76	33.76
0.18	22.42	54.67	54.67
0.00	9.86	36.07	36.07
0.00	21.65	37.79	37.79
0.00	7.77	46.68	46.68
0.42	48.98	58.83	58.83
0.00	13.95	50.44	50.44
0.27	28.10	59.28	59.28
0.20	21.25	49.54	49.54
0.18	33.37	67.41	67.41
0.25	29.17	56.15	56.15
0.00	15.19	40.49	40.49
0.22	24.44	60.19	60.19
0.00	11.60	55.33	55.33
0.44	52.08	68.26	68.26
0.00	6.80	51.85	51.85
0.00	23.36	71.36	71.36
0.27	40.16	63.58	63.58
0.31	40.11	62.60	62.60
0.28	34.96	60.34	60.34
0.45	59.23	74.59	74.59
0.29	35.07	61.24	61.24
0.00	22.31	62.46	62.46
0.28	30.23	61.32	61.32
0.00	12.26	59.51	59.51
0.19	29.41	49.81	49.81
0.00	14.06	54.07	54.07
0.00	26.75	53.34	53.34
0.26	30.96	45.33	45.33
0.00	3.10	41.03	41.03
0.56	63.75	57.44	57.44
0.00	14.56	54.75	54.75
0.00	25.95	55.11	55.11
0.00	21.72	55.40	55.40
0.00	20.28	52.40	52.40
0.24	31.70	50.99	50.99
0.17	25.54	50.97	50.97
0.23	35.07	76.40	76.40
0.17	27.58	52.86	52.86
0.00	20.64	43.86	43.86
0.18	32.40	54.75	54.75
1.00	100.00	100.00	100.00
0.60	71.67	84.51	84.51
0.76	74.68	92.35	92.35
0.69	74.19	83.04	83.04
0.29	37.84	60.54	60.54
0.00	10.09	46.21	46.21
0.74	77.60	81.18	81.18
