BLEU	sacre_BLEU	sacre_CHRF2
0.58	61.22	80.45
0.37	36.62	66.32
0.22	37.89	67.47
0.18	23.27	59.08
0.38	38.21	59.16
0.29	38.09	58.41
0.00	19.16	46.61
0.19	24.02	55.39
0.16	15.36	42.48
0.00	10.69	52.30
0.55	63.54	82.05
0.57	56.79	84.25
0.33	41.32	57.32
0.00	10.07	42.73
0.49	46.83	68.37
0.35	39.00	47.63
0.39	49.95	67.39
0.12	16.82	48.82
0.00	23.46	60.71
0.48	53.73	70.80
0.35	32.47	73.22
0.24	31.33	64.15
0.19	25.02	57.83
0.00	13.68	53.52
0.40	46.22	61.17
0.46	50.41	71.04
0.42	47.03	60.31
0.00	14.54	53.65
0.17	24.34	53.04
0.00	16.82	54.15
0.14	20.84	43.64
0.00	13.88	44.90
0.17	23.80	60.43
0.19	29.04	55.61
0.00	11.64	50.14
0.00	4.84	47.79
0.00	3.76	23.65
0.00	24.18	45.40
0.00	29.80	40.85
0.00	27.05	73.18
0.21	31.32	51.54
0.00	5.46	46.85
0.31	36.33	54.73
0.35	34.17	69.75
0.11	13.92	44.76
0.24	38.10	57.06
0.14	21.77	46.40
0.59	69.08	77.78
0.15	23.97	46.95
0.63	64.14	81.14
0.00	12.10	47.28
0.00	18.79	61.48
0.54	54.11	75.14
0.76	88.44	91.14
0.00	12.28	49.01
0.26	35.08	61.38
0.00	15.84	68.99
0.35	40.51	48.21
0.00	21.48	49.70
0.00	12.09	54.77
0.17	24.01	49.31
0.00	23.24	50.86
0.74	77.63	75.73
0.00	26.68	32.41
0.00	9.29	12.19
0.29	38.01	57.30
0.20	26.44	55.30
0.49	56.32	59.67
0.00	6.98	36.20
0.38	41.17	57.37
0.23	33.60	65.07
0.51	58.76	62.57
0.36	38.62	56.86
0.67	71.60	73.11
0.29	32.96	56.16
0.26	24.64	47.70
0.45	46.41	66.86
0.00	8.51	36.54
0.33	38.87	56.79
0.41	53.71	79.61
0.45	42.61	71.66
0.22	26.25	54.88
0.00	21.69	58.65
0.00	49.01	61.58
0.00	14.39	52.74
0.17	21.33	55.97
0.81	70.71	82.89
0.18	26.14	63.25
0.00	26.27	59.06
1.00	100.00	100.00
0.00	8.26	47.63
0.00	24.37	59.44
0.00	23.36	70.15
0.28	25.92	56.83
0.00	14.92	66.11
0.00	12.01	62.73
0.00	29.00	77.29
0.42	42.04	65.80
0.00	9.61	46.39
0.70	68.65	81.31
0.00	39.15	88.26
0.35	35.69	46.78
0.00	13.68	58.06
0.27	31.47	61.87
0.00	14.45	40.41
0.00	7.33	33.95
0.45	49.33	67.82
0.42	45.85	72.39
0.34	47.79	64.10
0.69	66.45	78.32
0.00	16.68	42.32
0.23	29.90	45.83
0.24	34.43	51.59
0.26	38.51	66.18
0.00	26.54	58.26
0.50	53.52	72.08
0.25	32.61	55.41
0.18	23.96	59.46
0.26	30.12	64.36
0.30	40.16	58.61
0.48	51.39	68.89
0.49	55.96	67.73
0.50	54.28	65.30
0.00	30.84	66.75
0.32	39.98	53.54
0.52	58.44	69.89
0.36	45.00	60.45
0.52	65.52	54.93
0.47	57.74	70.53
0.67	73.88	85.65
0.48	56.22	64.21
0.59	63.40	76.92
0.00	15.44	52.17
0.87	89.22	93.06
0.26	39.88	61.74
0.76	80.71	86.53
0.62	65.97	71.73
0.76	81.01	92.23
0.00	19.94	44.27
0.72	72.10	85.40
0.47	48.94	73.32
0.58	64.29	85.06
0.89	87.55	90.20
0.94	95.91	83.45
0.62	62.68	86.97
0.28	33.04	66.28
0.28	34.23	60.10
0.39	45.83	79.50
0.33	42.79	48.95
0.17	31.37	54.36
0.46	53.15	68.52
0.47	53.43	68.47
0.45	47.63	65.98
0.41	43.41	68.12
0.33	40.10	59.73
0.34	37.88	60.84
0.00	29.00	45.83
0.56	59.21	69.99
0.65	66.97	85.92
0.00	22.13	57.43
0.38	47.75	45.50
0.91	91.74	90.32
0.32	29.98	71.88
0.56	56.10	75.96
0.74	77.99	89.98
0.57	63.21	78.68
0.21	24.74	49.90
0.41	47.92	46.52
0.52	46.05	50.17
0.34	34.33	75.53
0.62	70.74	74.71
0.44	53.69	73.84
0.60	52.01	86.08
0.41	48.75	61.53
0.52	55.48	77.21
0.50	51.42	60.13
0.34	34.63	70.79
0.38	37.40	57.32
0.00	19.64	60.53
0.00	18.17	55.78
0.55	59.15	72.20
0.56	60.64	78.10
0.70	73.59	87.61
0.58	62.36	70.04
0.29	31.33	69.55
0.48	53.78	69.79
0.43	44.68	69.25
0.41	48.82	66.55
0.30	37.26	57.76
0.30	33.25	64.77
0.40	47.32	67.65
0.00	35.90	66.07
0.00	18.81	54.79
0.00	39.69	76.99
0.27	38.17	58.64
0.00	8.67	63.28
0.37	40.91	73.16
0.00	13.94	43.45
0.38	43.15	67.68
0.00	11.79	42.48
0.00	16.74	48.23
0.30	35.09	64.36
0.00	7.27	45.60
0.00	17.03	50.52
0.20	29.86	45.30
0.00	15.58	45.38
0.30	33.54	46.48
0.11	18.71	39.14
0.00	10.67	48.67
0.00	13.09	43.42
0.00	20.50	41.95
0.12	14.12	37.96
0.50	57.16	52.06
0.35	39.15	55.78
0.00	8.37	40.62
0.00	10.40	41.47
0.00	10.76	39.50
0.00	28.12	70.34
0.31	37.74	55.65
0.17	23.82	37.29
0.00	13.62	43.98
0.36	37.84	61.83
0.24	30.02	52.50
0.00	20.23	46.55
0.00	14.03	39.76
0.00	22.93	44.91
0.00	5.72	27.60
0.00	10.55	61.21
0.55	64.73	72.46
0.23	25.50	54.05
0.00	27.82	59.01
0.00	12.73	55.51
0.32	46.34	62.31
0.40	51.29	75.98
0.25	35.55	45.44
0.00	22.09	51.62
0.57	65.31	71.14
0.50	58.88	84.62
0.00	29.62	45.74
0.37	66.32	76.63
0.00	17.24	44.71
0.00	22.51	54.60
0.47	51.84	83.75
0.00	27.23	59.49
0.00	9.55	39.10
0.71	73.11	87.43
0.00	31.56	75.72
0.26	35.53	50.67
0.00	100.00	100.00
0.45	45.40	71.04
0.00	24.81	48.21
0.41	45.75	69.16
0.41	50.12	65.13
0.00	6.89	37.00
0.18	34.86	60.94
0.21	28.26	56.96
0.42	50.06	65.19
0.27	32.67	60.18
0.00	23.83	45.42
0.38	41.68	65.46
0.48	49.53	55.78
0.69	63.82	77.11
0.47	47.13	64.36
0.33	44.90	57.49
0.14	13.57	37.01
0.19	25.92	54.99
0.00	12.04	48.91
0.00	19.75	39.98
0.00	9.44	34.98
0.42	49.02	51.60
0.00	17.31	46.06
0.29	34.11	58.98
0.24	31.28	47.88
0.00	8.10	51.89
0.22	28.59	55.85
0.00	22.09	39.60
0.28	32.67	65.40
0.00	16.33	58.11
0.49	54.87	73.41
0.33	38.54	64.82
0.00	14.26	56.67
0.25	26.05	62.68
0.46	51.32	71.20
0.32	38.08	64.25
0.29	36.62	64.35
0.29	35.07	61.24
0.00	19.35	58.01
0.29	34.11	67.37
0.00	14.92	60.96
0.19	28.92	49.93
0.31	35.57	59.87
0.45	53.65	71.52
0.00	21.36	49.55
0.00	10.37	51.78
0.57	57.68	59.96
0.00	8.05	43.49
0.39	45.48	71.53
0.00	12.55	63.72
0.00	20.12	45.60
0.17	22.29	51.44
0.26	36.17	52.96
0.39	54.45	83.57
0.17	27.06	53.51
0.00	20.51	43.10
0.24	33.97	58.02
1.00	100.00	100.00
0.37	47.03	71.24
0.76	74.68	92.35
0.60	67.25	76.42
0.00	14.25	44.71
0.00	15.42	57.15
0.48	64.75	80.24
0.52	55.60	77.66
0.76	75.06	95.41
0.59	66.95	88.95
0.42	44.12	80.65
0.32	43.33	67.74
0.41	46.59	73.51
0.59	54.91	74.97
0.40	45.02	73.27
0.50	61.00	75.02
0.32	45.52	60.35
0.00	46.60	69.67
0.41	43.54	77.01
0.00	14.58	45.84
0.00	10.15	36.82
0.35	45.00	70.45
0.30	34.16	59.92
0.43	45.66	69.69
0.52	58.55	74.99
0.51	56.87	68.37
0.00	17.88	48.70
0.57	61.83	70.93
0.44	48.14	68.03
0.00	37.99	80.52
0.00	4.03	43.59
0.25	31.95	57.57
0.25	35.40	49.03
0.17	22.69	62.59
0.00	27.66	59.67
0.00	14.68	57.14
0.23	33.25	61.70
0.14	20.94	46.06
0.30	32.95	66.19
0.54	77.65	90.04
0.22	32.18	67.78
0.44	52.71	68.56
0.38	49.84	72.72
0.00	16.52	49.00
0.54	55.49	66.73
0.19	19.64	57.29
0.22	38.54	62.34
0.50	52.82	76.39
0.16	17.57	54.39
0.28	35.52	63.85
0.00	15.19	45.98
0.00	26.19	64.88
0.31	41.05	65.15
1.00	100.00	100.00
0.43	44.53	54.26
0.46	47.60	81.30
0.00	21.02	49.18
0.26	26.74	55.69
0.32	40.69	70.96
0.00	28.98	56.94
0.00	20.09	68.18
0.29	35.51	66.51
0.45	42.94	76.35
0.27	33.55	59.88
0.00	33.50	66.10
0.00	16.18	39.99
0.24	30.62	47.42
0.35	36.75	58.85
0.00	14.38	63.68
0.00	13.32	59.61
0.49	52.78	83.46
0.41	41.62	62.25
0.80	83.61	84.78
0.00	14.53	51.10
0.41	44.65	71.29
0.21	30.40	55.84
0.16	26.24	50.97
0.00	32.02	62.40
0.20	17.62	61.33
0.32	43.48	72.26
0.43	54.72	63.17
0.00	11.02	45.85
0.00	8.95	55.71
0.34	42.10	61.39
0.00	17.12	51.01
0.41	53.81	71.63
0.19	22.23	47.27
0.00	23.78	48.75
0.38	50.11	53.83
0.43	49.25	54.38
0.21	38.83	60.07
0.46	52.22	71.30
0.20	22.92	32.42
0.22	23.00	43.34
0.15	21.65	46.65
0.00	37.68	54.29
0.25	33.44	63.05
0.00	24.48	54.03
0.00	18.24	63.35
0.00	10.61	49.05
0.26	38.99	52.23
0.00	10.51	50.69
0.51	51.39	76.45
0.19	38.24	59.43
0.29	30.99	55.16
0.00	13.13	46.88
0.00	12.30	53.86
0.00	8.50	51.91
0.41	48.36	65.76
0.25	33.38	68.72
0.31	38.26	70.64
0.28	26.20	66.54
0.52	58.82	71.86
0.42	43.67	87.43
0.00	45.72	48.65
0.40	45.66	57.24
0.00	21.97	47.74
0.38	43.90	67.80
0.76	75.91	77.84
0.00	18.21	37.98
0.48	50.47	70.93
0.00	13.94	31.61
0.79	81.70	79.44
0.16	23.22	70.82
0.31	35.83	57.15
0.35	38.92	67.51
0.00	15.68	51.48
0.31	37.31	57.56
0.26	28.49	52.90
0.24	27.43	59.07
0.28	33.44	56.05
0.43	44.90	59.56
0.00	11.55	36.67
0.34	38.77	65.36
0.15	18.36	67.36
0.56	58.42	68.68
0.47	54.02	69.07
0.31	37.68	66.91
0.23	28.23	51.97
0.41	49.12	75.68
0.41	43.80	73.35
0.00	28.20	47.28
0.44	61.18	66.28
0.72	74.88	85.27
0.23	27.83	49.79
0.37	41.25	61.75
0.30	38.57	66.02
0.25	28.54	66.07
0.62	66.37	81.95
0.24	25.57	58.10
0.29	32.21	58.22
0.00	21.51	57.33
0.30	33.09	68.49
0.00	11.99	54.31
0.53	59.75	55.11
0.62	54.75	75.27
0.00	6.88	51.28
0.11	15.64	57.20
