BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.64	66.58	74.11	42.86
0.37	36.62	66.32	58.06
0.00	25.61	63.43	53.33
0.29	30.05	62.17	69.57
0.33	31.18	55.87	66.67
0.29	35.14	58.27	53.33
0.43	48.44	72.40	31.58
0.32	35.35	57.44	55.17
0.00	12.68	45.49	81.25
0.00	10.48	52.90	66.67
0.67	70.84	85.89	27.03
0.57	56.79	84.25	28.57
0.25	34.45	52.79	68.85
0.00	12.85	46.89	61.54
0.49	41.12	66.84	46.15
0.33	31.18	45.32	46.15
0.35	46.56	71.31	37.04
0.19	22.54	52.05	93.55
0.00	16.94	60.54	63.16
0.45	42.95	71.09	32.00
1.00	100.00	100.00	0.00
0.27	31.64	68.61	53.06
0.17	22.42	56.35	67.86
0.00	42.06	59.63	40.00
0.25	32.62	56.89	63.64
0.39	46.51	68.77	38.81
0.21	23.49	55.40	80.00
0.00	11.34	60.44	71.43
0.17	27.17	53.98	64.00
0.00	15.30	52.16	72.97
0.21	26.29	43.46	66.67
0.25	36.48	54.98	65.52
0.17	29.45	53.62	56.60
0.26	36.85	59.03	46.91
0.00	16.47	65.48	74.07
0.00	4.50	42.88	85.71
0.00	3.76	23.12	88.00
0.00	21.18	44.88	72.73
0.00	28.24	42.17	58.82
0.00	27.05	73.18	26.67
0.00	17.06	54.66	55.00
0.00	5.46	46.85	100.00
0.42	52.78	58.96	56.41
0.35	34.17	69.75	30.00
0.11	14.65	46.83	74.19
0.25	29.45	58.21	48.89
0.00	20.63	53.08	81.82
0.52	61.23	69.54	52.83
0.00	10.10	39.32	75.00
0.61	59.98	81.32	24.00
0.00	11.37	50.75	74.36
0.17	24.25	63.68	65.12
0.42	41.80	64.43	58.82
0.78	88.95	86.03	19.05
0.17	19.93	53.38	63.41
0.42	49.19	59.94	60.00
0.00	15.84	68.99	59.26
0.35	40.51	48.21	43.48
0.00	13.35	44.75	102.70
0.00	7.72	49.52	81.08
0.25	31.01	56.40	56.67
0.00	22.78	50.16	70.83
1.00	100.00	86.13	20.51
0.00	22.14	34.38	77.55
0.00	11.87	30.91	82.35
0.19	32.07	55.66	54.55
0.00	16.48	55.44	49.06
0.33	33.20	52.45	54.24
0.00	16.54	39.42	77.27
0.34	38.78	55.37	48.89
0.24	33.25	63.09	62.07
0.45	46.09	57.82	42.42
0.36	38.62	56.86	66.67
0.61	65.67	68.38	30.30
0.25	29.91	51.72	56.52
0.00	16.45	43.73	50.00
0.00	11.43	42.02	50.00
0.00	9.08	44.33	80.00
0.35	42.25	60.21	48.72
0.41	53.71	79.61	50.00
0.53	50.72	82.72	43.48
0.27	34.04	62.01	53.57
0.00	13.92	56.82	83.33
0.00	49.01	61.58	32.00
0.00	14.10	53.28	82.93
0.17	21.33	55.84	66.67
0.81	70.71	82.89	15.38
0.22	29.50	65.15	56.72
0.59	59.69	91.06	13.33
1.00	100.00	100.00	0.00
0.00	12.55	51.80	62.50
0.24	32.59	62.03	41.38
1.00	100.00	100.00	0.00
0.35	31.31	56.78	66.67
0.00	14.92	60.95	55.56
0.00	20.45	61.70	60.87
0.00	23.90	67.62	77.78
0.38	32.38	61.28	42.42
0.00	34.49	58.79	57.89
0.66	70.86	82.42	20.69
0.44	52.66	85.39	24.00
0.41	46.51	47.87	41.18
0.00	17.92	58.42	72.00
0.31	43.43	58.89	56.41
0.00	15.77	48.08	69.23
0.00	7.90	38.35	84.21
0.40	46.18	65.72	52.63
0.00	19.84	51.12	60.87
0.58	71.51	67.74	39.34
0.57	60.67	71.75	22.22
0.00	25.76	46.13	51.61
0.23	29.90	45.83	53.85
0.26	35.60	58.42	55.05
0.28	47.17	69.25	48.57
0.19	36.04	56.91	50.98
0.51	52.17	75.35	28.57
0.25	32.61	55.41	51.06
0.21	26.71	64.04	57.14
0.32	34.60	61.34	53.12
0.28	36.31	54.92	73.68
0.53	51.27	64.51	47.06
0.33	45.24	62.33	46.15
0.41	46.45	62.53	41.67
0.33	43.81	68.38	48.98
0.45	53.17	59.99	41.51
0.34	43.42	70.38	61.22
0.21	41.13	53.97	60.53
0.49	61.97	53.20	55.17
0.35	49.66	67.41	30.77
0.67	73.88	85.65	12.90
0.49	57.08	65.05	45.00
0.59	63.40	76.92	18.18
0.00	12.80	49.39	68.57
0.57	60.37	81.15	22.86
0.19	32.35	65.16	64.15
0.71	76.92	93.73	10.00
0.65	71.67	77.21	32.84
0.77	84.11	96.32	8.33
0.00	30.40	56.45	76.47
0.55	61.61	88.65	29.41
0.46	50.90	73.06	42.86
0.60	65.56	86.58	30.51
0.48	51.45	68.54	50.91
0.94	95.91	83.45	16.87
0.44	38.57	71.12	47.62
0.32	36.29	60.57	60.61
0.15	20.43	58.51	63.27
0.27	27.56	72.76	32.26
0.33	40.57	44.36	68.57
0.17	25.87	54.36	68.29
0.58	61.62	73.55	18.52
0.41	47.13	66.60	47.89
0.52	53.93	70.97	25.64
0.35	38.44	65.22	50.70
0.39	46.60	64.05	54.17
0.41	45.88	63.43	48.84
0.00	15.73	46.43	70.00
0.53	56.48	70.32	38.60
0.51	46.21	79.34	36.84
0.35	43.68	66.36	55.38
0.38	50.49	41.04	73.68
0.72	74.74	85.30	21.62
0.41	40.35	60.76	40.00
0.40	37.23	69.96	40.00
0.37	48.02	71.57	42.55
0.52	62.40	75.64	32.50
0.21	24.74	47.08	55.56
0.00	17.79	39.52	62.07
0.48	43.79	70.93	53.85
0.34	34.33	75.53	35.29
0.65	70.37	84.06	27.12
0.28	37.76	71.00	57.89
0.78	78.22	89.10	11.11
0.49	56.75	62.44	50.00
0.56	61.02	80.22	22.22
0.50	51.87	59.73	32.00
0.92	95.26	87.22	7.69
0.60	59.99	65.64	35.71
0.00	39.29	70.77	32.26
0.00	21.87	57.31	48.28
0.36	42.12	65.05	33.33
0.48	52.02	81.49	31.37
0.70	73.59	87.61	21.74
0.73	78.94	73.23	20.00
0.23	20.52	68.01	69.39
0.61	65.02	76.36	25.97
0.43	44.68	69.25	30.43
0.44	51.61	65.57	35.29
0.46	50.95	69.51	46.88
0.25	30.14	59.41	47.06
0.43	60.51	72.14	29.79
0.32	54.03	61.95	60.61
0.48	51.62	69.34	32.00
0.00	39.69	76.99	62.50
0.31	43.53	61.79	58.46
0.00	12.27	61.22	73.33
0.28	35.18	65.66	68.29
0.00	13.94	44.15	73.85
0.43	49.61	65.93	54.17
0.00	18.00	55.75	48.78
0.00	13.45	51.78	64.52
0.58	63.42	70.30	45.28
0.00	16.75	53.34	85.71
0.00	16.19	57.47	44.44
0.27	38.12	53.48	55.56
0.00	11.16	41.07	89.86
0.28	29.90	45.95	62.37
0.14	19.14	40.48	68.57
0.00	13.67	55.92	58.06
0.00	16.19	44.79	66.67
0.00	28.92	49.69	64.00
0.12	14.84	42.18	79.17
0.53	60.29	57.43	50.00
0.35	39.15	56.83	54.17
0.00	8.84	43.03	93.33
0.18	31.47	54.36	70.00
0.11	17.83	40.94	77.61
0.54	51.33	74.28	25.00
0.33	38.07	60.37	53.33
0.00	10.12	37.07	79.17
0.00	28.05	47.70	73.24
0.35	39.22	61.63	56.18
0.11	20.30	41.95	75.86
0.19	28.20	50.07	55.56
0.21	22.34	43.08	60.47
0.00	15.86	43.93	78.12
0.00	5.70	25.49	80.00
0.00	11.59	52.42	66.67
0.45	47.14	74.71	47.37
0.55	64.33	76.38	21.62
0.35	51.29	63.85	36.36
0.00	28.92	68.79	41.67
0.32	47.03	58.62	44.44
0.54	62.55	80.53	22.22
0.45	64.82	63.77	28.57
0.30	38.16	88.11	83.33
0.51	52.48	67.99	48.00
0.49	57.35	84.40	38.46
0.00	33.89	50.54	59.26
0.34	74.23	85.52	44.44
0.00	12.40	40.19	117.65
0.00	22.51	46.78	65.00
0.35	45.43	77.37	43.75
0.00	24.74	51.65	72.73
0.24	32.56	58.34	60.00
0.39	46.89	61.25	40.00
0.00	59.46	91.40	15.38
0.23	28.88	47.88	65.57
0.00	100.00	100.00	0.00
0.45	70.83	85.46	26.67
0.00	24.81	48.21	57.14
0.37	50.07	63.96	50.00
0.50	59.73	70.32	45.78
0.00	5.52	26.13	81.82
0.20	30.65	64.23	56.67
0.32	36.85	58.79	57.14
0.28	41.97	59.78	61.54
0.33	37.93	68.63	57.14
0.00	20.74	39.53	71.11
0.38	42.16	66.92	45.00
0.38	40.29	53.68	56.52
0.41	38.10	62.36	43.48
0.40	39.24	59.25	55.81
0.34	45.59	51.26	53.66
0.14	12.75	32.04	75.00
0.19	26.16	54.62	100.00
0.00	7.70	37.34	80.00
0.00	19.75	39.98	75.86
0.00	8.05	38.24	88.89
0.34	43.72	56.45	62.50
0.00	8.07	42.85	96.77
0.25	26.73	59.18	52.17
0.18	20.86	47.92	94.12
0.00	7.86	51.84	75.00
0.25	29.17	56.07	54.55
0.00	24.81	39.85	93.33
0.22	24.44	60.12	66.67
0.00	15.64	61.23	100.00
0.44	52.08	68.26	42.11
0.34	28.84	56.92	57.14
0.00	13.49	44.90	52.63
0.27	40.16	68.25	48.98
0.49	53.97	70.40	43.90
0.28	34.96	61.70	53.66
0.45	59.23	74.59	31.58
0.29	35.07	61.24	60.00
0.00	22.41	62.48	78.26
0.38	38.42	68.48	61.90
0.00	14.92	60.96	62.50
0.19	25.76	45.02	66.67
0.31	36.09	63.03	56.25
0.00	30.79	52.16	47.37
0.00	13.74	46.63	60.61
0.00	27.82	52.79	75.00
0.69	70.40	66.93	28.57
0.00	6.80	46.52	69.57
0.46	54.08	75.95	24.24
0.00	14.90	68.28	45.45
0.28	41.91	61.07	46.15
0.37	39.52	63.62	39.29
0.27	35.03	53.68	53.33
0.23	35.07	76.40	52.63
0.21	32.04	46.77	66.67
0.00	20.68	42.76	72.22
0.23	36.61	58.13	52.17
1.00	100.00	100.00	0.00
0.45	59.94	82.97	22.86
0.76	74.68	92.35	20.00
0.60	67.25	76.42	23.08
0.00	22.89	50.02	59.26
0.00	15.37	53.60	66.67
