BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.74	76.20	74.31	74.31
0.43	41.69	67.33	67.33
0.22	37.89	67.47	67.47
0.00	16.14	56.79	56.79
0.21	20.77	45.57	45.57
0.29	35.14	58.41	58.41
0.00	23.91	46.79	46.79
0.28	34.35	59.22	59.22
0.00	12.68	45.49	45.49
0.32	38.25	59.52	59.52
0.72	71.41	82.27	82.27
0.88	85.79	95.99	95.99
0.52	55.85	62.39	62.39
0.00	11.64	49.79	49.79
0.53	43.79	66.37	66.37
0.35	35.83	52.25	52.25
0.38	48.21	70.98	70.98
0.25	29.12	56.39	56.39
0.00	18.21	60.71	60.71
0.45	42.95	71.12	71.12
0.37	51.70	89.47	89.47
0.30	33.53	68.79	68.79
0.31	38.27	64.23	64.23
0.00	42.06	59.63	59.63
0.00	21.63	49.57	49.57
0.44	49.14	73.78	73.78
0.24	22.13	54.93	54.93
0.00	31.56	66.92	66.92
0.15	20.17	49.48	49.48
0.00	13.99	51.26	51.26
0.13	17.68	39.69	39.69
0.00	15.80	51.73	51.73
0.35	40.64	55.54	55.54
0.35	40.22	54.42	54.42
0.00	12.57	47.26	47.26
0.00	8.61	43.73	43.73
0.00	8.97	39.08	39.08
0.00	22.89	49.55	49.55
0.00	33.01	46.38	46.38
0.00	21.93	66.75	66.75
0.34	40.02	77.13	77.13
0.00	5.59	44.77	44.77
0.47	52.24	68.45	68.45
0.00	19.16	67.88	67.88
0.00	11.02	42.95	42.95
0.26	32.70	60.57	60.57
0.00	14.50	46.15	46.15
0.52	60.71	75.78	75.78
0.15	22.85	43.76	43.76
0.63	56.33	81.14	81.14
0.00	8.05	44.41	44.41
0.20	26.00	55.58	55.58
1.00	100.00	100.00	100.00
0.86	86.05	93.66	93.66
0.24	32.40	70.59	70.59
0.18	24.89	49.56	49.56
0.58	57.96	60.12	60.12
0.70	77.11	52.50	52.50
0.25	38.83	55.55	55.55
0.00	15.64	48.24	48.24
0.32	37.95	56.14	56.14
0.00	27.41	63.20	63.20
1.00	100.00	86.13	86.13
0.00	26.77	33.87	33.87
0.00	14.26	22.60	22.60
0.30	44.68	59.87	59.87
0.38	35.61	58.64	58.64
0.37	37.49	54.85	54.85
0.21	26.37	46.18	46.18
0.33	39.12	54.92	54.92
0.39	48.89	70.47	70.47
0.42	39.33	51.66	51.66
0.32	34.90	49.56	49.56
0.74	77.78	73.52	73.52
0.35	35.01	55.36	55.36
0.52	53.68	70.04	70.04
0.36	35.83	66.12	66.12
0.00	8.55	42.59	42.59
0.35	40.46	63.91	63.91
0.52	61.80	76.68	76.68
0.53	50.72	82.72	82.72
0.26	30.14	64.89	64.89
0.00	27.14	61.16	61.16
0.00	49.01	59.16	59.16
0.37	51.06	69.35	69.35
0.24	29.19	62.32	62.32
0.81	70.71	82.89	82.89
0.30	32.36	58.50	58.50
0.59	59.69	91.06	91.06
1.00	100.00	100.00	100.00
0.00	7.46	47.97	47.97
0.00	11.25	31.49	31.49
0.54	51.33	100.00	100.00
0.47	44.71	66.96	66.96
0.00	14.92	66.11	66.11
0.61	65.62	86.50	86.50
0.32	54.91	73.77	73.77
0.60	64.72	76.93	76.93
0.00	8.60	48.66	48.66
0.57	63.02	77.52	77.52
0.59	60.25	85.80	85.80
0.60	58.06	59.63	59.63
0.00	24.94	59.34	59.34
0.33	45.55	59.20	59.20
0.00	17.12	36.81	36.81
0.00	21.86	42.81	42.81
0.39	46.41	69.24	69.24
0.00	36.19	62.52	62.52
0.57	70.04	70.81	70.81
0.50	53.37	70.04	70.04
0.37	38.33	62.00	62.00
0.65	64.14	77.87	77.87
0.29	35.65	59.79	59.79
0.33	49.30	66.42	66.42
0.39	51.82	68.98	68.98
0.51	53.23	69.98	69.98
0.00	14.62	45.31	45.31
0.21	26.71	64.04	64.04
0.25	29.37	67.46	67.46
0.19	22.01	54.97	54.97
0.49	49.55	73.83	73.83
0.33	43.93	62.33	62.33
0.45	50.80	64.97	64.97
0.49	56.91	84.84	84.84
0.43	51.73	60.09	60.09
0.50	61.34	78.66	78.66
0.34	44.39	57.90	57.90
0.25	48.99	58.78	58.78
0.74	80.52	84.06	84.06
0.47	55.64	77.56	77.56
0.46	54.40	72.13	72.13
0.70	73.49	85.57	85.57
0.00	14.64	51.27	51.27
0.60	61.83	77.15	77.15
0.33	44.42	62.97	62.97
0.71	76.92	93.73	93.73
0.50	55.25	66.52	66.52
0.80	85.93	91.04	91.04
0.25	32.89	54.04	54.04
1.00	100.00	100.00	100.00
0.49	54.20	73.48	73.48
0.60	65.56	83.52	83.52
0.52	54.72	64.40	64.40
0.94	95.91	83.45	83.45
0.56	51.02	74.49	74.49
0.42	44.59	68.73	68.73
0.37	44.19	65.25	65.25
0.49	54.01	78.70	78.70
0.39	49.50	46.03	46.03
0.00	13.54	50.60	50.60
0.38	48.88	59.76	59.76
0.41	47.62	66.48	66.48
0.53	57.66	69.85	69.85
0.39	42.45	66.83	66.83
0.43	50.69	68.89	68.89
0.27	29.79	57.21	57.21
0.00	15.73	41.89	41.89
0.34	39.22	64.66	64.66
0.52	46.77	81.53	81.53
0.28	36.15	60.55	60.55
0.00	15.25	35.38	35.38
0.85	86.56	90.25	90.25
0.28	27.90	55.21	55.21
0.51	48.46	78.75	78.75
0.46	51.53	77.01	77.01
0.63	67.92	78.07	78.07
0.29	29.13	68.01	68.01
0.31	23.58	38.29	38.29
