BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.64	66.58	74.11	74.11
0.40	38.99	66.37	66.37
0.22	37.89	67.47	67.47
0.00	11.53	56.03	56.03
0.36	37.64	57.91	57.91
0.29	38.09	56.00	56.00
0.00	40.64	50.80	50.80
0.00	16.26	52.89	52.89
0.18	19.86	43.11	43.11
0.00	10.69	46.14	46.14
0.58	65.69	84.84	84.84
0.38	42.61	70.78	70.78
0.26	36.38	52.90	52.90
0.00	15.84	46.63	46.63
0.60	56.59	70.13	70.13
0.35	39.00	52.50	52.50
0.32	43.94	66.33	66.33
0.00	12.04	50.12	50.12
0.00	23.46	60.71	60.71
0.48	53.73	69.80	69.80
0.00	13.35	58.64	58.64
0.21	32.80	63.98	63.98
0.19	25.02	57.12	57.12
0.00	53.82	62.23	62.23
0.28	33.38	52.55	52.55
0.48	55.06	70.91	70.91
0.18	24.65	53.41	53.41
0.00	14.54	60.26	60.26
0.00	11.19	42.42	42.42
0.00	15.30	49.80	49.80
0.00	15.81	40.49	40.49
0.14	26.81	51.79	51.79
0.31	35.78	53.95	53.95
0.33	44.96	57.01	57.01
0.00	8.51	44.45	44.45
0.00	7.77	51.85	51.85
0.00	3.76	23.41	23.41
0.00	30.13	46.54	46.54
0.00	33.28	45.65	45.65
0.00	27.05	73.13	73.13
0.21	31.32	51.54	51.54
0.00	5.54	46.65	46.65
0.32	38.97	57.83	57.83
0.00	11.39	69.46	69.46
0.00	11.59	44.62	44.62
0.19	35.09	53.81	53.81
0.14	21.32	48.61	48.61
0.61	72.00	78.77	78.77
0.13	21.09	48.77	48.77
0.45	50.35	71.60	71.60
0.00	8.76	48.09	48.09
0.00	16.64	53.76	53.76
0.54	54.11	75.14	75.14
0.90	93.24	87.30	87.30
0.18	18.56	52.89	52.89
0.17	22.11	48.19	48.19
0.00	13.68	65.27	65.27
0.39	44.83	46.90	46.90
0.24	36.20	51.34	51.34
0.00	4.62	46.26	46.26
0.33	38.39	49.88	49.88
0.00	18.09	54.52	54.52
0.95	95.34	80.77	80.77
0.00	26.80	36.27	36.27
0.00	10.55	19.28	19.28
0.00	19.45	44.53	44.53
0.00	15.25	48.19	48.19
0.55	63.63	62.78	62.78
0.16	17.32	43.88	43.88
0.24	26.16	46.61	46.61
