BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.72	73.68	83.61	21.43
0.37	36.62	66.44	58.06
0.44	54.81	73.79	31.11
0.17	22.42	58.35	69.57
0.22	22.93	48.36	62.22
0.00	30.16	47.71	73.33
0.00	44.97	64.03	42.11
0.19	24.46	58.17	58.62
0.16	13.93	43.58	87.50
0.00	26.43	60.75	57.14
0.62	65.78	80.04	37.84
0.88	85.79	95.99	7.14
0.27	34.93	57.86	65.57
0.00	15.84	48.34	53.85
0.34	32.38	59.39	61.54
0.36	39.75	53.35	30.77
0.39	53.63	70.83	37.04
0.22	29.89	57.23	70.97
0.00	19.67	60.71	73.68
0.48	53.73	71.09	32.00
0.35	32.47	74.14	33.33
0.38	42.57	70.05	40.82
0.18	24.32	57.31	67.86
0.00	50.24	54.02	32.00
0.58	62.57	68.65	22.73
0.40	48.97	69.45	41.79
0.49	52.71	72.73	40.00
0.00	14.54	52.73	57.14
0.00	16.01	49.12	72.00
0.23	28.30	58.29	67.57
0.00	16.09	49.03	66.67
0.23	36.37	58.24	55.17
0.30	41.02	63.10	52.83
0.31	46.44	59.07	49.38
0.00	22.14	56.61	66.67
0.00	14.99	52.32	85.71
0.00	6.79	26.30	80.00
0.00	22.89	49.55	54.55
0.00	29.56	41.82	58.82
0.00	24.45	67.00	40.00
0.21	31.32	51.54	50.00
0.00	5.94	48.84	85.00
0.53	61.51	63.11	51.28
0.00	19.16	67.88	40.00
0.00	11.96	45.35	87.10
0.17	21.34	49.83	53.33
0.15	22.26	52.84	72.73
0.61	67.05	73.85	45.28
0.00	11.02	40.95	78.57
0.69	74.77	86.40	16.00
0.00	12.45	51.56	69.23
0.00	24.81	65.79	55.81
0.54	54.11	65.45	47.06
0.78	88.95	86.03	19.05
0.00	16.49	49.53	63.41
0.42	48.77	55.53	60.00
0.00	15.31	52.20	66.67
0.39	44.83	48.15	34.78
0.00	19.99	48.91	102.70
0.30	36.33	59.55	43.24
0.33	37.51	55.60	60.00
0.00	25.72	46.25	66.67
1.00	100.00	86.13	20.51
0.27	37.91	41.51	65.31
0.00	13.49	22.24	70.59
0.37	51.25	66.48	48.48
0.21	19.96	56.74	52.83
0.64	68.72	66.19	37.29
0.00	10.59	43.95	81.82
0.29	37.26	48.86	48.89
0.23	27.41	64.77	68.97
0.48	56.54	63.86	36.36
0.38	46.60	54.99	58.33
0.61	65.67	68.38	30.30
0.28	32.34	54.08	52.17
0.24	25.61	54.38	46.43
0.19	19.38	51.13	70.00
0.00	8.56	39.77	86.67
0.34	42.04	56.51	58.97
0.41	53.71	79.61	50.00
0.46	43.85	78.84	52.17
0.29	34.70	59.37	60.71
0.00	14.39	56.86	79.17
0.00	45.83	61.53	40.00
0.00	22.07	64.23	63.41
0.47	49.86	69.60	41.03
0.81	70.71	82.89	15.38
0.39	43.49	66.47	56.72
0.59	59.69	91.06	13.33
1.00	100.00	100.00	0.00
0.41	51.70	48.94	50.00
0.24	32.59	62.03	41.38
0.00	50.00	70.15	13.33
0.32	29.28	56.33	75.00
0.00	14.92	66.11	55.56
0.00	32.65	77.15	34.78
0.00	16.59	51.60	77.78
0.00	18.96	51.42	54.55
0.00	12.29	49.30	73.68
0.62	61.48	78.96	34.48
0.00	25.19	76.92	32.00
0.47	45.78	56.46	41.18
0.00	6.43	44.18	112.00
0.00	15.37	50.96	71.79
0.54	61.09	74.34	38.46
0.00	12.30	43.92	77.19
0.56	58.67	71.63	31.58
0.42	43.70	70.35	34.78
0.50	55.11	63.91	42.62
0.69	66.45	80.08	17.78
0.00	25.76	52.99	51.61
0.00	21.98	41.87	53.85
0.26	36.27	51.07	66.06
0.24	40.75	65.06	51.43
0.00	26.87	58.38	54.90
0.23	24.60	64.91	53.06
0.00	18.18	50.43	59.57
0.28	32.92	64.78	52.38
0.38	40.15	65.00	53.12
0.21	28.10	61.39	73.68
0.51	50.60	67.90	38.24
0.49	55.96	67.73	30.77
0.41	46.45	63.18	41.67
0.35	39.88	71.74	44.90
0.35	41.17	59.12	49.06
0.57	68.90	80.11	36.73
0.38	45.47	59.93	47.37
0.17	26.54	49.08	48.28
0.30	41.63	61.45	38.46
0.43	49.50	70.29	32.26
0.36	44.72	60.06	55.00
1.00	100.00	100.00	0.00
0.00	15.44	52.17	68.57
0.48	53.02	63.38	40.00
0.12	26.24	56.27	75.47
0.64	71.03	83.36	30.00
0.55	58.07	72.39	35.82
0.78	78.55	93.57	16.67
0.55	59.75	64.13	52.94
0.83	85.79	96.34	5.88
0.54	61.48	68.11	42.86
0.75	77.82	89.10	13.56
0.67	68.42	80.32	29.09
0.87	89.24	88.70	14.46
0.59	51.85	76.58	33.33
0.16	24.36	64.45	60.61
0.26	34.84	60.23	55.10
0.37	44.77	82.13	25.81
0.00	18.84	45.49	57.14
0.17	25.54	54.98	63.41
0.40	48.90	61.61	37.04
0.48	53.50	65.91	42.25
0.52	55.80	71.68	30.77
0.35	38.79	65.77	50.70
0.34	40.58	63.08	58.33
0.31	35.68	62.69	51.16
0.00	31.70	50.35	70.00
0.38	48.14	68.35	45.61
0.65	66.97	85.92	21.05
0.29	39.96	62.53	58.46
0.38	47.75	42.61	63.16
0.85	86.56	90.25	5.41
0.00	43.47	82.04	30.00
0.31	31.84	67.14	46.67
0.49	61.55	80.35	29.79
0.55	60.53	72.81	27.50
0.21	24.74	49.96	55.56
0.00	17.79	34.39	62.07
0.52	50.95	66.64	38.46
0.34	34.33	75.53	35.29
0.68	70.57	83.60	20.34
0.00	30.34	62.60	57.89
0.64	55.49	79.90	22.22
0.44	51.28	64.05	55.88
0.56	58.21	84.12	22.22
0.00	14.95	47.66	64.00
0.24	34.36	67.73	46.15
0.51	53.57	61.19	71.43
0.24	29.63	62.09	58.06
0.00	13.45	43.47	62.07
0.73	75.39	91.01	16.67
0.67	66.67	85.18	27.45
0.73	76.82	85.68	13.04
0.53	52.03	67.04	40.00
0.52	55.82	81.57	32.65
0.54	57.89	73.34	28.57
0.34	37.11	64.82	43.48
0.52	57.29	76.06	23.53
0.45	50.91	72.48	43.75
0.24	29.49	61.76	52.94
0.32	40.13	64.76	46.81
0.23	35.90	66.07	48.48
0.33	35.08	56.75	52.00
0.00	39.67	73.17	50.00
0.43	53.22	63.06	46.15
0.00	8.81	64.16	66.67
0.00	20.23	54.06	68.29
0.00	13.15	46.60	67.69
0.24	31.81	63.31	87.50
0.00	20.90	64.82	34.15
0.39	52.24	76.16	45.16
0.53	54.65	68.50	45.28
0.00	7.27	49.18	76.19
0.00	14.98	59.38	51.85
0.31	38.47	55.41	55.56
0.00	8.83	43.18	86.96
0.30	36.58	47.43	62.37
0.11	17.62	38.87	74.29
0.00	11.86	54.22	77.42
0.27	34.58	49.63	58.33
