BLEU	sacre_BLEU	sacre_CHRF2
0.72	73.68	83.61
0.00	12.04	52.81
0.22	37.89	67.47
0.17	20.74	58.19
0.21	20.33	48.47
0.32	36.86	56.48
0.00	34.39	64.03
0.32	35.35	58.33
0.00	6.98	40.79
0.00	8.17	39.56
0.50	55.75	76.01
0.69	68.99	87.89
0.30	39.97	55.53
0.00	11.64	55.22
0.53	43.79	66.05
0.34	34.23	50.95
0.28	38.81	69.08
0.26	28.34	58.35
0.00	16.94	60.54
0.45	42.95	70.68
0.35	32.47	73.22
0.39	42.57	73.36
0.19	23.65	57.07
0.00	42.06	59.63
0.27	33.85	54.43
0.40	46.17	69.32
0.53	51.02	62.53
0.00	35.49	61.66
0.00	22.91	50.56
0.00	14.75	45.76
0.13	18.23	41.90
0.15	21.74	45.91
0.27	30.95	55.00
0.36	46.23	59.18
0.00	7.76	48.46
0.00	4.84	47.79
0.00	3.76	27.93
0.00	22.89	59.27
0.00	33.28	45.65
0.00	27.05	73.18
0.00	19.33	50.10
0.11	11.30	45.52
0.54	61.78	69.12
0.35	34.17	69.75
0.00	6.62	39.04
0.15	24.03	51.74
0.00	6.37	43.11
0.43	53.32	69.96
0.08	13.05	42.92
0.63	56.33	81.14
0.00	12.36	49.41
0.00	18.67	60.20
0.54	54.11	75.14
0.74	77.49	83.33
0.00	22.80	49.03
0.24	31.82	53.43
0.00	15.31	52.20
0.55	66.10	47.29
0.00	21.48	47.57
0.00	8.13	47.45
0.20	27.64	48.81
0.00	26.24	58.36
1.00	100.00	86.13
0.00	26.26	31.52
0.00	10.55	14.33
0.25	41.78	56.84
0.25	28.70	56.11
0.44	48.32	65.41
0.00	13.57	42.86
0.44	46.79	65.87
0.25	36.73	71.50
0.39	36.85	51.08
0.60	65.53	77.03
0.61	65.67	68.38
0.47	49.34	61.37
0.41	45.33	54.47
0.36	35.69	57.43
0.00	9.08	44.33
0.25	33.44	54.78
0.49	55.84	76.89
0.53	50.72	82.72
0.20	24.75	55.89
0.00	6.11	50.35
0.00	45.83	61.53
0.00	13.52	51.58
0.15	16.70	54.10
0.81	70.71	82.89
0.16	21.57	60.95
0.00	31.02	75.49
1.00	100.00	100.00
0.00	5.60	41.56
0.00	12.94	52.07
0.00	50.00	70.15
0.35	33.65	57.92
0.00	14.92	66.11
0.00	20.45	61.70
0.29	54.91	57.34
0.38	32.38	61.28
0.00	34.90	60.55
0.54	60.29	72.39
0.00	39.75	83.33
0.44	46.51	52.42
0.00	20.29	58.05
0.47	55.43	71.12
0.00	16.78	52.66
0.00	13.35	39.10
0.39	51.23	69.87
0.00	36.19	62.52
0.00	29.43	54.97
0.46	48.42	62.83
0.00	19.62	41.88
0.23	29.90	45.83
0.17	31.09	53.39
0.22	40.89	66.57
0.00	33.06	60.20
0.38	42.80	78.82
0.00	20.33	50.18
0.20	26.18	62.93
0.15	20.35	61.24
0.24	30.61	52.85
0.23	26.89	56.63
0.33	43.93	62.33
0.37	40.66	61.13
0.40	50.03	76.73
0.45	53.17	59.99
0.39	46.25	67.52
0.21	32.95	54.43
0.51	60.20	60.01
0.41	49.66	63.09
0.67	73.88	85.65
0.51	62.08	68.50
0.89	90.36	90.52
0.00	14.03	48.14
0.57	63.50	78.23
0.17	28.20	57.55
0.64	71.03	83.36
0.71	75.51	72.19
0.88	91.08	89.09
0.00	23.15	52.52
0.83	85.79	96.34
0.47	50.24	72.21
0.51	54.40	77.88
0.79	78.50	84.19
0.87	90.71	83.51
0.51	46.22	72.24
0.28	33.04	66.14
0.19	24.69	54.99
0.64	66.75	89.70
0.00	18.30	40.72
0.27	33.10	57.45
0.58	61.62	73.55
0.41	47.13	66.60
0.52	53.87	71.97
0.46	49.00	72.47
0.39	46.04	62.38
0.24	32.17	57.07
0.00	23.90	46.74
0.38	49.53	67.61
0.52	46.77	81.53
0.28	39.11	62.50
0.38	47.75	44.58
0.91	91.74	90.32
0.64	59.00	70.07
0.56	52.59	76.10
0.61	64.86	78.81
0.62	67.17	77.87
0.21	20.02	53.82
0.28	22.64	38.31
0.24	23.18	58.08
0.80	80.34	91.59
0.57	63.05	77.13
0.32	39.99	69.90
0.84	86.56	90.47
0.37	50.24	66.06
0.56	58.21	84.12
0.50	51.87	59.73
0.70	88.91	95.05
0.38	38.67	58.33
0.00	38.67	59.98
0.00	7.79	51.17
0.54	58.11	72.80
0.32	36.00	67.15
0.85	86.76	88.17
