BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.35	41.13	75.73	35.71
0.00	6.69	47.59	77.42
0.62	69.35	80.27	22.22
0.18	23.27	59.36	65.22
0.22	23.55	49.20	62.22
0.29	38.09	58.41	53.33
0.39	37.82	68.07	31.58
0.34	39.44	59.57	55.17
0.16	14.61	43.63	81.25
0.00	12.30	54.12	57.14
0.64	71.87	84.21	48.65
0.88	85.79	95.99	7.14
0.32	39.66	61.31	62.30
0.00	15.84	48.34	53.85
0.60	56.59	69.60	38.46
0.34	38.72	51.41	46.15
0.42	56.17	70.14	37.04
0.17	19.74	47.69	96.77
0.00	23.46	62.16	63.16
0.48	53.73	71.09	32.00
0.00	13.35	53.65	77.78
0.33	41.17	68.63	36.73
0.22	30.65	61.88	53.57
0.00	41.15	58.96	40.00
0.18	25.92	48.55	59.09
0.44	48.75	70.72	41.79
0.25	30.08	50.72	57.14
0.00	14.54	53.65	57.14
0.17	24.31	52.70	60.00
0.24	30.60	61.95	62.16
0.33	38.63	47.03	59.65
0.25	36.08	50.72	68.97
0.33	37.20	61.99	52.83
0.32	39.61	54.93	44.44
0.00	15.91	52.55	66.67
0.00	4.84	47.79	85.71
0.00	6.79	26.30	80.00
0.00	24.18	45.40	63.64
0.00	33.28	45.65	47.06
0.00	27.05	73.18	26.67
0.35	44.90	66.32	45.00
0.00	9.97	46.69	90.00
0.19	25.82	50.63	82.05
0.00	11.39	68.07	50.00
0.12	16.27	47.95	70.97
0.46	55.35	65.70	35.56
0.29	34.45	54.64	54.55
0.46	57.95	70.43	52.83
0.16	25.23	47.38	75.00
0.63	64.14	81.14	24.00
0.00	11.72	47.67	74.36
0.28	34.29	57.19	55.81
0.54	54.11	65.46	47.06
0.87	88.95	87.15	14.29
0.00	13.34	48.14	68.29
0.25	34.57	54.39	76.00
0.29	35.22	70.56	51.85
0.55	66.10	47.29	34.78
0.00	22.35	51.47	91.89
0.18	21.27	57.81	59.46
0.19	28.32	46.57	70.00
0.00	27.41	62.62	50.00
0.86	87.87	83.15	20.51
0.00	15.28	30.92	73.47
0.00	9.98	15.96	94.12
0.47	56.09	66.95	42.42
0.42	40.36	63.65	41.51
0.49	56.32	59.67	47.46
0.00	10.85	46.29	68.18
0.39	42.73	54.11	48.89
0.34	37.44	65.99	62.07
0.45	48.44	55.00	36.36
0.45	61.00	56.70	66.67
0.61	65.67	68.38	30.30
0.28	32.24	53.03	52.17
0.00	11.92	46.04	53.57
0.26	26.70	60.95	60.00
0.00	6.99	32.16	80.00
0.17	22.77	51.69	71.79
0.49	55.84	76.11	31.82
0.46	43.85	78.84	52.17
0.44	51.02	66.73	42.86
0.34	38.85	64.53	58.33
0.00	45.83	61.53	40.00
0.00	22.07	63.56	63.41
0.17	21.33	55.84	66.67
0.81	70.71	82.89	15.38
0.27	32.93	66.66	53.73
0.00	11.04	46.05	80.00
0.46	50.39	84.65	27.59
0.00	8.26	51.36	62.50
0.24	32.59	62.03	41.38
1.00	100.00	100.00	0.00
0.35	31.31	58.63	66.67
0.00	14.92	66.11	55.56
0.60	64.93	86.25	17.39
0.00	29.98	69.45	44.44
0.55	55.33	68.99	30.30
0.16	15.78	48.36	68.42
0.62	61.48	73.40	34.48
0.00	34.57	81.36	40.00
0.35	35.69	46.78	47.06
0.00	13.68	58.32	72.00
0.31	36.33	64.77	51.28
0.54	61.09	74.34	38.46
0.20	24.14	49.37	59.65
0.56	58.70	71.42	31.58
0.42	45.85	72.39	34.78
0.50	55.11	62.04	45.90
0.47	44.83	60.40	31.11
0.00	25.76	46.13	51.61
0.23	29.90	45.83	53.85
0.22	30.98	49.48	67.89
0.28	43.15	69.00	48.57
0.33	41.35	64.78	47.06
0.50	53.52	72.08	40.82
0.25	31.28	51.90	51.06
0.17	22.40	59.75	61.90
0.29	33.05	60.46	56.25
0.19	22.01	54.97	73.68
0.46	47.45	66.24	38.24
0.49	55.96	67.73	30.77
0.50	54.28	66.20	38.89
0.00	23.47	60.64	69.39
0.44	48.96	60.35	41.51
0.39	53.87	69.82	57.14
0.33	39.97	59.16	50.00
0.33	52.70	57.43	51.72
0.35	49.66	66.63	30.77
0.67	73.88	85.65	12.90
0.50	57.01	68.13	45.00
0.70	73.49	85.57	9.09
0.00	16.32	52.31	57.14
0.67	75.22	76.65	17.14
0.22	35.14	61.06	56.60
0.64	71.03	83.36	30.00
0.71	75.51	72.19	29.85
0.52	61.00	77.24	33.33
0.53	57.18	70.90	47.06
0.83	85.79	96.34	5.88
0.37	43.82	68.38	42.86
0.35	40.50	73.14	64.41
0.50	53.23	65.27	43.64
0.82	85.62	93.86	9.64
0.55	57.18	79.92	33.33
0.36	38.69	67.37	54.55
0.18	24.29	51.61	65.31
0.61	64.23	86.34	12.90
0.36	46.66	50.24	62.86
0.17	31.37	55.11	63.41
0.47	55.01	64.32	33.33
0.45	51.28	67.50	42.25
0.52	55.80	71.68	30.77
0.36	39.11	66.76	47.89
