BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.58	61.22	80.45	28.57
0.37	36.62	66.32	58.06
0.22	37.89	67.47	48.89
0.18	23.27	59.08	65.22
0.38	38.21	59.16	57.78
0.29	38.09	58.41	53.33
0.00	19.16	46.61	52.63
0.19	24.02	55.39	62.07
0.16	15.36	42.48	81.25
0.00	10.69	52.30	66.67
0.55	63.54	82.05	27.03
0.57	56.79	84.25	28.57
0.33	41.32	57.32	65.57
0.00	10.07	42.73	69.23
0.49	46.83	68.37	46.15
0.35	39.00	47.63	38.46
0.39	49.95	67.39	37.04
0.12	16.82	48.82	80.65
0.00	23.46	60.71	63.16
0.48	53.73	70.80	32.00
0.35	32.47	73.22	33.33
0.24	31.33	64.15	53.06
0.19	25.02	57.83	60.71
0.00	13.68	53.52	80.00
0.40	46.22	61.17	36.36
0.46	50.41	71.04	44.78
0.42	47.03	60.31	45.71
0.00	14.54	53.65	57.14
0.17	24.34	53.04	60.00
0.00	16.82	54.15	72.97
0.14	20.84	43.64	63.16
0.00	13.88	44.90	75.86
0.17	23.80	60.43	60.38
0.19	29.04	55.61	56.79
0.00	11.64	50.14	81.48
0.00	4.84	47.79	85.71
0.00	3.76	23.65	88.00
0.00	24.18	45.40	63.64
0.00	29.80	40.85	58.82
0.00	27.05	73.18	26.67
0.21	31.32	51.54	50.00
0.00	5.46	46.85	100.00
0.31	36.33	54.73	51.28
0.35	34.17	69.75	30.00
0.11	13.92	44.76	70.97
0.24	38.10	57.06	48.89
0.14	21.77	46.40	86.36
0.59	69.08	77.78	49.06
0.15	23.97	46.95	78.57
0.63	64.14	81.14	24.00
0.00	12.10	47.28	79.49
0.00	18.79	61.48	69.77
0.54	54.11	75.14	47.06
0.76	88.44	91.14	9.52
0.00	12.28	49.01	63.41
0.26	35.08	61.38	100.00
0.00	15.84	68.99	59.26
0.35	40.51	48.21	43.48
0.00	21.48	49.70	97.30
0.00	12.09	54.77	64.86
0.17	24.01	49.31	73.33
0.00	23.24	50.86	66.67
0.74	77.63	75.73	41.03
0.00	26.68	32.41	77.55
0.00	9.29	12.19	82.35
0.29	38.01	57.30	54.55
0.20	26.44	55.30	56.60
0.49	56.32	59.67	47.46
0.00	6.98	36.20	72.73
0.38	41.17	57.37	48.89
0.23	33.60	65.07	68.97
0.51	58.76	62.57	30.30
0.36	38.62	56.86	66.67
0.67	71.60	73.11	24.24
0.29	32.96	56.16	52.17
0.26	24.64	47.70	57.14
0.45	46.41	66.86	50.00
0.00	8.51	36.54	93.33
0.33	38.87	56.79	64.10
0.41	53.71	79.61	50.00
0.45	42.61	71.66	52.17
0.22	26.25	54.88	57.14
0.00	21.69	58.65	75.00
0.00	49.01	61.58	32.00
0.00	14.39	52.74	78.05
0.17	21.33	55.97	66.67
0.81	70.71	82.89	15.38
0.18	26.14	63.25	62.69
0.00	26.27	59.06	53.33
1.00	100.00	100.00	0.00
0.00	8.26	47.63	62.50
0.00	24.37	59.44	48.28
0.00	23.36	70.15	40.00
0.28	25.92	56.83	91.67
0.00	14.92	66.11	55.56
0.00	12.01	62.73	69.57
0.00	29.00	77.29	66.67
0.42	42.04	65.80	36.36
0.00	9.61	46.39	78.95
0.70	68.65	81.31	27.59
0.00	39.15	88.26	24.00
0.35	35.69	46.78	47.06
0.00	13.68	58.06	72.00
0.27	31.47	61.87	61.54
0.00	14.45	40.41	84.62
0.00	7.33	33.95	80.70
0.45	49.33	67.82	36.84
0.42	45.85	72.39	34.78
0.34	47.79	64.10	39.34
0.69	66.45	78.32	22.22
0.00	16.68	42.32	58.06
0.23	29.90	45.83	53.85
0.24	34.43	51.59	60.55
0.26	38.51	66.18	54.29
0.00	26.54	58.26	54.90
0.50	53.52	72.08	40.82
0.25	32.61	55.41	51.06
0.18	23.96	59.46	61.90
0.26	30.12	64.36	56.25
0.30	40.16	58.61	73.68
0.48	51.39	68.89	41.18
0.49	55.96	67.73	30.77
0.50	54.28	65.30	38.89
0.00	30.84	66.75	48.98
0.32	39.98	53.54	45.28
0.52	58.44	69.89	48.98
0.36	45.00	60.45	52.63
0.52	65.52	54.93	48.28
0.47	57.74	70.53	23.08
0.67	73.88	85.65	12.90
0.48	56.22	64.21	47.50
0.59	63.40	76.92	18.18
0.00	15.44	52.17	68.57
0.87	89.22	93.06	5.71
0.26	39.88	61.74	56.60
0.76	80.71	86.53	20.00
0.62	65.97	71.73	32.84
0.76	81.01	92.23	12.50
0.00	19.94	44.27	76.47
0.72	72.10	85.40	17.65
0.47	48.94	73.32	35.71
0.58	64.29	85.06	30.51
0.89	87.55	90.20	7.27
0.94	95.91	83.45	16.87
0.62	62.68	86.97	38.10
0.28	33.04	66.28	54.55
0.28	34.23	60.10	53.06
0.39	45.83	79.50	19.35
0.33	42.79	48.95	68.57
0.17	31.37	54.36	63.41
0.46	53.15	68.52	25.93
0.47	53.43	68.47	42.25
0.45	47.63	65.98	41.03
0.41	43.41	68.12	42.25
0.33	40.10	59.73	54.17
0.34	37.88	60.84	58.14
0.00	29.00	45.83	60.00
0.56	59.21	69.99	38.60
0.65	66.97	85.92	21.05
0.00	22.13	57.43	61.54
0.38	47.75	45.50	63.16
0.91	91.74	90.32	5.41
0.32	29.98	71.88	50.00
0.56	56.10	75.96	26.67
0.74	77.99	89.98	12.77
0.57	63.21	78.68	25.00
0.21	24.74	49.90	55.56
0.41	47.92	46.52	41.38
0.52	46.05	50.17	61.54
0.34	34.33	75.53	35.29
0.62	70.74	74.71	30.51
0.44	53.69	73.84	21.05
0.60	52.01	86.08	16.67
0.41	48.75	61.53	55.88
0.52	55.48	77.21	35.56
0.50	51.42	60.13	40.00
0.34	34.63	70.79	46.15
0.38	37.40	57.32	57.14
0.00	19.64	60.53	38.71
0.00	18.17	55.78	68.97
0.55	59.15	72.20	25.00
0.56	60.64	78.10	27.45
0.70	73.59	87.61	21.74
0.58	62.36	70.04	26.67
0.29	31.33	69.55	57.14
0.48	53.78	69.79	36.36
0.43	44.68	69.25	30.43
0.41	48.82	66.55	29.41
0.30	37.26	57.76	59.38
0.30	33.25	64.77	35.29
0.40	47.32	67.65	38.30
0.00	35.90	66.07	54.55
0.00	18.81	54.79	64.00
0.00	39.69	76.99	62.50
0.27	38.17	58.64	64.62
0.00	8.67	63.28	66.67
0.37	40.91	73.16	48.78
0.00	13.94	43.45	73.85
0.38	43.15	67.68	70.83
0.00	11.79	42.48	58.54
0.00	16.74	48.23	64.52
0.30	35.09	64.36	45.28
0.00	7.27	45.60	85.71
0.00	17.03	50.52	81.48
0.20	29.86	45.30	66.67
0.00	15.58	45.38	84.06
0.30	33.54	46.48	62.37
0.11	18.71	39.14	71.43
0.00	10.67	48.67	96.77
0.00	13.09	43.42	75.00
0.00	20.50	41.95	56.00
0.12	14.12	37.96	75.00
0.50	57.16	52.06	62.50
0.35	39.15	55.78	58.33
0.00	8.37	40.62	84.44
0.00	10.40	41.47	85.00
0.00	10.76	39.50	77.61
0.00	28.12	70.34	50.00
0.31	37.74	55.65	56.67
0.17	23.82	37.29	70.83
0.00	13.62	43.98	76.06
0.36	37.84	61.83	51.69
0.24	30.02	52.50	62.07
0.00	20.23	46.55	83.33
0.00	14.03	39.76	60.47
0.00	22.93	44.91	75.00
0.00	5.72	27.60	80.00
0.00	10.55	61.21	66.67
0.55	64.73	72.46	42.11
0.23	25.50	54.05	59.46
0.00	27.82	59.01	54.55
0.00	12.73	55.51	50.00
0.32	46.34	62.31	44.44
0.40	51.29	75.98	35.56
0.25	35.55	45.44	57.14
0.00	22.09	51.62	100.00
0.57	65.31	71.14	48.00
0.50	58.88	84.62	30.77
0.00	29.62	45.74	59.26
0.37	66.32	76.63	37.04
0.00	17.24	44.71	82.35
0.00	22.51	54.60	65.00
0.47	51.84	83.75	31.25
0.00	27.23	59.49	72.73
0.00	9.55	39.10	90.00
0.71	73.11	87.43	24.00
0.00	31.56	75.72	61.54
0.26	35.53	50.67	59.02
0.00	100.00	100.00	0.00
0.45	45.40	71.04	40.00
0.00	24.81	48.21	57.14
0.41	45.75	69.16	45.00
0.41	50.12	65.13	53.01
0.00	6.89	37.00	81.82
0.18	34.86	60.94	66.67
0.21	28.26	56.96	57.14
0.42	50.06	65.19	55.38
0.27	32.67	60.18	61.90
0.00	23.83	45.42	62.22
0.38	41.68	65.46	45.00
0.48	49.53	55.78	47.83
0.69	63.82	77.11	34.78
0.47	47.13	64.36	46.51
0.33	44.90	57.49	48.78
0.14	13.57	37.01	67.86
0.19	25.92	54.99	93.33
0.00	12.04	48.91	100.00
0.00	19.75	39.98	75.86
0.00	9.44	34.98	88.89
0.42	49.02	51.60	56.25
0.00	17.31	46.06	77.42
0.29	34.11	58.98	60.87
0.24	31.28	47.88	78.43
0.00	8.10	51.89	79.17
0.22	28.59	55.85	60.61
0.00	22.09	39.60	80.00
0.28	32.67	65.40	57.78
0.00	16.33	58.11	93.33
0.49	54.87	73.41	31.58
0.33	38.54	64.82	40.00
0.00	14.26	56.67	42.11
0.25	26.05	62.68	57.14
0.46	51.32	71.20	48.78
0.32	38.08	64.25	48.78
0.29	36.62	64.35	52.63
0.29	35.07	61.24	60.00
0.00	19.35	58.01	95.65
0.29	34.11	67.37	66.67
0.00	14.92	60.96	62.50
0.19	28.92	49.93	61.73
0.31	35.57	59.87	56.25
0.45	53.65	71.52	36.84
0.00	21.36	49.55	54.55
0.00	10.37	51.78	87.50
0.57	57.68	59.96	45.71
0.00	8.05	43.49	69.57
0.39	45.48	71.53	30.30
0.00	12.55	63.72	54.55
0.00	20.12	45.60	69.23
0.17	22.29	51.44	50.00
0.26	36.17	52.96	53.33
0.39	54.45	83.57	52.63
0.17	27.06	53.51	68.82
