BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.74	76.20	74.31	35.71
0.43	41.69	67.33	51.61
0.22	37.89	67.47	48.89
0.00	16.14	56.79	78.26
0.21	20.77	45.57	66.67
0.29	35.14	58.41	53.33
0.00	23.91	46.79	73.68
0.28	34.35	59.22	55.17
0.00	12.68	45.49	81.25
0.32	38.25	59.52	47.62
0.72	71.41	82.27	16.22
0.88	85.79	95.99	7.14
0.52	55.85	62.39	45.90
0.00	11.64	49.79	61.54
0.53	43.79	66.37	38.46
0.35	35.83	52.25	38.46
0.38	48.21	70.98	40.74
0.25	29.12	56.39	74.19
0.00	18.21	60.71	63.16
0.45	42.95	71.12	32.00
0.37	51.70	89.47	44.44
0.30	33.53	68.79	53.06
0.31	38.27	64.23	46.43
0.00	42.06	59.63	40.00
0.00	21.63	49.57	68.18
0.44	49.14	73.78	44.78
0.24	22.13	54.93	62.86
0.00	31.56	66.92	57.14
0.15	20.17	49.48	76.00
0.00	13.99	51.26	75.68
0.13	17.68	39.69	80.70
0.00	15.80	51.73	68.97
0.35	40.64	55.54	45.28
0.35	40.22	54.42	44.44
0.00	12.57	47.26	74.07
0.00	8.61	43.73	85.71
0.00	8.97	39.08	64.00
0.00	22.89	49.55	54.55
0.00	33.01	46.38	47.06
0.00	21.93	66.75	40.00
0.34	40.02	77.13	35.00
0.00	5.59	44.77	100.00
0.47	52.24	68.45	41.03
0.00	19.16	67.88	40.00
0.00	11.02	42.95	83.87
0.26	32.70	60.57	48.89
0.00	14.50	46.15	72.73
0.52	60.71	75.78	41.51
0.15	22.85	43.76	67.86
0.63	56.33	81.14	24.00
0.00	8.05	44.41	89.74
0.20	26.00	55.58	60.47
1.00	100.00	100.00	0.00
0.86	86.05	93.66	23.81
0.24	32.40	70.59	48.78
0.18	24.89	49.56	84.00
0.58	57.96	60.12	44.44
0.70	77.11	52.50	26.09
0.25	38.83	55.55	81.08
0.00	15.64	48.24	64.86
0.32	37.95	56.14	63.33
0.00	27.41	63.20	50.00
1.00	100.00	86.13	20.51
0.00	26.77	33.87	77.55
0.00	14.26	22.60	70.59
0.30	44.68	59.87	51.52
0.38	35.61	58.64	49.06
0.37	37.49	54.85	50.85
0.21	26.37	46.18	68.18
0.33	39.12	54.92	53.33
0.39	48.89	70.47	55.17
0.42	39.33	51.66	42.42
0.32	34.90	49.56	83.33
0.74	77.78	73.52	24.24
0.35	35.01	55.36	43.48
0.52	53.68	70.04	32.14
0.36	35.83	66.12	45.00
0.00	8.55	42.59	93.33
0.35	40.46	63.91	51.28
0.52	61.80	76.68	45.45
0.53	50.72	82.72	43.48
0.26	30.14	64.89	50.00
0.00	27.14	61.16	75.00
0.00	49.01	59.16	32.00
0.37	51.06	69.35	48.78
0.24	29.19	62.32	56.41
0.81	70.71	82.89	15.38
0.30	32.36	58.50	56.72
0.59	59.69	91.06	13.33
1.00	100.00	100.00	0.00
0.00	7.46	47.97	75.00
0.00	11.25	31.49	68.97
0.54	51.33	100.00	26.67
0.47	44.71	66.96	50.00
0.00	14.92	66.11	55.56
0.61	65.62	86.50	26.09
0.32	54.91	73.77	55.56
0.60	64.72	76.93	18.18
0.00	8.60	48.66	78.95
0.57	63.02	77.52	27.59
0.59	60.25	85.80	24.00
0.60	58.06	59.63	29.41
0.00	24.94	59.34	72.00
0.33	45.55	59.20	56.41
0.00	17.12	36.81	84.62
0.00	21.86	42.81	66.67
0.39	46.41	69.24	52.63
0.00	36.19	62.52	43.48
0.57	70.04	70.81	36.07
0.50	53.37	70.04	26.67
0.37	38.33	62.00	38.71
0.65	64.14	77.87	30.77
0.29	35.65	59.79	53.21
0.33	49.30	66.42	54.29
0.39	51.82	68.98	39.22
0.51	53.23	69.98	36.73
0.00	14.62	45.31	59.57
0.21	26.71	64.04	57.14
0.25	29.37	67.46	50.00
0.19	22.01	54.97	73.68
0.49	49.55	73.83	35.29
0.33	43.93	62.33	46.15
0.45	50.80	64.97	44.44
0.49	56.91	84.84	36.73
0.43	51.73	60.09	41.51
0.50	61.34	78.66	40.82
0.34	44.39	57.90	57.89
0.25	48.99	58.78	44.83
0.74	80.52	84.06	15.38
0.47	55.64	77.56	19.35
0.46	54.40	72.13	40.00
0.70	73.49	85.57	9.09
0.00	14.64	51.27	68.57
0.60	61.83	77.15	40.00
0.33	44.42	62.97	64.15
0.71	76.92	93.73	10.00
0.50	55.25	66.52	41.79
0.80	85.93	91.04	12.50
0.25	32.89	54.04	76.47
1.00	100.00	100.00	0.00
0.49	54.20	73.48	35.71
0.60	65.56	83.52	33.90
0.52	54.72	64.40	32.73
0.94	95.91	83.45	16.87
0.56	51.02	74.49	33.33
0.42	44.59	68.73	51.52
0.37	44.19	65.25	38.78
0.49	54.01	78.70	19.35
0.39	49.50	46.03	62.86
0.00	13.54	50.60	78.05
0.38	48.88	59.76	40.74
0.41	47.62	66.48	47.89
0.53	57.66	69.85	30.77
0.39	42.45	66.83	45.07
0.43	50.69	68.89	41.67
0.27	29.79	57.21	62.79
0.00	15.73	41.89	70.00
0.34	39.22	64.66	49.12
0.52	46.77	81.53	31.58
0.28	36.15	60.55	58.46
0.00	15.25	35.38	63.16
0.85	86.56	90.25	5.41
0.28	27.90	55.21	60.00
0.51	48.46	78.75	30.00
0.46	51.53	77.01	38.30
0.63	67.92	78.07	25.00
0.29	29.13	68.01	40.74
0.31	23.58	38.29	48.28
0.23	22.64	57.21	76.92
0.33	33.03	68.51	47.06
0.58	56.61	77.08	30.51
0.37	46.43	64.55	52.63
0.65	71.87	84.03	27.78
0.49	56.75	62.73	50.00
0.56	58.21	83.32	22.22
0.55	55.65	67.26	32.00
0.71	78.09	85.04	15.38
0.18	17.12	45.60	71.43
0.75	84.09	86.98	12.90
0.22	33.03	57.76	62.07
0.65	68.12	67.22	25.00
0.45	47.27	70.63	39.22
0.73	76.82	85.68	13.04
0.49	56.64	59.67	33.33
0.24	21.79	68.08	61.22
0.73	75.04	84.78	18.18
0.36	39.13	61.02	39.13
0.40	47.05	65.33	29.41
0.49	50.90	62.33	53.12
0.38	46.40	74.26	35.29
0.43	51.62	73.64	34.04
0.34	56.40	62.04	48.48
0.33	52.38	51.35	52.00
0.21	36.33	71.38	62.50
0.36	50.35	61.02	58.46
0.00	8.20	61.44	73.33
0.33	36.02	60.42	63.41
0.19	24.88	51.74	55.38
0.41	45.01	53.71	58.33
0.30	41.92	63.84	43.90
0.00	12.06	48.26	96.77
0.37	47.51	65.27	49.06
0.00	11.94	68.93	85.71
0.00	14.98	56.22	51.85
0.24	32.02	52.78	59.26
0.00	11.91	45.10	84.06
0.47	51.71	59.08	49.46
0.17	22.22	36.87	68.57
0.00	12.84	50.84	64.52
0.29	39.61	56.92	50.00
0.00	16.75	53.08	56.00
0.00	10.80	42.42	79.17
0.28	31.05	36.70	68.75
0.30	32.86	54.87	58.33
