BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.64	66.58	74.11	42.86
0.40	38.99	66.37	51.61
0.22	37.89	67.47	48.89
0.00	11.53	56.03	69.57
0.36	37.64	57.91	62.22
0.29	38.09	56.00	53.33
0.00	40.64	50.80	52.63
0.00	16.26	52.89	68.97
0.18	19.86	43.11	75.00
0.00	10.69	46.14	66.67
0.58	65.69	84.84	27.03
0.38	42.61	70.78	42.86
0.26	36.38	52.90	65.57
0.00	15.84	46.63	53.85
0.60	56.59	70.13	38.46
0.35	39.00	52.50	38.46
0.32	43.94	66.33	40.74
0.00	12.04	50.12	90.32
0.00	23.46	60.71	63.16
0.48	53.73	69.80	32.00
0.00	13.35	58.64	77.78
0.21	32.80	63.98	44.90
0.19	25.02	57.12	60.71
0.00	53.82	62.23	32.00
0.28	33.38	52.55	54.55
0.48	55.06	70.91	35.82
0.18	24.65	53.41	68.57
0.00	14.54	60.26	57.14
0.00	11.19	42.42	84.00
0.00	15.30	49.80	75.68
0.00	15.81	40.49	70.18
0.14	26.81	51.79	68.97
0.31	35.78	53.95	52.83
0.33	44.96	57.01	49.38
0.00	8.51	44.45	81.48
0.00	7.77	51.85	85.71
0.00	3.76	23.41	88.00
0.00	30.13	46.54	54.55
0.00	33.28	45.65	47.06
0.00	27.05	73.13	26.67
0.21	31.32	51.54	50.00
0.00	5.54	46.65	95.00
0.32	38.97	57.83	61.54
0.00	11.39	69.46	50.00
0.00	11.59	44.62	83.87
0.19	35.09	53.81	53.33
0.14	21.32	48.61	86.36
0.61	72.00	78.77	45.28
0.13	21.09	48.77	78.57
0.45	50.35	71.60	32.00
0.00	8.76	48.09	84.62
0.00	16.64	53.76	65.12
0.54	54.11	75.14	47.06
0.90	93.24	87.30	14.29
0.18	18.56	52.89	58.54
0.17	22.11	48.19	84.00
0.00	13.68	65.27	74.07
0.39	44.83	46.90	34.78
0.24	36.20	51.34	86.49
0.00	4.62	46.26	97.30
0.33	38.39	49.88	53.33
0.00	18.09	54.52	58.33
0.95	95.34	80.77	25.64
0.00	26.80	36.27	77.55
0.00	10.55	19.28	82.35
0.00	19.45	44.53	66.67
0.00	15.25	48.19	60.38
0.55	63.63	62.78	44.07
0.16	17.32	43.88	72.73
0.24	26.16	46.61	62.22
0.23	32.55	62.25	68.97
0.26	40.20	59.37	36.36
0.29	38.76	52.91	66.67
0.52	58.54	64.43	30.30
0.00	18.88	49.35	60.87
0.00	14.83	43.59	50.00
0.23	20.89	42.98	70.00
0.00	9.08	42.69	80.00
0.34	42.04	56.37	58.97
0.41	53.71	79.61	50.00
0.41	39.38	74.40	52.17
0.31	40.90	61.69	50.00
0.18	24.18	55.37	66.67
0.00	49.01	61.58	32.00
0.00	7.67	53.17	78.05
0.28	30.73	59.54	61.54
0.81	70.71	82.89	15.38
0.21	24.94	63.92	62.69
0.00	31.02	75.49	26.67
0.70	72.10	86.99	20.69
0.00	8.26	50.27	62.50
0.24	32.59	62.03	41.38
0.00	41.11	43.76	26.67
0.44	41.25	58.44	50.00
0.00	14.92	56.36	55.56
0.00	32.65	77.15	34.78
0.00	18.36	45.70	66.67
0.52	51.74	66.41	24.24
0.00	6.80	46.95	78.95
0.34	41.15	66.61	41.38
0.00	25.65	85.64	24.00
0.47	45.78	56.46	41.18
0.00	12.40	55.06	72.00
0.35	45.30	60.75	56.41
0.54	59.78	62.83	46.15
0.00	4.29	37.40	87.72
0.58	60.55	74.05	31.58
0.42	45.85	72.39	34.78
0.34	46.13	60.16	49.18
0.19	23.74	47.46	62.22
0.00	16.39	42.19	58.06
0.00	21.34	41.91	53.85
0.18	30.12	52.02	58.72
0.24	39.59	62.12	60.00
0.00	22.48	50.87	62.75
0.68	61.03	79.51	24.49
0.00	17.33	49.58	59.57
0.30	34.73	67.30	57.14
0.32	34.60	61.34	53.12
0.31	43.73	58.35	63.16
0.43	44.25	59.28	44.12
0.00	34.98	60.74	38.46
0.47	49.22	63.58	38.89
0.00	16.45	52.26	77.55
0.40	44.34	59.55	49.06
0.42	48.83	64.99	57.14
0.37	44.35	58.52	44.74
0.44	54.99	61.30	37.93
0.35	49.66	63.73	30.77
0.43	49.50	70.29	32.26
0.51	57.75	64.50	47.50
0.89	90.36	90.52	9.09
0.00	9.56	46.26	74.29
0.51	55.63	73.20	28.57
0.17	37.70	62.63	60.38
0.64	71.03	78.01	30.00
0.58	62.36	67.88	32.84
0.56	61.17	78.58	29.17
0.00	21.08	43.83	64.71
0.38	40.28	68.61	41.18
0.47	48.94	75.98	35.71
0.58	64.29	77.10	40.68
0.59	61.60	79.56	32.73
0.72	76.84	74.52	31.33
0.51	51.83	76.39	38.10
0.16	23.46	63.37	60.61
0.18	24.10	54.59	59.18
0.40	50.35	64.98	45.16
0.00	18.40	36.71	57.14
0.16	23.22	52.77	63.41
0.47	56.94	65.76	29.63
0.50	57.96	68.56	39.44
0.55	59.62	68.04	35.90
0.39	41.67	66.98	42.25
0.33	39.16	61.75	58.33
0.27	35.17	57.71	62.79
0.00	29.00	47.57	60.00
0.53	56.48	68.83	38.60
0.64	68.04	82.92	15.79
0.26	37.71	64.17	55.38
0.38	47.75	43.69	63.16
0.90	91.26	90.97	10.81
0.32	29.98	72.62	50.00
0.59	59.50	74.77	26.67
0.60	66.66	79.59	25.53
0.56	60.01	80.25	25.00
0.21	24.74	46.77	55.56
0.45	47.18	47.30	34.48
0.55	50.67	71.99	46.15
0.38	38.26	82.76	23.53
0.52	60.34	76.80	33.90
0.00	31.19	64.35	52.63
0.60	52.01	86.08	16.67
0.26	35.38	57.96	64.71
0.39	42.97	71.93	44.44
0.00	15.86	47.32	56.00
0.49	55.56	80.58	30.77
0.36	34.23	48.89	42.86
0.00	15.62	55.51	51.61
0.00	18.95	56.62	62.07
0.53	57.61	57.12	41.67
0.52	57.62	70.31	39.22
0.73	76.82	85.68	13.04
0.78	84.41	77.19	13.33
0.23	21.95	67.34	65.31
0.34	41.53	61.63	46.75
0.42	44.05	65.17	39.13
0.44	51.61	65.56	35.29
0.31	36.95	60.10	62.50
0.00	14.95	40.62	70.59
0.25	33.82	60.57	51.06
0.17	23.53	55.35	66.67
0.19	22.04	52.07	60.00
0.00	32.63	63.39	68.75
0.25	36.90	56.85	64.62
0.00	12.27	61.22	73.33
0.24	31.88	49.92	78.05
0.00	18.27	43.94	64.62
0.27	33.79	57.17	75.00
0.00	11.78	45.69	53.66
0.00	13.45	54.25	64.52
0.29	35.60	63.54	45.28
0.00	9.73	50.33	76.19
0.00	7.77	46.08	74.07
0.20	29.86	44.64	66.67
0.00	12.16	38.47	81.16
0.30	33.35	51.63	58.06
0.18	24.98	41.27	65.71
0.00	6.96	46.84	90.32
0.00	16.42	41.92	70.83
0.39	51.64	54.38	40.00
0.13	16.33	43.22	79.17
0.45	53.93	48.24	62.50
0.00	28.76	47.95	66.67
0.00	4.58	33.58	93.33
0.00	16.22	44.85	70.00
0.17	21.03	40.08	68.66
0.54	51.33	74.24	25.00
0.29	33.51	51.83	66.67
0.00	10.12	34.85	70.83
0.00	13.45	46.72	81.69
0.31	32.94	55.21	56.18
0.00	14.77	39.12	75.86
0.00	15.55	47.63	77.78
0.00	11.01	37.08	65.12
0.00	9.31	42.99	84.38
0.00	5.36	24.52	85.00
0.00	11.59	59.98	66.67
0.72	79.76	82.12	15.79
0.18	21.40	42.66	59.46
0.00	24.20	59.15	63.64
0.00	11.12	56.38	50.00
0.41	54.61	67.78	38.89
0.19	32.59	66.59	48.89
0.25	28.43	48.06	57.14
0.00	22.09	51.62	100.00
0.90	87.62	86.46	24.00
0.53	61.63	84.63	38.46
0.00	24.60	43.58	66.67
0.37	66.32	76.63	37.04
0.00	24.38	46.06	58.82
0.00	15.55	41.15	55.00
0.19	22.78	43.82	56.25
0.00	27.23	59.49	72.73
0.00	25.45	44.01	70.00
0.43	54.45	68.72	32.00
0.00	45.18	86.22	30.77
0.00	20.97	49.21	65.57
0.00	100.00	100.00	0.00
0.23	33.37	65.26	40.00
0.41	47.99	64.89	38.10
0.44	47.30	59.81	47.50
0.27	39.57	61.87	62.65
0.00	5.80	16.96	81.82
0.26	35.46	53.87	63.33
0.28	30.73	47.95	71.43
0.29	43.98	62.93	61.54
0.00	18.13	55.05	61.90
0.00	10.43	42.16	66.67
0.56	60.71	75.09	25.00
0.21	21.28	40.04	60.87
0.00	12.32	56.89	52.17
0.30	30.24	47.85	69.77
0.34	42.77	48.63	53.66
0.00	9.17	33.86	71.43
0.16	28.05	54.22	80.00
0.00	11.39	37.31	80.00
0.00	7.85	33.79	96.55
0.00	9.98	44.20	88.89
0.34	43.72	56.13	62.50
0.00	16.32	48.14	83.87
0.29	26.29	57.17	52.17
0.15	19.48	45.26	70.59
0.39	47.09	64.86	54.17
0.00	29.26	49.80	54.55
0.00	21.19	40.18	80.00
0.26	32.60	61.82	66.67
0.30	33.71	69.92	66.67
0.35	40.82	67.13	36.84
0.00	6.26	55.29	80.00
0.00	14.26	56.67	42.11
0.27	40.16	67.91	53.06
0.43	48.72	60.26	43.90
0.32	38.08	64.82	48.78
0.00	38.06	64.19	42.11
0.19	17.54	58.46	80.00
0.00	24.20	65.43	60.87
0.48	49.07	73.09	47.62
0.00	14.92	63.61	62.50
0.19	24.77	45.12	64.20
0.35	38.72	66.61	50.00
0.00	30.12	44.54	52.63
0.00	6.02	32.24	90.91
0.00	9.78	45.55	93.75
0.56	56.56	55.14	40.00
0.00	5.68	34.94	95.65
0.00	19.84	47.53	60.61
0.00	12.86	57.60	54.55
0.22	27.82	58.96	46.15
0.00	17.75	45.80	71.43
0.17	25.48	52.13	62.22
0.31	43.47	81.34	42.11
0.21	31.11	54.43	62.37
0.00	20.64	42.98	72.22
0.20	30.67	60.44	58.70
1.00	100.00	100.00	0.00
0.21	34.47	66.13	57.14
0.76	74.68	92.35	20.00
0.00	40.90	72.39	30.77
0.45	43.32	61.69	59.26
0.00	21.80	52.79	61.90
0.74	77.60	81.36	23.08
0.82	82.82	93.94	6.67
0.00	27.30	76.85	46.15
0.77	81.44	82.93	21.05
0.00	29.85	68.81	37.50
0.00	26.80	62.18	75.00
0.21	30.31	60.88	62.50
0.79	72.93	86.84	20.00
0.37	38.25	60.82	50.00
0.50	61.00	75.19	32.43
0.47	54.75	58.76	54.55
0.00	46.60	68.79	42.11
0.54	60.56	77.40	24.24
0.00	14.58	45.78	71.43
0.00	5.52	38.43	80.00
0.21	31.28	67.01	50.00
0.32	35.27	59.15	62.86
0.00	20.09	60.80	52.38
0.49	53.93	68.17	31.58
0.40	42.90	57.80	47.83
0.29	28.75	52.79	59.57
0.17	21.28	59.86	62.86
0.39	41.52	62.28	56.14
0.00	24.45	54.52	80.00
0.00	4.03	39.94	88.00
0.24	32.41	56.57	59.26
0.25	36.11	49.64	54.55
0.00	12.34	57.54	62.96
0.00	21.64	60.14	57.89
0.00	15.80	56.20	68.57
0.33	41.82	57.41	40.00
0.00	13.06	41.91	58.46
0.29	37.66	64.05	66.67
0.53	67.03	81.37	17.39
0.29	38.00	71.47	46.81
0.26	39.01	59.54	53.57
0.42	53.42	72.13	26.92
0.00	16.52	48.45	42.86
0.45	48.94	56.65	50.00
