BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.47	51.90	78.90	28.57
0.56	55.06	73.41	32.26
0.22	37.89	67.47	48.89
0.18	21.63	60.01	65.22
0.40	36.76	59.47	53.33
0.29	35.14	58.41	53.33
0.43	48.44	72.40	31.58
0.32	39.72	63.55	55.17
0.00	8.53	41.35	93.75
0.32	38.10	66.61	38.10
0.60	69.77	79.40	37.84
0.88	85.79	95.99	7.14
0.33	41.59	55.36	65.57
0.00	11.64	49.79	61.54
0.51	42.65	66.50	46.15
0.35	35.83	51.71	38.46
0.43	48.21	69.84	48.15
0.17	22.60	51.57	77.42
0.00	18.21	60.71	63.16
0.31	33.81	65.87	40.00
0.60	65.80	84.85	11.11
0.23	29.03	64.40	53.06
0.13	17.75	54.79	64.29
0.00	42.06	59.63	40.00
0.35	44.12	57.90	36.36
0.40	42.76	72.29	44.78
0.41	37.95	55.28	51.43
0.00	35.49	71.50	42.86
0.00	22.91	51.53	68.00
0.00	16.72	51.67	72.97
0.30	35.05	52.15	59.65
0.00	17.11	47.47	72.41
0.19	35.19	61.15	52.83
0.39	45.34	58.36	44.44
0.00	17.18	51.29	88.89
0.00	4.84	47.79	85.71
0.00	7.21	27.68	80.00
0.00	22.89	49.55	54.55
0.00	29.56	41.82	58.82
0.00	27.05	73.18	26.67
0.56	64.04	84.96	20.00
0.00	5.32	46.32	100.00
0.30	39.65	55.56	56.41
0.35	34.17	69.75	30.00
0.12	17.57	49.03	74.19
0.26	32.70	60.57	48.89
0.00	11.05	49.10	72.73
0.54	66.10	75.78	45.28
0.13	19.45	45.34	82.14
0.63	56.33	81.14	24.00
0.00	3.25	25.70	84.62
0.25	32.59	58.12	65.12
0.54	54.11	65.45	47.06
0.78	88.95	86.03	19.05
0.00	13.34	48.15	68.29
0.37	41.74	55.66	68.00
0.00	15.84	68.99	59.26
0.35	40.51	48.21	43.48
0.00	21.02	57.21	102.70
0.25	28.80	54.70	48.65
0.32	35.61	56.01	60.00
0.00	35.09	67.02	41.67
1.00	100.00	86.13	20.51
0.27	31.82	40.70	65.31
0.00	12.55	28.64	82.35
0.39	49.93	59.39	60.61
0.57	55.73	64.75	33.96
0.43	39.43	57.16	50.85
0.37	39.88	57.73	54.55
0.41	46.52	56.13	40.00
0.48	56.37	78.79	55.17
0.42	39.33	51.66	42.42
0.36	38.62	56.86	66.67
0.61	65.67	68.38	30.30
0.52	53.44	65.19	34.78
0.00	14.61	47.68	53.57
0.27	27.13	58.65	50.00
0.00	9.08	44.33	80.00
0.39	46.03	56.92	58.97
0.49	55.84	76.89	31.82
0.53	50.72	82.72	43.48
0.44	48.81	69.48	42.86
0.00	20.98	59.53	79.17
0.00	49.01	59.16	32.00
0.20	28.80	65.13	63.41
0.17	20.80	56.45	71.79
0.81	70.71	82.89	15.38
0.15	20.78	53.47	71.64
0.00	29.85	75.81	40.00
1.00	100.00	100.00	0.00
0.00	12.55	48.69	62.50
0.24	32.59	62.03	41.38
1.00	100.00	100.00	0.00
0.19	16.94	44.28	75.00
0.00	14.92	66.11	55.56
0.00	20.45	61.70	60.87
0.00	21.40	44.29	88.89
0.48	41.38	67.13	30.30
0.13	12.81	44.50	78.95
0.58	64.20	74.43	27.59
0.41	49.47	83.71	24.00
0.41	46.51	47.87	41.18
0.00	26.63	59.60	72.00
0.37	49.18	69.10	41.03
0.54	61.09	68.15	38.46
0.00	12.64	38.34	77.19
0.49	56.82	60.29	36.84
0.00	36.19	62.52	43.48
0.28	43.73	52.39	52.46
0.64	67.59	83.88	26.67
0.25	29.15	54.17	51.61
0.23	29.90	45.83	53.85
0.25	34.72	49.20	66.06
0.19	44.37	59.34	60.00
0.19	38.67	61.98	47.06
0.63	64.37	78.05	28.57
0.00	22.33	52.68	51.06
0.31	35.55	67.21	47.62
0.27	30.50	64.18	56.25
0.24	30.61	51.09	84.21
0.56	53.58	72.99	32.35
0.33	43.93	62.33	46.15
0.50	54.28	66.20	38.89
0.20	35.61	71.27	53.06
0.44	52.08	59.38	49.06
0.48	54.56	80.94	44.90
0.30	47.30	57.38	57.89
0.27	50.63	57.76	48.28
0.00	23.03	63.84	46.15
0.67	73.88	85.65	12.90
0.50	57.09	64.26	42.50
0.70	73.49	85.57	9.09
0.00	14.64	50.77	68.57
0.86	87.87	92.05	5.71
0.24	36.24	59.47	64.15
0.71	76.92	93.73	10.00
0.73	77.87	78.26	29.85
0.84	86.46	85.54	16.67
0.00	23.15	50.98	76.47
0.83	85.79	96.34	5.88
0.38	43.91	67.58	50.00
0.58	64.29	85.06	30.51
0.79	78.50	84.19	14.55
0.94	95.91	83.45	16.87
0.55	52.04	80.35	33.33
0.36	40.91	69.17	54.55
0.13	18.03	54.59	71.43
0.39	45.83	79.50	19.35
0.00	19.99	42.34	74.29
0.17	26.24	54.14	68.29
0.56	61.56	71.78	22.22
0.45	50.98	70.07	42.25
