BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.00	3.38	14.93	109.09
0.00	3.30	18.76	209.09
0.00	4.81	21.02	145.45
0.00	6.05	14.04	90.91
0.00	6.80	17.02	100.00
0.00	3.01	13.55	127.27
0.00	3.74	15.07	100.00
0.00	1.77	6.50	100.00
0.00	1.02	17.17	345.45
0.00	1.63	19.60	409.09
0.00	1.98	20.19	190.91
0.00	4.32	17.85	145.45
0.00	2.61	8.03	100.00
0.00	8.10	21.89	127.27
0.00	2.85	10.70	100.00
0.00	2.45	15.69	100.00
0.00	2.74	8.98	100.00
0.00	5.75	20.46	118.18
0.00	3.58	23.33	163.64
0.00	4.81	17.68	127.27
0.00	4.81	18.36	118.18
0.00	0.00	9.36	100.00
0.00	2.44	20.92	263.64
0.00	2.61	10.80	100.00
0.00	1.70	15.20	227.27
0.00	2.14	18.04	336.36
0.00	2.66	13.81	136.36
0.00	1.79	17.69	209.09
0.00	2.28	19.25	163.64
0.00	2.66	18.63	154.55
0.00	2.85	19.05	218.18
0.00	3.13	14.23	118.18
0.00	3.25	16.06	100.00
0.00	1.63	17.61	427.27
0.00	2.39	18.47	154.55
0.00	6.33	15.56	90.91
0.00	4.11	19.45	163.64
0.00	2.91	14.45	100.00
0.00	3.10	8.46	100.00
0.00	4.14	17.43	163.64
0.00	2.05	16.34	181.82
0.00	3.34	11.62	100.00
0.00	2.28	16.60	163.64
0.00	6.05	8.68	90.91
0.00	1.87	18.82	200.00
0.00	1.73	18.31	381.82
0.00	3.38	13.62	109.09
0.00	3.25	11.38	100.00
0.00	2.10	3.41	100.00
0.00	2.10	5.28	100.00
0.00	0.00	3.39	100.00
0.00	2.87	4.83	100.00
0.00	2.14	6.20	100.00
0.00	6.25	10.67	109.09
0.00	6.33	13.83	90.91
0.00	3.40	13.27	100.00
0.00	2.74	6.85	100.00
0.00	3.46	16.29	109.09
0.00	3.22	17.34	118.18
0.00	3.01	19.54	127.27
0.00	1.83	17.56	209.09
0.00	3.41	11.92	100.00
0.00	1.28	18.64	290.91
0.00	1.58	20.49	227.27
0.00	6.61	14.98	109.09
0.00	3.46	14.25	118.18
0.00	4.55	16.38	127.27
0.00	1.69	19.28	218.18
0.00	4.55	15.72	145.45
0.00	1.90	19.93	200.00
0.00	3.41	14.87	100.00
0.00	2.45	14.22	136.36
0.00	1.77	7.97	100.00
0.00	2.87	18.56	100.00
0.00	3.10	8.18	100.00
0.00	3.76	10.43	100.00
0.00	3.25	9.19	100.00
0.00	3.10	6.03	100.00
0.00	3.40	15.39	100.00
0.00	1.77	6.13	100.00
0.00	3.18	18.23	200.00
0.00	0.70	4.13	100.00
0.00	0.00	3.92	100.00
0.00	2.67	18.05	236.36
0.00	2.91	14.61	127.27
0.00	2.14	9.89	100.00
0.00	3.10	6.56	100.00
0.00	1.43	17.41	263.64
0.00	1.83	17.45	227.27
0.00	3.46	13.66	127.27
0.00	3.06	18.34	209.09
0.00	2.02	18.51	163.64
0.00	2.39	15.56	163.64
0.00	3.30	18.53	218.18
0.00	1.40	17.26	518.18
0.00	2.17	16.76	172.73
0.00	3.18	17.15	200.00
0.00	3.96	17.67	172.73
0.00	2.44	19.57	245.45
