BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.00	3.38	14.69	14.69
0.00	3.44	18.26	18.26
0.00	4.81	21.02	21.02
0.00	6.05	14.23	14.23
0.00	6.32	15.52	15.52
0.00	3.01	13.55	13.55
0.00	3.74	15.07	15.07
0.00	1.77	7.07	7.07
0.00	1.07	17.54	17.54
0.00	1.87	18.17	18.17
0.00	1.83	21.03	21.03
0.00	4.32	17.85	17.85
0.00	2.61	9.27	9.27
0.00	4.81	17.79	17.79
0.00	2.85	12.58	12.58
0.00	2.45	15.99	15.99
0.00	2.14	10.26	10.26
0.00	5.40	20.64	20.64
0.00	4.11	21.87	21.87
0.00	4.81	19.13	19.13
0.00	5.82	18.96	18.96
0.00	0.00	9.36	9.36
0.00	2.30	20.61	20.61
0.00	2.61	10.80	10.80
0.00	1.64	15.23	15.23
0.00	2.14	18.23	18.23
0.00	2.83	14.20	14.20
0.00	1.79	18.27	18.27
0.00	2.17	19.19	19.19
0.00	2.41	16.53	16.53
0.00	2.95	19.11	19.11
0.00	2.72	16.46	16.46
0.00	3.25	16.06	16.06
0.00	1.66	16.47	16.47
0.00	2.66	15.20	15.20
0.00	6.75	19.79	19.79
0.00	4.11	19.45	19.45
0.00	2.72	13.83	13.83
0.00	3.10	8.46	8.46
0.00	4.33	17.77	17.77
0.00	2.05	16.34	16.34
0.00	3.34	11.62	11.62
0.00	2.16	18.41	18.41
0.00	5.77	8.96	8.96
0.00	1.79	17.48	17.48
0.00	1.73	17.91	17.91
0.00	3.38	14.90	14.90
0.00	3.25	9.63	9.63
0.00	0.00	4.28	4.28
0.00	2.10	5.28	5.28
0.00	0.00	3.39	3.39
0.00	2.54	4.90	4.90
0.00	2.14	6.20	6.20
0.00	3.34	7.31	7.31
0.00	6.33	14.58	14.58
0.00	3.40	13.69	13.69
0.00	2.74	6.85	6.85
0.00	3.46	17.15	17.15
0.00	3.74	17.57	17.57
0.00	2.91	18.90	18.90
0.00	1.83	18.19	18.19
0.00	3.41	11.92	11.92
0.00	1.28	18.64	18.64
0.00	1.58	20.95	20.95
0.00	6.61	14.98	14.98
0.00	3.46	14.25	14.25
0.00	4.11	17.12	17.12
0.00	1.63	19.60	19.60
0.00	3.58	15.28	15.28
0.00	1.83	20.18	20.18
0.00	3.41	16.37	16.37
0.00	2.63	14.84	14.84
0.00	1.77	8.01	8.01
0.00	2.87	14.55	14.55
0.00	3.10	7.09	7.09
0.00	3.70	10.09	10.09
0.00	3.25	9.19	9.19
0.00	3.10	6.03	6.03
0.00	3.38	16.32	16.32
0.00	1.77	6.13	6.13
0.00	3.18	18.86	18.86
0.00	0.12	2.21	2.21
0.00	0.00	3.92	3.92
0.00	2.59	19.25	19.25
0.00	2.91	15.00	15.00
0.00	2.14	9.89	9.89
0.00	3.10	6.56	6.56
0.00	2.51	20.89	20.89
0.00	1.98	17.56	17.56
0.00	3.46	13.66	13.66
0.00	3.18	18.04	18.04
0.00	2.41	18.93	18.93
0.00	2.17	16.42	16.42
0.00	3.44	17.94	17.94
0.00	0.83	16.90	16.90
0.00	2.07	16.99	16.99
0.00	3.18	16.96	16.96
0.00	4.32	17.09	17.09
0.00	2.30	20.14	20.14
0.00	2.13	18.34	18.34
0.00	1.22	17.43	17.43
0.00	2.61	13.96	13.96
0.00	2.61	9.84	9.84
0.00	4.11	16.78	16.78
0.00	2.14	7.52	7.52
0.00	1.49	15.75	15.75
0.00	6.80	15.01	15.01
0.00	6.23	11.03	11.03
0.00	6.32	16.32	16.32
0.00	1.95	17.89	17.89
0.00	2.74	8.24	8.24
0.00	2.42	9.37	9.37
0.00	1.91	17.58	17.58
0.00	2.08	17.75	17.75
0.00	3.82	16.66	16.66
0.00	2.91	15.84	15.84
0.00	3.41	12.57	12.57
0.00	3.39	7.61	7.61
0.00	3.40	16.28	16.28
0.00	3.74	17.96	17.96
0.00	3.06	18.03	18.03
0.00	4.55	16.82	16.82
0.00	2.61	10.41	10.41
0.00	3.01	12.95	12.95
0.00	3.25	8.74	8.74
0.00	2.66	13.44	13.44
0.00	1.77	5.26	5.26
0.00	2.07	16.26	16.26
0.00	3.40	10.92	10.92
0.00	1.82	16.34	16.34
0.00	2.13	18.70	18.70
0.00	1.89	17.49	17.49
0.00	3.18	19.04	19.04
0.00	0.92	16.56	16.56
0.00	1.98	19.24	19.24
0.00	2.86	10.55	10.55
0.00	2.27	14.76	14.76
0.00	2.83	14.27	14.27
0.00	2.27	15.14	15.14
0.00	3.40	15.02	15.02
0.00	2.61	8.32	8.32
0.00	2.85	10.70	10.70
0.00	1.48	16.82	16.82
0.00	2.52	17.37	17.37
0.00	2.74	8.09	8.09
0.00	2.85	15.80	15.80
0.00	3.38	15.48	15.48
0.00	2.14	5.25	5.25
0.00	2.15	14.87	14.87
0.00	2.04	15.56	15.56
0.00	1.35	15.60	15.60
0.00	2.72	17.49	17.49
0.00	2.14	5.61	5.61
0.00	3.18	20.53	20.53
0.00	3.38	12.05	12.05
0.00	3.39	14.12	14.12
0.00	3.38	9.88	9.88
0.00	2.44	15.05	15.05
0.00	3.34	10.26	10.26
0.00	2.83	15.35	15.35
0.00	3.25	10.67	10.67
0.00	5.11	16.15	16.15
0.00	3.01	13.69	13.69
0.00	2.91	15.59	15.59
0.00	2.14	9.24	9.24
0.00	3.43	5.60	5.60
0.00	2.61	6.05	6.05
0.00	1.76	16.94	16.94
0.00	2.39	14.70	14.70
0.00	2.61	5.47	5.47
0.00	1.77	4.24	4.24
0.00	1.77	4.98	4.98
0.00	2.74	11.19	11.19
0.00	2.14	8.60	8.60
0.00	3.22	14.88	14.88
0.00	6.32	10.96	10.96
0.00	3.74	13.43	13.43
0.00	3.77	11.89	11.89
0.00	1.63	19.07	19.07
0.00	3.41	13.46	13.46
0.00	1.48	17.99	17.99
0.00	2.27	18.75	18.75
0.00	2.27	17.12	17.12
0.00	2.52	12.67	12.67
0.00	2.74	9.47	9.47
0.00	3.10	9.70	9.70
0.00	3.46	11.57	11.57
0.00	2.85	11.32	11.32
0.00	3.13	12.53	12.53
0.00	3.40	19.87	19.87
0.00	1.83	16.92	16.92
0.00	2.07	15.59	15.59
0.00	2.27	15.04	15.04
0.00	2.63	12.63	12.63
0.00	3.23	15.73	15.73
0.00	6.23	9.46	9.46
0.00	3.76	12.74	12.74
0.00	3.38	13.40	13.40
0.00	1.83	17.82	17.82
0.00	3.01	15.41	15.41
0.00	3.34	11.65	11.65
0.00	2.74	7.75	7.75
0.00	2.14	5.48	5.48
0.00	2.55	14.26	14.26
0.00	3.01	13.40	13.40
0.00	1.77	8.15	8.15
0.00	3.25	7.85	7.85
0.00	2.52	18.66	18.66
0.00	1.89	17.45	17.45
0.00	3.01	17.26	17.26
0.00	1.43	18.97	18.97
0.00	2.03	17.23	17.23
0.00	3.38	10.88	10.88
0.00	0.00	6.66	6.66
0.00	2.24	18.42	18.42
0.00	4.48	16.67	16.67
0.00	1.19	16.32	16.32
0.00	1.96	16.04	16.04
0.00	1.77	9.32	9.32
0.00	2.84	14.91	14.91
0.00	1.21	17.08	17.08
0.00	1.31	3.40	3.40
0.00	0.00	3.92	3.92
0.00	1.90	16.32	16.32
0.00	4.81	18.76	18.76
0.00	3.13	13.90	13.90
0.00	5.11	20.57	20.57
0.00	2.86	17.03	17.03
0.00	4.75	18.08	18.08
0.00	5.75	18.33	18.33
0.00	5.11	14.63	14.63
0.00	4.48	17.26	17.26
0.00	4.55	17.39	17.39
0.00	2.84	11.84	11.84
0.00	2.14	6.57	6.57
0.00	1.76	17.02	17.02
0.00	1.87	18.73	18.73
0.00	1.69	19.14	19.14
0.00	3.25	12.96	12.96
0.00	2.51	20.35	20.35
0.00	3.64	20.66	20.66
0.00	2.08	16.31	16.31
0.00	2.55	17.49	17.49
0.00	1.02	18.05	18.05
0.00	1.53	17.53	17.53
0.00	2.19	21.25	21.25
0.00	5.44	18.28	18.28
0.00	1.69	19.01	19.01
0.00	3.76	17.04	17.04
0.00	1.35	18.32	18.32
0.00	5.44	13.46	13.46
0.00	2.44	17.79	17.79
0.00	1.90	18.30	18.30
0.00	2.16	17.28	17.28
0.00	2.03	18.14	18.14
0.00	3.30	19.96	19.96
0.00	2.55	17.15	17.15
0.00	0.96	17.34	17.34
0.00	2.55	18.24	18.24
0.00	2.29	18.32	18.32
0.00	4.11	18.37	18.37
0.00	2.27	20.71	20.71
0.00	1.90	16.55	16.55
0.00	2.72	14.14	14.14
0.00	2.27	18.51	18.51
0.00	1.52	16.15	16.15
0.00	2.55	15.38	15.38
0.00	3.48	17.95	17.95
0.00	2.51	19.53	19.53
0.00	2.91	16.66	16.66
0.00	1.19	15.91	15.91
0.00	2.45	15.42	15.42
0.00	2.14	9.70	9.70
0.00	0.12	2.21	2.21
0.00	0.00	3.92	3.92
0.00	5.40	18.61	18.61
0.00	3.01	16.34	16.34
0.00	2.39	16.36	16.36
0.00	1.53	18.61	18.61
0.00	3.40	17.21	17.21
0.00	2.66	17.37	17.37
0.00	2.72	16.87	16.87
0.00	1.43	18.16	18.16
0.00	2.83	15.20	15.20
0.00	2.61	10.76	10.76
0.00	3.38	13.69	13.69
0.00	2.81	8.74	8.74
0.00	1.58	17.30	17.30
0.00	2.87	11.80	11.80
0.00	2.52	17.77	17.77
0.00	2.02	15.87	15.87
0.00	2.14	9.18	9.18
0.00	2.42	18.38	18.38
0.00	2.46	18.37	18.37
0.00	0.00	6.50	6.50
0.00	3.22	16.15	16.15
0.00	3.10	5.91	5.91
0.00	3.34	15.05	15.05
0.00	4.32	19.53	19.53
0.00	2.61	11.42	11.42
0.00	3.72	13.43	13.43
0.00	3.38	20.83	20.83
0.00	2.81	13.82	13.82
0.00	2.61	10.69	10.69
0.00	1.64	17.54	17.54
0.00	2.52	17.92	17.92
0.00	1.96	20.05	20.05
0.00	3.40	17.63	17.63
0.00	2.91	15.99	15.99
0.00	1.53	18.37	18.37
0.00	3.38	16.70	16.70
0.00	1.70	18.26	18.26
0.00	2.87	14.67	14.67
0.00	2.14	7.48	7.48
0.00	1.86	18.81	18.81
0.00	1.77	6.19	6.19
0.00	4.05	10.49	10.49
0.00	1.63	19.68	19.68
0.00	2.19	18.27	18.27
0.00	3.40	13.04	13.04
0.00	4.05	10.63	10.63
0.00	6.23	13.47	13.47
0.00	3.39	11.31	11.31
0.00	3.46	16.27	16.27
0.00	2.81	11.83	11.83
0.00	2.83	15.53	15.53
0.00	2.81	16.58	16.58
0.00	3.39	10.65	10.65
0.00	2.13	20.00	20.00
0.00	2.17	18.41	18.41
0.00	3.01	14.08	14.08
0.00	3.34	14.12	14.12
0.00	1.96	16.91	16.91
0.00	3.38	13.56	13.56
0.00	1.72	16.65	16.65
0.00	3.25	10.16	10.16
0.00	2.76	16.98	16.98
0.00	6.23	13.44	13.44
0.00	2.85	11.22	11.22
0.00	0.00	8.91	8.91
0.00	0.00	7.59	7.59
0.00	2.39	18.20	18.20
0.00	3.77	14.39	14.39
0.00	2.27	19.00	19.00
0.00	3.74	13.19	13.19
0.00	1.96	20.00	20.00
0.00	4.02	12.68	12.68
0.00	3.44	19.14	19.14
0.00	0.70	4.15	4.15
0.00	6.25	15.17	15.17
0.00	0.70	4.10	4.10
0.00	0.00	3.92	3.92
0.00	2.42	6.91	6.91
0.00	5.06	16.33	16.33
0.00	2.91	13.98	13.98
0.00	1.77	3.86	3.86
0.00	4.55	17.56	17.56
0.00	2.85	19.38	19.38
0.00	3.38	14.28	14.28
0.00	2.14	8.15	8.15
0.00	2.86	13.24	13.24
0.00	1.90	18.62	18.62
0.00	2.85	17.22	17.22
0.00	2.14	7.56	7.56
0.00	3.39	8.92	8.92
0.00	2.72	16.25	16.25
0.00	2.51	17.96	17.96
0.00	2.71	17.14	17.14
0.00	3.46	13.65	13.65
0.00	2.61	8.33	8.33
0.00	2.44	16.92	16.92
0.00	3.13	14.55	14.55
0.00	1.31	2.93	2.93
0.00	2.61	10.11	10.11
0.00	2.87	7.81	7.81
0.00	2.27	19.10	19.10
0.00	2.52	16.20	16.20
0.00	2.14	9.38	9.38
0.00	3.39	9.99	9.99
0.00	2.42	7.25	7.25
0.00	2.63	12.74	12.74
0.00	0.12	2.21	2.21
0.00	0.00	3.92	3.92
0.00	2.42	9.19	9.19
0.00	2.44	16.28	16.28
0.00	2.54	5.19	5.19
0.00	2.14	11.32	11.32
0.00	2.74	11.47	11.47
0.00	0.00	5.08	5.08
0.00	3.46	10.81	10.81
0.00	5.82	12.73	12.73
0.00	2.33	19.99	19.99
0.00	2.29	15.43	15.43
0.00	2.27	18.77	18.77
0.00	1.77	8.29	8.29
0.00	2.61	9.57	9.57
0.00	3.76	12.51	12.51
0.00	4.81	21.02	21.02
0.00	3.41	11.41	11.41
0.00	2.86	13.25	13.25
0.00	1.39	17.25	17.25
0.00	2.44	17.60	17.60
0.00	4.32	16.49	16.49
0.00	1.76	18.27	18.27
0.00	3.01	15.36	15.36
0.00	4.02	12.29	12.29
0.00	1.82	17.72	17.72
0.00	2.91	16.17	16.17
0.00	3.41	15.16	15.16
0.00	2.52	18.57	18.57
0.00	3.39	10.72	10.72
0.00	2.30	18.68	18.68
0.00	1.21	16.72	16.72
0.00	3.04	13.93	13.93
0.00	2.42	8.43	8.43
0.00	3.39	16.62	16.62
0.00	2.20	18.90	18.90
0.00	2.37	18.07	18.07
0.00	5.09	17.84	17.84
0.00	2.54	7.16	7.16
0.00	3.44	16.14	16.14
0.00	2.44	19.99	19.99
0.00	2.02	17.75	17.75
0.00	1.31	5.81	5.81
0.00	1.98	19.09	19.09
0.00	1.31	3.46	3.46
0.00	3.70	14.46	14.46
0.00	2.44	16.73	16.73
0.00	1.62	17.15	17.15
0.00	2.81	11.18	11.18
0.00	1.10	17.96	17.96
0.00	1.49	17.04	17.04
0.00	3.04	14.71	14.71
0.00	2.04	17.38	17.38
0.00	3.01	19.06	19.06
0.00	2.17	17.56	17.56
0.00	3.25	11.81	11.81
0.00	5.11	18.61	18.61
0.00	2.54	10.07	10.07
0.00	2.42	7.58	7.58
0.00	2.74	6.98	6.98
