BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.00	3.38	14.69	14.69
0.00	3.44	20.08	20.08
0.00	4.81	21.02	21.02
0.00	6.05	14.04	14.04
0.00	6.80	17.02	17.02
0.00	3.01	13.55	13.55
0.00	3.74	14.76	14.76
0.00	1.77	6.50	6.50
0.00	1.07	16.89	16.89
0.00	1.67	19.50	19.50
0.00	2.04	20.11	20.11
0.00	4.32	17.96	17.96
0.00	3.25	8.24	8.24
0.00	8.56	21.30	21.30
0.00	2.85	12.58	12.58
0.00	3.13	15.37	15.37
0.00	2.42	8.95	8.95
0.00	5.40	20.64	20.64
0.00	4.11	22.07	22.07
0.00	4.55	19.40	19.40
0.00	4.55	18.43	18.43
0.00	0.00	9.36	9.36
0.00	2.13	20.27	20.27
0.00	2.61	10.80	10.80
0.00	1.64	16.47	16.47
0.00	2.04	17.73	17.73
0.00	2.66	14.65	14.65
0.00	1.79	18.00	18.00
0.00	2.07	19.22	19.22
0.00	2.41	15.67	15.67
0.00	2.95	19.87	19.87
0.00	3.01	18.15	18.15
0.00	3.25	16.06	16.06
0.00	1.52	16.68	16.68
0.00	2.27	18.33	18.33
0.00	6.29	16.96	16.96
0.00	4.11	19.45	19.45
0.00	2.91	12.83	12.83
0.00	3.10	8.46	8.46
0.00	4.34	17.08	17.08
0.00	2.05	16.84	16.84
0.00	3.34	11.40	11.40
0.00	2.28	16.02	16.02
0.00	5.77	8.96	8.96
0.00	1.87	18.88	18.88
0.00	1.70	18.20	18.20
0.00	3.38	13.01	13.01
0.00	2.74	8.67	8.67
0.00	0.00	3.17	3.17
0.00	2.10	5.28	5.28
0.00	0.00	3.39	3.39
0.00	2.54	4.90	4.90
0.00	2.14	6.42	6.42
0.00	5.82	13.35	13.35
0.00	6.33	14.58	14.58
0.00	3.38	14.39	14.39
0.00	2.85	9.08	9.08
0.00	3.76	16.12	16.12
0.00	3.74	17.57	17.57
0.00	3.01	18.34	18.34
0.00	1.83	17.75	17.75
0.00	3.41	11.92	11.92
0.00	1.28	18.67	18.67
0.00	1.58	20.95	20.95
0.00	7.14	13.11	13.11
0.00	3.46	14.25	14.25
0.00	3.92	19.12	19.12
0.00	1.69	18.69	18.69
0.00	3.58	16.29	16.29
0.00	1.90	19.93	19.93
0.00	3.40	16.37	16.37
0.00	2.63	15.91	15.91
0.00	1.77	8.01	8.01
0.00	2.86	19.30	19.30
0.00	3.10	7.09	7.09
0.00	3.70	9.76	9.76
0.00	3.25	9.19	9.19
0.00	3.10	6.03	6.03
0.00	3.40	15.99	15.99
0.00	1.77	6.13	6.13
0.00	3.18	18.96	18.96
0.00	0.12	2.21	2.21
0.00	0.00	3.92	3.92
0.00	2.85	18.10	18.10
0.00	2.45	15.00	15.00
0.00	2.14	9.89	9.89
0.00	3.10	6.56	6.56
0.00	1.39	18.76	18.76
0.00	1.83	16.86	16.86
0.00	3.72	13.73	13.73
0.00	3.30	17.73	17.73
0.00	2.15	19.05	19.05
0.00	2.27	16.05	16.05
0.00	3.44	17.94	17.94
0.00	1.42	17.54	17.54
0.00	2.07	17.01	17.01
0.00	3.18	17.23	17.23
0.00	4.55	16.94	16.94
0.00	2.30	20.14	20.14
0.00	2.08	18.95	18.95
0.00	1.22	16.47	16.47
0.00	2.61	13.96	13.96
0.00	2.61	12.43	12.43
0.00	4.11	16.81	16.81
0.00	2.14	7.52	7.52
0.00	1.28	14.98	14.98
0.00	6.80	15.01	15.01
0.00	6.23	11.03	11.03
0.00	6.32	16.32	16.32
0.00	2.04	18.13	18.13
0.00	2.74	7.58	7.58
0.00	2.42	9.37	9.37
0.00	2.00	17.59	17.59
0.00	2.08	18.33	18.33
0.00	4.02	16.70	16.70
0.00	2.91	15.84	15.84
0.00	3.41	12.97	12.97
0.00	3.39	7.61	7.61
0.00	3.40	16.28	16.28
0.00	3.36	18.46	18.46
0.00	3.30	17.35	17.35
0.00	4.55	16.82	16.82
