BLEU	sacre_BLEU	sacre_CHRF2
0.00	3.38	14.93
0.00	3.44	18.30
0.00	4.81	21.02
0.00	6.05	14.23
0.00	6.32	15.88
0.00	3.01	13.55
0.00	3.74	14.76
0.00	1.77	6.50
0.00	0.98	18.71
0.00	1.91	18.45
0.00	2.04	20.67
0.00	4.32	18.00
0.00	2.61	9.01
0.00	5.44	16.99
0.00	2.85	14.58
0.00	2.87	15.09
0.00	2.42	10.29
0.00	5.40	20.54
0.00	4.32	23.15
0.00	3.44	19.40
0.00	4.81	16.64
0.00	0.00	9.36
0.00	2.44	19.70
0.00	2.61	10.80
0.00	1.70	15.50
0.00	2.00	17.83
0.00	2.83	14.16
0.00	1.72	18.18
0.00	1.98	18.30
0.00	2.41	16.53
0.00	2.95	19.96
0.00	2.83	16.94
0.00	3.41	17.65
0.00	1.63	17.90
0.00	3.01	14.29
0.00	6.29	16.96
0.00	4.11	19.45
0.00	3.22	16.29
0.00	3.10	8.46
0.00	4.14	16.96
0.00	2.16	16.89
0.00	2.74	11.37
0.00	2.55	15.76
0.00	5.77	8.96
0.00	1.96	18.97
0.00	1.54	17.17
0.00	3.40	13.73
0.00	3.25	9.43
0.00	0.00	1.72
0.00	2.10	5.28
0.00	0.00	3.39
0.00	2.54	5.60
0.00	2.14	6.42
0.00	6.25	11.63
0.00	6.34	13.45
0.00	3.38	14.16
0.00	2.42	7.31
0.00	3.46	16.87
0.00	3.74	17.57
0.00	2.91	18.35
0.00	1.83	18.11
0.00	3.41	11.92
0.00	1.35	18.58
0.00	1.53	20.32
0.00	7.14	13.11
0.00	3.46	14.25
0.00	4.32	18.09
0.00	1.76	18.43
0.00	3.58	16.29
0.00	1.90	20.08
0.00	3.41	16.37
0.00	2.84	13.08
0.00	1.77	8.01
0.00	2.87	16.94
0.00	3.10	7.92
0.00	3.70	10.09
0.00	3.25	8.99
0.00	3.10	6.03
0.00	3.38	15.55
0.00	1.77	6.13
0.00	2.95	19.46
0.00	0.12	2.21
0.00	0.00	3.92
0.00	2.76	17.68
0.00	2.72	15.44
0.00	2.14	10.52
0.00	3.10	6.56
0.00	1.63	19.26
0.00	1.83	17.41
0.00	3.46	13.66
0.00	3.18	18.24
0.00	2.02	18.86
0.00	2.17	16.24
0.00	3.44	18.34
0.00	0.86	17.71
0.00	2.07	16.77
0.00	2.95	17.77
0.00	4.81	18.52
0.00	2.37	20.06
0.00	2.13	18.97
0.00	1.19	17.82
0.00	2.61	13.96
0.00	2.61	9.84
0.00	4.11	15.90
0.00	2.14	8.20
0.00	1.40	16.30
0.00	6.80	15.01
0.00	6.23	11.03
0.00	6.32	16.32
0.00	2.00	17.82
0.00	2.74	8.24
0.00	2.42	9.77
0.00	1.03	17.00
0.00	2.00	18.87
0.00	4.02	16.70
0.00	2.91	15.84
0.00	3.41	14.33
0.00	2.74	7.21
0.00	3.13	16.70
0.00	3.58	18.35
0.00	3.74	17.01
0.00	4.55	16.82
0.00	2.61	10.41
0.00	2.52	14.10
0.00	3.25	9.89
0.00	2.66	11.27
0.00	1.31	3.65
0.00	2.05	16.22
0.00	3.38	11.67
0.00	1.82	16.07
0.00	2.19	18.64
0.00	1.96	17.35
0.00	3.44	18.76
0.00	1.07	16.59
0.00	2.17	19.36
0.00	2.84	14.71
0.00	2.39	13.59
0.00	2.66	15.07
0.00	2.27	14.80
0.00	3.40	15.02
0.00	2.61	8.32
0.00	2.84	13.54
0.00	1.48	16.11
0.00	3.01	16.33
0.00	2.74	7.95
0.00	2.85	15.80
0.00	3.40	14.62
0.00	2.14	5.25
0.00	2.52	16.35
0.00	2.33	15.29
0.00	1.39	15.52
0.00	2.72	17.49
0.00	2.14	5.61
0.00	3.44	20.20
0.00	3.38	12.05
0.00	3.39	14.12
0.00	3.38	9.88
0.00	2.44	16.14
0.00	3.25	8.69
0.00	2.83	15.00
0.00	3.25	10.67
0.00	6.33	14.14
0.00	2.83	14.31
0.00	2.91	15.38
0.00	2.42	8.27
0.00	3.60	5.36
0.00	2.61	6.05
0.00	1.82	17.19
0.00	2.41	14.61
0.00	2.61	5.47
0.00	1.77	4.24
0.00	1.77	4.98
0.00	2.74	12.00
0.00	2.14	8.60
0.00	3.22	15.10
0.00	6.23	13.86
0.00	3.74	13.43
0.00	3.77	11.89
0.00	1.58	19.03
0.00	3.41	13.53
0.00	1.63	16.82
0.00	2.52	18.01
0.00	2.52	16.93
0.00	2.41	12.44
0.00	2.74	9.47
0.00	3.25	8.83
0.00	3.74	10.44
0.00	3.39	11.54
0.00	3.38	11.66
0.00	3.40	19.87
0.00	1.83	16.95
0.00	2.07	15.71
0.00	2.27	15.53
0.00	2.41	15.56
0.00	3.04	18.93
0.00	6.32	11.84
0.00	3.77	12.47
0.00	3.13	13.19
0.00	1.98	17.10
0.00	3.01	15.41
0.00	2.81	12.43
0.00	2.74	8.62
0.00	2.14	5.72
0.00	2.41	15.01
0.00	3.01	13.90
0.00	1.77	8.15
0.00	3.25	7.85
0.00	2.66	17.09
0.00	1.89	18.16
0.00	3.22	15.47
0.00	1.48	19.47
0.00	2.09	16.63
0.00	5.82	12.35
0.00	0.00	4.38
0.00	1.98	18.68
0.00	4.24	16.54
0.00	1.16	15.25
0.00	2.28	15.82
0.00	1.77	6.30
0.00	1.91	16.49
0.00	1.21	16.88
0.00	1.31	3.40
0.00	0.00	3.92
0.00	1.90	16.32
0.00	4.81	18.02
0.00	3.13	13.93
0.00	5.11	19.59
0.00	2.86	17.25
0.00	4.75	19.57
0.00	5.09	18.70
0.00	6.25	13.75
0.00	4.24	17.25
0.00	5.44	16.75
0.00	3.38	13.53
0.00	2.14	6.57
0.00	1.76	17.02
0.00	1.72	17.59
0.00	1.63	19.65
0.00	2.14	8.07
0.00	3.18	20.93
0.00	3.64	20.20
0.00	2.08	17.03
0.00	2.28	17.29
0.00	1.05	18.27
0.00	1.53	17.23
0.00	2.19	21.09
0.00	5.44	18.28
0.00	1.83	19.22
0.00	3.22	18.30
0.00	1.48	19.62
0.00	5.82	16.10
0.00	2.44	17.82
0.00	1.83	18.19
0.00	1.90	17.84
0.00	1.39	17.92
0.00	3.58	21.42
0.00	2.55	17.97
0.00	0.92	17.22
0.00	2.41	18.02
0.00	1.87	20.35
0.00	4.11	18.41
0.00	2.27	21.56
0.00	1.90	15.53
0.00	2.66	15.70
0.00	2.39	17.87
0.00	1.54	16.29
0.00	3.46	15.44
0.00	3.20	17.67
0.00	2.95	20.19
0.00	2.91	16.87
0.00	1.16	15.93
0.00	2.63	14.44
0.00	2.14	9.70
0.00	0.12	2.21
0.00	0.00	3.92
0.00	5.40	18.61
0.00	3.01	16.76
0.00	2.52	16.42
0.00	1.53	18.77
0.00	3.40	17.21
0.00	2.52	17.29
0.00	2.72	16.87
0.00	1.53	19.30
0.00	2.83	15.12
0.00	2.42	7.20
0.00	3.38	12.67
0.00	2.81	8.74
0.00	1.90	18.24
0.00	2.87	11.80
0.00	2.66	16.89
0.00	1.73	16.86
0.00	2.14	8.28
0.00	2.55	18.45
0.00	2.33	18.57
0.00	0.00	6.50
0.00	2.83	16.69
0.00	3.10	5.91
0.00	3.34	15.05
0.00	2.39	18.28
0.00	2.61	11.73
0.00	3.23	14.10
0.00	3.40	20.16
0.00	2.81	13.67
0.00	2.74	12.47
0.00	1.64	17.38
0.00	2.52	18.07
0.00	2.22	18.71
0.00	3.40	16.46
0.00	3.01	17.32
0.00	1.48	17.81
0.00	2.86	16.58
0.00	1.70	18.38
0.00	2.87	14.67
0.00	2.14	7.48
0.00	1.70	17.61
0.00	2.14	7.00
0.00	3.77	11.27
0.00	1.58	18.54
0.00	2.30	17.78
0.00	3.40	13.04
0.00	3.74	9.94
0.00	6.32	15.32
0.00	3.39	11.31
0.00	3.23	16.54
0.00	2.81	11.83
0.00	2.63	16.65
0.00	2.85	17.10
0.00	3.39	11.50
0.00	2.44	20.76
0.00	3.44	20.88
0.00	3.01	14.08
0.00	3.34	15.69
0.00	1.83	16.06
0.00	3.38	13.56
0.00	1.72	16.93
0.00	3.25	10.16
0.00	1.31	16.16
0.00	6.23	13.47
0.00	0.00	11.03
0.00	0.00	8.10
0.00	0.00	7.59
0.00	2.39	18.12
0.00	3.77	14.15
0.00	2.91	18.96
0.00	3.39	11.10
0.00	1.96	19.85
0.00	3.46	14.89
0.00	3.44	18.41
0.00	0.70	4.15
0.00	6.15	15.58
0.00	0.70	4.10
0.00	0.00	3.92
0.00	2.61	7.97
0.00	5.06	16.33
0.00	2.91	13.49
0.00	1.77	3.86
0.00	5.44	16.48
0.00	2.85	20.36
0.00	3.40	13.38
0.00	2.14	8.15
0.00	2.86	13.24
0.00	1.96	18.28
0.00	3.30	17.25
0.00	2.14	7.56
0.00	3.34	8.66
0.00	3.01	15.75
0.00	2.59	18.29
0.00	2.71	17.14
0.00	3.46	13.65
0.00	2.61	6.54
0.00	2.44	17.31
0.00	3.76	12.03
0.00	1.31	2.93
0.00	2.61	9.89
0.00	2.87	7.81
0.00	2.27	18.53
0.00	2.66	15.22
0.00	2.14	9.14
0.00	3.39	9.57
0.00	2.61	8.57
0.00	2.84	13.20
0.00	0.12	2.21
0.00	0.00	3.92
0.00	2.42	9.19
0.00	2.57	16.32
0.00	2.54	5.89
0.00	2.14	11.32
0.00	2.81	11.69
0.00	0.00	7.21
0.00	3.46	10.81
0.00	5.82	12.60
0.00	2.33	19.99
0.00	2.83	15.60
0.00	2.27	18.77
0.00	1.77	8.29
0.00	2.61	9.57
0.00	3.76	12.51
0.00	2.66	16.35
0.00	3.39	11.22
0.00	2.86	13.17
0.00	1.41	16.73
0.00	2.44	17.48
0.00	2.52	14.54
0.00	1.54	18.99
0.00	3.01	15.32
0.00	3.76	12.40
0.00	1.89	17.22
0.00	2.91	15.77
0.00	3.41	15.22
0.00	2.07	18.88
0.00	3.39	11.51
0.00	2.19	18.46
0.00	1.15	17.22
0.00	3.04	13.93
0.00	2.42	7.37
0.00	3.41	16.30
0.00	2.20	19.11
0.00	2.44	18.02
0.00	5.09	19.44
0.00	3.18	7.38
0.00	4.11	16.63
0.00	2.44	18.91
0.00	2.02	16.91
0.00	1.31	5.81
0.00	1.98	19.09
0.00	1.31	3.46
0.00	3.70	14.46
0.00	2.44	16.93
0.00	1.65	17.06
0.00	2.81	11.59
0.00	1.18	16.07
0.00	1.60	17.89
0.00	3.46	14.29
0.00	1.95	17.59
0.00	3.01	20.06
0.00	2.27	16.76
0.00	3.34	12.16
0.00	5.11	18.61
0.00	2.54	10.07
0.00	2.42	7.58
0.00	2.74	8.02
0.00	1.39	19.14
0.00	5.11	18.98
0.00	2.61	6.60
0.00	3.70	11.18
0.00	3.40	10.51
0.00	2.85	13.23
0.00	2.85	10.59
0.00	3.41	13.61
0.00	2.14	7.44
0.00	2.17	21.77
0.00	2.54	5.06
0.00	1.77	6.23
0.00	3.76	11.65
0.00	2.27	15.45
0.00	1.31	7.57
0.00	2.61	7.97
0.00	3.13	11.45
0.00	1.73	18.62
0.00	2.66	9.99
0.00	2.81	10.70
0.00	3.38	14.12
0.00	1.49	19.64
0.00	3.40	13.40
0.00	1.49	17.42
0.00	5.44	17.18
0.00	1.31	0.95
0.00	3.74	12.20
0.00	1.31	5.93
0.00	2.74	11.26
0.00	1.87	18.73
0.00	2.24	18.97
0.00	3.04	14.50
0.00	6.05	11.56
0.00	1.76	16.76
0.00	3.34	14.56
0.00	3.76	11.57
0.00	2.66	18.75
0.00	3.39	9.14
0.00	3.13	11.03
0.00	2.87	9.25
0.00	2.13	17.06
0.00	2.85	18.15
0.00	2.17	13.41
0.00	3.74	15.09
0.00	3.10	10.48
0.00	3.74	17.29
0.00	2.54	3.44
0.00	2.14	7.65
0.00	3.74	13.22
0.00	3.46	11.88
0.00	2.61	7.96
0.00	2.87	7.37
0.00	2.42	9.51
0.00	2.95	19.13
0.00	2.42	9.30
0.00	3.44	17.55
0.00	5.11	17.47
0.00	3.38	15.65
0.00	3.04	17.84
0.00	6.05	6.68
0.00	2.00	18.52
0.00	3.04	17.68
0.00	4.02	14.02
0.00	2.71	18.01
0.00	2.42	8.03
0.00	2.44	18.89
0.00	2.14	11.01
0.00	6.25	16.86
0.00	0.68	17.01
0.00	0.70	4.10
0.00	0.00	3.92
