BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.00	3.38	14.93	109.09
0.00	3.44	18.18	200.00
0.00	4.81	21.02	145.45
0.00	6.05	14.23	90.91
0.00	6.32	15.70	100.00
0.00	3.01	13.55	127.27
0.00	3.74	14.76	100.00
0.00	1.77	6.50	100.00
0.00	1.05	18.26	336.36
0.00	1.63	19.90	381.82
0.00	1.98	20.76	190.91
0.00	4.32	18.00	145.45
0.00	2.61	7.97	100.00
0.00	8.10	22.21	127.27
0.00	2.85	14.36	100.00
0.00	2.63	16.47	100.00
0.00	2.42	10.29	100.00
0.00	5.40	20.51	127.27
0.00	3.74	22.60	145.45
0.00	3.30	19.46	181.82
0.00	5.44	19.03	118.18
0.00	0.00	9.36	100.00
0.00	2.37	20.88	263.64
0.00	2.61	10.80	100.00
0.00	1.70	15.20	227.27
0.00	2.25	18.65	318.18
0.00	2.66	14.62	136.36
0.00	1.79	18.13	209.09
0.00	2.28	19.63	163.64
0.00	2.52	17.51	163.64
0.00	2.95	19.87	209.09
0.00	2.83	16.94	136.36
0.00	3.25	16.06	100.00
0.00	1.66	17.44	418.18
0.00	2.66	15.78	136.36
0.00	6.34	17.36	90.91
0.00	4.11	19.45	163.64
0.00	3.74	16.72	100.00
0.00	2.74	9.62	100.00
0.00	3.92	17.15	163.64
0.00	2.05	16.84	181.82
0.00	3.34	11.40	100.00
0.00	2.16	17.16	172.73
0.00	6.05	8.68	90.91
0.00	1.96	18.91	190.91
0.00	1.60	17.86	409.09
0.00	3.40	13.08	100.00
0.00	2.74	9.09	100.00
0.00	0.00	4.28	100.00
0.00	2.10	5.28	100.00
0.00	0.00	3.39	100.00
0.00	2.10	3.96	100.00
0.00	2.14	6.42	100.00
0.00	5.44	12.84	127.27
0.00	6.33	14.58	90.91
0.00	3.40	13.42	100.00
0.00	2.85	9.08	100.00
0.00	3.46	16.87	109.09
0.00	3.01	18.73	127.27
0.00	3.01	17.99	127.27
0.00	1.83	18.29	209.09
0.00	3.41	11.92	100.00
0.00	1.28	18.64	290.91
0.00	1.63	20.08	218.18
0.00	6.75	13.02	100.00
0.00	3.46	14.25	118.18
0.00	3.92	16.63	154.55
0.00	1.76	19.00	209.09
0.00	3.58	14.99	172.73
0.00	1.83	19.46	209.09
0.00	3.40	16.37	100.00
0.00	2.45	15.76	136.36
0.00	1.77	8.01	100.00
0.00	2.86	18.90	109.09
0.00	3.10	6.83	100.00
0.00	3.70	10.09	100.00
0.00	3.25	9.19	100.00
0.00	3.10	6.03	100.00
0.00	3.38	16.32	109.09
0.00	1.31	4.81	100.00
0.00	3.30	18.36	190.91
0.00	0.12	2.21	100.00
0.00	0.00	3.92	100.00
0.00	2.67	17.75	236.36
0.00	2.91	16.11	127.27
0.00	2.14	10.52	100.00
0.00	3.10	6.56	100.00
0.00	1.43	17.27	263.64
0.00	1.90	17.60	218.18
0.00	3.46	12.74	118.18
0.00	3.06	18.48	209.09
0.00	1.91	18.57	172.73
0.00	2.17	15.77	190.91
0.00	3.30	18.71	218.18
0.00	0.89	16.85	481.82
0.00	2.17	16.37	181.82
0.00	3.18	17.15	200.00
0.00	3.92	18.43	163.64
0.00	2.37	19.85	254.55
0.00	2.13	18.90	309.09
0.00	1.18	17.52	336.36
0.00	2.61	13.96	100.00
0.00	2.61	12.43	100.00
0.00	4.11	16.81	154.55
0.00	2.14	7.52	100.00
0.00	1.45	16.20	500.00
0.00	2.74	12.02	100.00
0.00	6.23	11.03	90.91
0.00	6.32	16.32	90.91
0.00	2.20	17.87	327.27
0.00	2.74	9.03	100.00
0.00	2.42	9.14	100.00
0.00	1.00	16.10	400.00
0.00	2.00	19.33	218.18
0.00	4.02	16.54	163.64
0.00	2.91	15.31	127.27
0.00	3.41	12.88	100.00
0.00	3.39	7.61	100.00
0.00	3.13	16.12	118.18
0.00	3.36	19.64	218.18
0.00	3.18	17.38	209.09
0.00	4.55	16.82	145.45
0.00	2.61	10.41	100.00
