BLEU	sacre_BLEU	sacre_CHRF2
0.00	3.40	15.70
0.00	3.44	19.80
0.00	4.75	20.42
0.00	6.05	14.04
0.00	6.32	15.70
0.00	3.01	13.55
0.00	3.74	15.28
0.00	1.77	6.50
0.00	1.05	16.73
0.00	1.63	18.64
0.00	1.69	20.11
0.00	4.32	18.00
0.00	2.61	8.03
0.00	8.10	22.65
0.00	2.81	12.35
0.00	2.85	15.31
0.00	2.74	10.61
0.00	5.40	21.17
0.00	4.32	22.39
0.00	3.44	20.10
0.00	5.82	19.15
0.00	0.00	9.36
0.00	2.44	20.88
0.00	2.61	10.80
0.00	1.64	14.99
0.00	2.25	19.26
0.00	3.22	11.38
0.00	1.72	17.86
0.00	2.28	19.54
0.00	2.72	14.80
0.00	2.85	19.13
0.00	2.83	17.14
0.00	3.25	16.06
0.00	1.69	18.25
0.00	2.52	16.31
0.00	6.82	20.20
0.00	4.32	18.77
0.00	3.38	13.02
0.00	3.10	8.46
0.00	3.79	16.85
0.00	2.05	16.73
0.00	3.25	11.20
0.00	2.83	17.17
0.00	6.05	11.17
0.00	2.28	18.70
0.00	1.70	18.29
0.00	3.40	13.69
0.00	3.25	9.46
0.00	0.00	1.72
0.00	0.70	3.70
0.00	0.00	2.97
0.00	2.54	5.60
0.00	2.14	6.42
0.00	6.25	10.92
0.00	6.33	14.58
0.00	3.38	14.01
0.00	3.76	9.16
0.00	3.46	16.25
0.00	3.01	18.73
0.00	2.91	18.62
0.00	1.83	18.50
0.00	3.41	12.79
0.00	1.35	19.09
0.00	1.76	20.07
0.00	6.61	14.98
0.00	3.23	14.52
0.00	3.92	16.63
0.00	1.69	18.43
0.00	5.11	14.87
0.00	1.83	20.01
0.00	3.38	20.88
0.00	3.13	14.32
0.00	1.77	8.00
0.00	3.13	18.93
0.00	3.10	7.07
0.00	3.70	10.09
0.00	3.10	7.69
0.00	3.10	6.03
0.00	3.40	15.39
0.00	1.31	4.33
0.00	3.74	18.08
0.00	0.12	2.21
0.00	0.00	3.92
0.00	2.59	18.52
0.00	2.91	14.61
0.00	2.14	10.32
0.00	3.10	6.56
0.00	1.69	16.76
0.00	1.83	17.45
0.00	3.46	13.77
0.00	3.06	18.12
0.00	2.02	18.67
0.00	2.57	15.56
0.00	3.44	18.31
0.00	0.86	16.12
0.00	2.17	16.80
0.00	3.30	17.97
0.00	4.11	17.96
0.00	2.19	19.86
0.00	2.19	18.95
0.00	1.27	17.77
0.00	2.61	13.96
0.00	2.61	12.43
0.00	3.92	15.30
0.00	2.14	7.52
0.00	1.47	17.15
0.00	2.74	12.02
0.00	6.23	11.03
0.00	6.32	16.32
0.00	2.04	18.13
0.00	2.74	9.06
0.00	2.42	8.75
0.00	1.91	18.53
0.00	2.00	17.53
0.00	3.82	16.66
0.00	2.87	15.10
0.00	3.41	12.27
0.00	3.39	7.61
0.00	3.40	16.07
0.00	3.79	18.76
0.00	3.18	17.94
0.00	4.55	16.78
0.00	2.61	9.97
0.00	2.91	12.22
0.00	3.25	10.43
0.00	2.66	14.87
0.00	1.31	3.88
0.00	1.96	16.12
0.00	3.40	10.81
0.00	1.73	16.74
0.00	2.03	18.81
0.00	1.89	18.09
0.00	3.30	18.78
0.00	0.94	17.03
0.00	2.27	18.73
0.00	2.86	13.14
0.00	2.27	14.26
0.00	3.01	14.21
