BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.00	3.38	14.93	109.09
0.00	3.44	18.26	200.00
0.00	4.81	21.02	145.45
0.00	6.05	14.04	90.91
0.00	6.80	18.05	100.00
0.00	3.01	13.55	127.27
0.00	3.74	15.07	100.00
0.00	1.77	7.07	100.00
0.00	1.00	16.63	354.55
0.00	1.70	17.13	372.73
0.00	1.69	20.25	209.09
0.00	4.32	18.00	145.45
0.00	2.61	7.97	100.00
0.00	9.08	21.85	118.18
0.00	2.85	14.36	100.00
0.00	2.45	15.40	100.00
0.00	2.42	7.75	100.00
0.00	5.40	20.51	127.27
0.00	3.58	22.58	163.64
0.00	3.44	20.10	172.73
0.00	5.82	17.21	109.09
0.00	0.00	9.36	100.00
0.00	2.44	20.92	263.64
0.00	2.61	10.80	100.00
0.00	1.64	15.18	227.27
0.00	2.14	18.39	327.27
0.00	2.66	14.65	136.36
0.00	1.79	18.07	209.09
0.00	2.16	19.43	172.73
0.00	2.52	17.51	163.64
0.00	2.85	19.05	218.18
0.00	2.83	17.60	136.36
0.00	3.25	16.06	100.00
0.00	1.63	17.70	400.00
0.00	2.83	14.58	127.27
0.00	6.29	16.55	90.91
0.00	4.11	19.45	163.64
0.00	2.55	17.26	118.18
0.00	2.14	8.46	100.00
0.00	4.55	17.08	136.36
0.00	2.05	16.84	181.82
0.00	3.34	11.40	100.00
0.00	2.28	16.39	163.64
0.00	5.77	10.77	90.91
0.00	1.87	18.82	200.00
0.00	1.63	18.20	400.00
0.00	3.38	13.62	109.09
0.00	3.25	8.91	100.00
0.00	0.00	1.72	100.00
0.00	2.10	5.28	100.00
0.00	0.00	3.64	100.00
0.00	2.54	5.60	100.00
0.00	2.14	6.20	100.00
0.00	5.44	12.17	127.27
0.00	6.33	13.23	90.91
0.00	3.40	13.73	100.00
0.00	2.85	9.08	100.00
0.00	3.76	16.54	100.00
0.00	3.74	17.57	100.00
0.00	3.01	19.54	127.27
0.00	1.83	18.57	209.09
0.00	3.41	11.92	100.00
0.00	1.28	18.64	290.91
0.00	1.53	20.32	236.36
0.00	6.61	14.98	109.09
0.00	3.46	14.25	118.18
0.00	3.92	16.63	154.55
0.00	1.76	18.94	209.09
0.00	3.63	16.26	181.82
0.00	1.90	19.93	200.00
0.00	3.40	16.37	100.00
0.00	2.63	14.16	127.27
0.00	1.77	7.97	100.00
0.00	2.87	18.40	100.00
0.00	3.10	7.09	100.00
0.00	3.70	10.09	100.00
0.00	3.10	7.69	100.00
0.00	3.10	6.03	100.00
0.00	3.38	16.28	109.09
0.00	1.77	6.13	100.00
0.00	3.18	18.70	200.00
0.00	0.12	2.21	100.00
0.00	0.00	3.92	100.00
0.00	2.67	18.28	236.36
0.00	2.91	14.61	127.27
0.00	2.14	10.32	100.00
0.00	3.10	6.56	100.00
0.00	1.63	17.22	236.36
0.00	1.87	16.83	200.00
0.00	3.74	13.66	109.09
0.00	3.06	18.84	209.09
0.00	2.02	18.67	163.64
0.00	2.17	16.49	181.82
