BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.00	3.38	15.94	109.09
0.00	3.44	17.99	200.00
0.00	4.55	21.31	154.55
0.00	5.77	13.93	90.91
0.00	6.82	17.15	100.00
0.00	3.01	13.55	127.27
0.00	3.74	16.01	100.00
0.00	2.42	8.58	100.00
0.00	1.00	16.72	345.45
0.00	1.69	19.74	390.91
0.00	1.90	20.41	200.00
0.00	4.55	16.79	136.36
0.00	2.61	8.03	100.00
0.00	9.08	21.32	118.18
0.00	2.85	13.61	100.00
0.00	0.00	17.12	109.09
0.00	2.42	8.98	100.00
0.00	5.40	21.10	127.27
0.00	3.92	21.61	145.45
0.00	5.11	18.92	118.18
0.00	5.44	17.49	118.18
0.00	0.00	9.36	100.00
0.00	2.44	20.79	263.64
0.00	2.61	9.72	100.00
0.00	1.70	16.14	218.18
0.00	1.33	17.78	309.09
0.00	3.46	12.89	100.00
0.00	1.65	17.17	209.09
0.00	2.05	19.06	181.82
0.00	2.39	16.45	154.55
0.00	2.85	19.05	218.18
0.00	3.01	17.49	127.27
0.00	3.39	15.16	100.00
0.00	1.83	17.43	372.73
0.00	2.27	18.33	163.64
0.00	6.29	16.96	90.91
0.00	4.11	19.45	163.64
0.00	3.01	16.72	109.09
0.00	3.10	8.46	100.00
0.00	4.14	16.96	163.64
0.00	2.05	16.84	181.82
0.00	3.25	9.64	100.00
0.00	2.16	15.93	172.73
0.00	6.05	10.43	90.91
0.00	2.28	18.47	163.64
0.00	1.60	17.95	409.09
0.00	3.40	13.44	100.00
0.00	3.25	9.43	100.00
0.00	0.00	4.30	100.00
0.00	1.56	4.57	100.00
0.00	0.00	5.78	100.00
0.00	2.54	4.19	100.00
0.00	2.14	6.20	100.00
0.00	3.34	7.56	100.00
0.00	6.33	14.15	90.91
0.00	3.38	14.19	109.09
0.00	3.76	9.48	100.00
0.00	3.76	14.85	100.00
0.00	3.74	16.72	100.00
0.00	3.01	18.98	127.27
0.00	1.90	19.26	200.00
0.00	3.39	11.96	100.00
0.00	1.39	18.55	263.64
0.00	1.76	19.88	200.00
0.00	6.61	14.98	109.09
0.00	3.93	13.06	109.09
0.00	4.55	16.38	127.27
0.00	1.63	19.52	227.27
0.00	4.81	15.08	136.36
0.00	1.83	20.39	209.09
0.00	3.40	17.63	100.00
0.00	2.57	16.23	163.64
0.00	1.77	8.00	100.00
0.00	2.85	13.55	100.00
0.00	2.87	7.87	100.00
0.00	3.70	10.55	100.00
0.00	3.10	8.55	100.00
0.00	3.10	6.03	100.00
0.00	3.38	15.86	109.09
0.00	1.31	4.34	100.00
0.00	3.44	18.54	190.91
0.00	0.12	2.21	100.00
0.00	0.00	3.92	100.00
0.00	2.95	18.46	227.27
0.00	2.91	15.00	127.27
0.00	2.14	10.32	100.00
0.00	3.10	6.56	100.00
0.00	1.58	16.26	245.45
0.00	1.83	17.45	227.27
0.00	3.42	13.94	127.27
0.00	3.18	18.61	200.00
0.00	2.29	19.15	145.45
0.00	2.27	15.64	172.73
0.00	3.44	17.39	209.09
0.00	0.94	16.77	463.64
0.00	2.07	18.13	181.82
0.00	3.18	17.15	200.00
0.00	4.34	18.02	163.64
0.00	2.30	20.19	263.64
0.00	2.13	19.51	309.09
0.00	1.24	17.46	327.27
0.00	2.61	13.96	100.00
0.00	3.25	15.00	100.00
0.00	4.32	17.38	145.45
0.00	2.14	8.20	100.00
