BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.00	3.40	15.70	100.00
0.00	3.44	18.26	200.00
0.00	5.11	21.66	136.36
0.00	6.05	14.23	90.91
0.00	6.80	17.19	100.00
0.00	3.01	14.25	127.27
0.00	3.74	15.07	100.00
0.00	1.31	6.29	100.00
0.00	1.21	16.00	300.00
0.00	2.03	18.60	309.09
0.00	1.98	20.72	190.91
0.00	4.32	18.00	145.45
0.00	2.42	8.15	100.00
0.00	5.44	16.17	109.09
0.00	2.85	13.89	100.00
0.00	0.00	14.63	100.00
0.00	2.42	10.34	100.00
0.00	5.75	23.18	118.18
0.00	4.32	21.46	127.27
0.00	4.55	18.97	136.36
0.00	4.55	16.67	127.27
0.00	0.00	9.36	100.00
0.00	2.44	20.79	263.64
0.00	2.74	8.25	100.00
0.00	1.63	16.00	218.18
0.00	1.98	17.86	345.45
0.00	3.01	12.54	118.18
0.00	1.72	18.46	218.18
0.00	2.41	19.28	154.55
0.00	2.55	15.61	145.45
0.00	2.95	19.01	209.09
0.00	3.38	15.40	109.09
0.00	3.41	17.65	100.00
0.00	1.52	17.54	436.36
0.00	3.01	13.42	118.18
0.00	6.34	17.36	90.91
0.00	4.11	19.45	163.64
0.00	3.74	17.22	100.00
0.00	2.61	7.99	100.00
0.00	4.32	17.05	145.45
0.00	1.96	17.66	190.91
0.00	3.25	11.20	100.00
0.00	2.27	16.59	172.73
0.00	6.05	9.66	90.91
0.00	1.96	17.74	190.91
0.00	1.81	18.00	372.73
0.00	3.38	13.62	109.09
0.00	2.74	8.67	100.00
0.00	0.00	1.72	100.00
0.00	2.10	5.28	100.00
0.00	0.00	2.97	100.00
0.00	2.10	3.96	100.00
0.00	1.77	5.54	100.00
0.00	6.33	10.52	100.00
0.00	6.33	14.58	90.91
0.00	3.40	12.98	100.00
0.00	2.74	6.85	100.00
0.00	3.46	14.95	109.09
0.00	3.74	16.72	100.00
0.00	3.01	19.54	127.27
0.00	1.83	17.25	209.09
0.00	3.41	13.12	100.00
0.00	1.35	18.54	272.73
0.00	1.58	19.13	227.27
0.00	6.25	14.78	109.09
0.00	3.72	13.23	109.09
0.00	3.92	16.63	154.55
0.00	1.63	19.29	227.27
0.00	4.81	15.72	136.36
0.00	2.07	19.50	190.91
0.00	3.39	14.41	100.00
0.00	2.87	13.54	100.00
0.00	1.77	8.01	100.00
0.00	2.86	18.90	109.09
0.00	3.10	7.09	100.00
0.00	3.25	9.78	100.00
0.00	3.25	9.19	100.00
0.00	3.10	6.03	100.00
0.00	3.38	16.28	109.09
0.00	1.31	4.33	100.00
0.00	3.74	19.09	172.73
0.00	0.12	2.21	100.00
0.00	0.00	3.92	100.00
0.00	2.67	18.08	236.36
0.00	2.72	15.69	136.36
0.00	2.14	10.95	100.00
0.00	3.10	6.56	100.00
0.00	1.76	17.79	218.18
0.00	1.87	16.63	200.00
0.00	3.23	13.34	127.27
0.00	3.58	17.73	181.82
0.00	2.02	18.47	163.64
0.00	2.84	13.53	118.18
0.00	3.44	18.23	209.09
0.00	0.90	17.36	454.55
0.00	2.39	15.64	154.55
0.00	3.18	17.69	200.00
0.00	4.55	18.81	145.45
0.00	2.51	20.83	236.36
0.00	2.24	19.58	290.91
0.00	1.10	17.92	363.64
0.00	2.61	13.96	100.00
0.00	2.61	9.64	100.00
0.00	3.74	16.89	172.73
0.00	2.14	7.52	100.00
0.00	1.41	16.83	490.91
0.00	2.74	12.02	100.00
0.00	6.23	11.03	90.91
0.00	6.32	16.32	90.91
0.00	2.03	18.13	336.36
0.00	2.74	8.24	100.00
0.00	3.10	9.09	100.00
0.00	1.85	17.47	363.64
0.00	2.13	16.36	181.82
0.00	3.82	18.09	172.73
0.00	3.13	15.00	118.18
0.00	3.41	13.98	100.00
0.00	3.39	7.61	100.00
0.00	3.40	16.37	100.00
0.00	3.48	18.04	190.91
0.00	3.74	17.48	181.82
0.00	5.41	13.95	118.18
0.00	2.61	10.41	100.00
0.00	2.83	15.69	136.36
0.00	3.41	12.36	100.00
0.00	2.66	13.10	145.45
0.00	1.31	3.88	100.00
0.00	2.05	16.22	181.82
0.00	3.41	9.94	100.00
0.00	1.82	16.42	181.82
0.00	2.44	18.60	290.91
0.00	1.76	17.96	218.18
0.00	3.30	18.82	190.91
0.00	1.73	18.94	363.64
0.00	2.27	18.75	172.73
0.00	2.86	12.61	100.00
0.00	2.52	13.35	154.55
0.00	4.32	17.10	154.55
0.00	1.96	13.86	190.91
0.00	2.85	13.94	100.00
0.00	2.61	8.32	100.00
0.00	2.84	13.54	118.18
0.00	1.48	16.11	254.55
0.00	3.46	13.45	109.09
0.00	2.74	8.06	100.00
0.00	2.85	15.97	100.00
0.00	3.40	14.84	100.00
0.00	2.14	5.25	100.00
0.00	2.27	15.82	172.73
0.00	3.92	16.59	172.73
0.00	1.39	16.28	281.82
0.00	2.72	16.74	136.36
0.00	1.77	5.17	100.00
0.00	3.92	20.72	154.55
0.00	3.38	12.05	109.09
0.00	2.85	13.91	100.00
0.00	3.38	9.88	109.09
0.00	2.17	15.26	163.64
0.00	3.25	8.57	100.00
0.00	3.01	14.49	118.18
0.00	3.25	11.13	100.00
0.00	6.34	13.79	90.91
0.00	2.83	14.32	136.36
0.00	2.63	15.73	127.27
0.00	1.77	6.17	100.00
0.00	3.60	7.37	100.00
0.00	2.61	6.05	100.00
0.00	1.89	17.90	200.00
0.00	2.55	13.86	145.45
0.00	2.61	4.30	100.00
0.00	1.77	4.24	100.00
0.00	2.61	5.75	100.00
0.00	2.61	9.61	100.00
0.00	2.14	8.49	100.00
0.00	2.63	14.30	127.27
0.00	6.32	10.96	100.00
0.00	3.76	13.14	100.00
0.00	3.77	11.89	100.00
0.00	1.69	18.93	209.09
0.00	3.41	13.46	100.00
0.00	1.58	17.97	254.55
0.00	2.41	16.82	154.55
0.00	2.66	17.59	136.36
0.00	2.02	12.64	163.64
0.00	2.74	7.78	100.00
0.00	2.87	7.55	100.00
0.00	3.46	10.85	109.09
0.00	3.39	11.77	100.00
0.00	3.13	12.54	118.18
0.00	2.61	13.22	100.00
0.00	1.83	16.92	218.18
0.00	1.96	15.81	190.91
0.00	2.41	15.13	127.27
0.00	2.87	11.04	100.00
0.00	2.13	19.06	181.82
0.00	6.05	10.79	90.91
0.00	3.76	10.17	100.00
0.00	3.38	11.51	109.09
0.00	1.98	16.68	181.82
0.00	3.22	14.28	118.18
0.00	6.34	13.83	90.91
0.00	2.74	7.85	100.00
0.00	2.14	5.72	100.00
0.00	2.45	14.21	136.36
0.00	3.01	13.73	127.27
0.00	1.77	8.15	100.00
0.00	3.10	7.13	100.00
0.00	2.66	18.34	145.45
0.00	1.89	18.51	209.09
0.00	2.83	16.61	145.45
0.00	2.95	19.40	236.36
0.00	2.14	16.36	290.91
0.00	3.38	10.88	100.00
0.00	0.00	4.16	100.00
0.00	2.24	19.74	272.73
0.00	3.63	16.87	154.55
0.00	1.08	15.66	554.55
0.00	2.16	16.65	154.55
0.00	1.77	6.57	100.00
0.00	2.02	16.76	154.55
0.00	1.18	17.80	300.00
0.00	1.31	3.40	100.00
0.00	0.00	3.92	100.00
0.00	2.07	15.68	172.73
0.00	4.32	18.34	154.55
0.00	3.41	14.31	100.00
0.00	5.11	20.57	127.27
0.00	2.86	17.07	136.36
0.00	5.41	18.89	118.18
0.00	5.75	18.33	127.27
0.00	6.75	13.75	100.00
0.00	3.82	17.73	172.73
0.00	4.75	17.28	136.36
0.00	2.84	12.71	100.00
0.00	2.14	6.57	100.00
0.00	1.69	17.34	227.27
0.00	1.87	18.73	200.00
0.00	2.27	19.53	163.64
0.00	3.25	13.18	100.00
0.00	3.18	19.91	209.09
0.00	3.64	19.75	181.82
0.00	1.98	16.88	363.64
0.00	2.55	18.26	127.27
0.00	1.10	19.53	381.82
0.00	1.48	17.29	254.55
0.00	2.03	18.93	327.27
0.00	6.25	16.77	100.00
0.00	1.83	18.19	218.18
0.00	3.74	16.56	100.00
0.00	1.43	18.34	263.64
0.00	5.82	14.61	109.09
0.00	2.37	18.45	281.82
0.00	1.83	18.29	209.09
0.00	2.05	17.35	181.82
0.00	1.35	18.11	272.73
0.00	3.58	21.83	181.82
0.00	2.41	18.61	154.55
0.00	0.89	17.25	427.27
0.00	2.55	18.24	145.45
0.00	2.02	18.74	163.64
0.00	3.92	18.90	172.73
0.00	2.27	19.35	172.73
0.00	1.83	16.08	209.09
0.00	2.28	15.51	163.64
0.00	2.27	18.33	172.73
0.00	1.54	16.56	418.18
0.00	2.55	15.72	136.36
0.00	3.64	17.85	181.82
0.00	3.06	20.62	209.09
0.00	2.91	16.66	127.27
0.00	1.16	16.17	490.91
