BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.00	3.38	14.93	109.09
0.00	3.44	18.26	200.00
0.00	4.81	21.02	145.45
0.00	6.05	14.23	90.91
0.00	6.32	15.88	100.00
0.00	3.01	13.55	127.27
0.00	3.74	14.76	100.00
0.00	1.77	6.50	100.00
0.00	1.00	16.98	336.36
0.00	1.73	18.22	363.64
0.00	1.98	20.36	190.91
0.00	4.32	18.00	145.45
0.00	3.34	8.81	100.00
0.00	8.10	21.89	127.27
0.00	2.85	14.36	100.00
0.00	2.63	17.22	100.00
0.00	2.42	9.12	100.00
0.00	5.40	21.17	127.27
0.00	4.11	23.12	145.45
0.00	3.74	18.70	154.55
0.00	4.81	17.03	118.18
0.00	0.00	9.36	100.00
0.00	2.44	20.92	263.64
0.00	2.74	9.35	100.00
0.00	1.70	15.02	227.27
0.00	2.25	18.67	318.18
0.00	2.66	14.58	136.36
0.00	1.79	17.69	209.09
0.00	2.16	19.51	172.73
0.00	2.52	17.51	163.64
0.00	2.85	19.05	218.18
0.00	3.01	16.82	127.27
0.00	3.25	16.06	100.00
0.00	1.69	17.59	409.09
0.00	3.01	14.29	118.18
0.00	6.34	17.36	90.91
0.00	4.11	19.45	163.64
0.00	3.74	16.72	100.00
0.00	3.10	8.46	100.00
0.00	3.92	17.15	163.64
0.00	2.05	16.84	181.82
0.00	3.34	11.40	100.00
0.00	2.28	18.03	163.64
0.00	6.05	10.43	90.91
0.00	2.55	18.17	145.45
0.00	1.73	18.13	381.82
0.00	3.40	13.08	100.00
0.00	2.74	8.67	100.00
0.00	0.00	1.72	100.00
0.00	2.10	5.28	100.00
0.00	0.00	2.68	100.00
0.00	2.10	3.96	100.00
0.00	2.14	6.42	100.00
0.00	5.44	12.17	127.27
0.00	6.33	14.15	90.91
0.00	3.39	12.50	100.00
0.00	2.74	6.85	100.00
0.00	3.76	16.12	100.00
0.00	3.74	17.57	100.00
0.00	3.01	19.63	127.27
0.00	1.83	18.01	209.09
0.00	3.41	11.92	100.00
0.00	1.31	18.83	281.82
0.00	1.76	20.58	200.00
0.00	6.75	13.02	100.00
0.00	3.72	13.08	109.09
0.00	3.92	16.63	154.55
0.00	1.83	18.84	200.00
0.00	3.79	15.68	172.73
0.00	2.07	19.68	190.91
0.00	3.40	16.37	100.00
0.00	2.84	14.02	118.18
0.00	1.77	7.97	100.00
0.00	2.87	18.78	100.00
0.00	3.25	7.96	100.00
0.00	3.76	10.43	100.00
0.00	3.25	9.19	100.00
0.00	3.10	6.03	100.00
0.00	3.40	15.99	100.00
0.00	1.31	5.52	100.00
0.00	4.55	17.37	145.45
0.00	0.12	2.21	100.00
0.00	0.00	3.92	100.00
0.00	2.95	17.34	227.27
0.00	2.45	15.25	136.36
0.00	2.14	9.89	100.00
0.00	3.10	6.56	100.00
0.00	1.69	17.15	227.27
0.00	1.98	17.56	209.09
0.00	3.74	12.48	109.09
0.00	3.06	18.04	209.09
0.00	2.55	18.65	145.45
0.00	2.52	15.41	163.64
