BLEU	sacre_BLEU	sacre_CHRF2
0.00	3.38	14.93
0.00	3.44	18.26
0.00	4.81	21.02
0.00	6.05	14.04
0.00	6.80	17.02
0.00	3.01	13.55
0.00	3.74	15.07
0.00	1.77	6.50
0.00	0.94	16.98
0.00	1.60	19.95
0.00	1.76	20.81
0.00	4.32	18.00
0.00	3.34	8.88
0.00	8.10	22.21
0.00	2.85	14.29
0.00	2.45	16.80
0.00	2.14	6.63
0.00	5.40	21.17
0.00	4.11	22.87
0.00	2.71	18.80
0.00	5.82	19.34
0.00	0.00	9.36
0.00	2.37	20.43
0.00	2.74	9.35
0.00	1.70	15.20
0.00	2.31	18.58
0.00	2.66	14.58
0.00	1.79	18.00
0.00	2.05	18.84
0.00	2.52	17.51
0.00	2.95	19.87
0.00	2.83	16.94
0.00	3.25	16.06
0.00	1.66	17.50
0.00	5.11	15.31
0.00	6.34	16.96
0.00	4.11	19.45
0.00	3.38	13.38
0.00	3.25	9.62
0.00	4.14	17.43
0.00	2.05	16.84
0.00	3.34	11.56
0.00	2.28	18.03
0.00	6.05	8.68
0.00	2.05	19.91
0.00	1.60	17.92
0.00	3.38	13.01
0.00	2.74	9.09
0.00	0.00	4.28
0.00	2.10	5.28
0.00	0.00	2.97
0.00	2.54	5.60
0.00	2.14	6.20
0.00	6.25	11.63
0.00	6.33	14.58
0.00	3.38	14.55
0.00	2.81	7.86
0.00	3.46	17.15
0.00	3.01	18.73
0.00	3.01	18.34
0.00	1.83	17.38
0.00	3.41	11.92
0.00	1.30	18.08
0.00	1.48	19.64
0.00	6.61	14.98
0.00	3.23	14.69
0.00	3.92	17.87
0.00	1.76	18.94
0.00	3.63	16.26
0.00	1.83	20.18
0.00	3.40	16.37
0.00	2.86	14.91
0.00	1.77	8.01
0.00	2.86	19.30
0.00	3.10	8.62
0.00	3.70	10.55
0.00	3.25	9.19
0.00	3.10	6.03
0.00	3.40	16.23
0.00	1.77	5.67
0.00	2.59	19.08
0.00	0.12	2.21
0.00	0.00	3.92
0.00	2.67	17.75
0.00	2.45	15.00
0.00	2.14	10.32
0.00	3.10	6.56
0.00	1.69	17.82
0.00	1.79	17.46
0.00	3.22	13.66
0.00	3.06	18.41
0.00	2.02	19.51
0.00	2.07	16.87
0.00	3.44	17.94
0.00	0.78	15.71
0.00	2.07	17.26
0.00	3.18	17.61
0.00	3.92	18.43
0.00	2.37	19.84
0.00	2.19	18.86
0.00	1.22	17.34
0.00	2.61	13.96
0.00	2.61	11.85
0.00	3.74	15.63
0.00	2.14	7.39
0.00	1.24	17.00
0.00	6.80	15.01
