BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.00	3.38	14.69	109.09
0.00	3.44	18.26	200.00
0.00	4.81	21.02	145.45
0.00	6.05	14.23	90.91
0.00	6.32	15.52	100.00
0.00	3.01	13.55	127.27
0.00	3.74	15.07	100.00
0.00	1.77	7.07	100.00
0.00	1.07	17.54	336.36
0.00	1.87	18.17	354.55
0.00	1.83	21.03	209.09
0.00	4.32	17.85	145.45
0.00	2.61	9.27	100.00
0.00	4.81	17.79	118.18
0.00	2.85	12.58	100.00
0.00	2.45	15.99	100.00
0.00	2.14	10.26	100.00
0.00	5.40	20.64	127.27
0.00	4.11	21.87	136.36
0.00	4.81	19.13	127.27
0.00	5.82	18.96	109.09
0.00	0.00	9.36	100.00
0.00	2.30	20.61	281.82
0.00	2.61	10.80	100.00
0.00	1.64	15.23	227.27
0.00	2.14	18.23	327.27
0.00	2.83	14.20	127.27
0.00	1.79	18.27	209.09
0.00	2.17	19.19	172.73
0.00	2.41	16.53	154.55
0.00	2.95	19.11	209.09
0.00	2.72	16.46	136.36
0.00	3.25	16.06	100.00
0.00	1.66	16.47	418.18
0.00	2.66	15.20	136.36
0.00	6.75	19.79	90.91
0.00	4.11	19.45	163.64
0.00	2.72	13.83	109.09
0.00	3.10	8.46	100.00
0.00	4.33	17.77	163.64
0.00	2.05	16.34	181.82
0.00	3.34	11.62	100.00
0.00	2.16	18.41	172.73
0.00	5.77	8.96	90.91
0.00	1.79	17.48	209.09
0.00	1.73	17.91	381.82
0.00	3.38	14.90	109.09
0.00	3.25	9.63	100.00
0.00	0.00	4.28	100.00
0.00	2.10	5.28	100.00
0.00	0.00	3.39	100.00
0.00	2.54	4.90	100.00
0.00	2.14	6.20	100.00
0.00	3.34	7.31	100.00
0.00	6.33	14.58	90.91
0.00	3.40	13.69	100.00
0.00	2.74	6.85	100.00
0.00	3.46	17.15	109.09
0.00	3.74	17.57	100.00
0.00	2.91	18.90	127.27
0.00	1.83	18.19	209.09
0.00	3.41	11.92	100.00
0.00	1.28	18.64	290.91
0.00	1.58	20.95	227.27
0.00	6.61	14.98	109.09
0.00	3.46	14.25	118.18
0.00	4.11	17.12	145.45
0.00	1.63	19.60	227.27
0.00	3.58	15.28	172.73
0.00	1.83	20.18	209.09
0.00	3.41	16.37	100.00
0.00	2.63	14.84	127.27
0.00	1.77	8.01	100.00
0.00	2.87	14.55	100.00
0.00	3.10	7.09	100.00
0.00	3.70	10.09	100.00
0.00	3.25	9.19	100.00
0.00	3.10	6.03	100.00
0.00	3.38	16.32	109.09
0.00	1.77	6.13	100.00
0.00	3.18	18.86	200.00
0.00	0.12	2.21	100.00
0.00	0.00	3.92	100.00
0.00	2.59	19.25	245.45
0.00	2.91	15.00	127.27
0.00	2.14	9.89	100.00
0.00	3.10	6.56	100.00
0.00	2.51	20.89	254.55
0.00	1.98	17.56	209.09
0.00	3.46	13.66	127.27
0.00	3.18	18.04	209.09
0.00	2.41	18.93	154.55
0.00	2.17	16.42	181.82
0.00	3.44	17.94	209.09
0.00	0.83	16.90	518.18
0.00	2.07	16.99	190.91
0.00	3.18	16.96	200.00
0.00	4.32	17.09	145.45
0.00	2.30	20.14	263.64
0.00	2.13	18.34	309.09
0.00	1.22	17.43	345.45
0.00	2.61	13.96	100.00
0.00	2.61	9.84	100.00
0.00	4.11	16.78	154.55
0.00	2.14	7.52	100.00
0.00	1.49	15.75	481.82
0.00	6.80	15.01	90.91
0.00	6.23	11.03	90.91
0.00	6.32	16.32	90.91
0.00	1.95	17.89	354.55
0.00	2.74	8.24	100.00
0.00	2.42	9.37	100.00
0.00	1.91	17.58	381.82
0.00	2.08	17.75	209.09
0.00	3.82	16.66	172.73
0.00	2.91	15.84	127.27
0.00	3.41	12.57	100.00
0.00	3.39	7.61	100.00
0.00	3.40	16.28	100.00
0.00	3.74	17.96	190.91
0.00	3.06	18.03	218.18
0.00	4.55	16.82	145.45
0.00	2.61	10.41	100.00
0.00	3.01	12.95	127.27
0.00	3.25	8.74	90.91
0.00	2.66	13.44	145.45
0.00	1.77	5.26	100.00
0.00	2.07	16.26	200.00
