BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.00	3.38	14.93	109.09
0.00	3.44	18.30	200.00
0.00	4.81	21.02	145.45
0.00	6.05	14.23	90.91
0.00	6.32	15.88	100.00
0.00	3.01	13.55	127.27
0.00	3.74	14.76	100.00
0.00	1.77	6.50	100.00
0.00	0.98	18.71	363.64
0.00	1.91	18.45	354.55
0.00	2.04	20.67	200.00
0.00	4.32	18.00	145.45
0.00	2.61	9.01	100.00
0.00	5.44	16.99	109.09
0.00	2.85	14.58	100.00
0.00	2.87	15.09	100.00
0.00	2.42	10.29	100.00
0.00	5.40	20.54	127.27
0.00	4.32	23.15	127.27
0.00	3.44	19.40	172.73
0.00	4.81	16.64	118.18
0.00	0.00	9.36	100.00
0.00	2.44	19.70	263.64
0.00	2.61	10.80	100.00
0.00	1.70	15.50	227.27
0.00	2.00	17.83	354.55
0.00	2.83	14.16	127.27
0.00	1.72	18.18	218.18
0.00	1.98	18.30	190.91
0.00	2.41	16.53	154.55
0.00	2.95	19.96	209.09
0.00	2.83	16.94	136.36
0.00	3.41	17.65	100.00
0.00	1.63	17.90	381.82
0.00	3.01	14.29	118.18
0.00	6.29	16.96	90.91
0.00	4.11	19.45	163.64
0.00	3.22	16.29	100.00
0.00	3.10	8.46	100.00
0.00	4.14	16.96	163.64
0.00	2.16	16.89	172.73
0.00	2.74	11.37	100.00
0.00	2.55	15.76	145.45
0.00	5.77	8.96	90.91
0.00	1.96	18.97	190.91
0.00	1.54	17.17	427.27
0.00	3.40	13.73	100.00
0.00	3.25	9.43	100.00
0.00	0.00	1.72	100.00
0.00	2.10	5.28	100.00
0.00	0.00	3.39	100.00
0.00	2.54	5.60	100.00
0.00	2.14	6.42	100.00
0.00	6.25	11.63	109.09
0.00	6.34	13.45	90.91
0.00	3.38	14.16	109.09
0.00	2.42	7.31	100.00
0.00	3.46	16.87	109.09
0.00	3.74	17.57	100.00
0.00	2.91	18.35	127.27
0.00	1.83	18.11	209.09
0.00	3.41	11.92	100.00
0.00	1.35	18.58	272.73
0.00	1.53	20.32	236.36
0.00	7.14	13.11	100.00
0.00	3.46	14.25	118.18
0.00	4.32	18.09	136.36
0.00	1.76	18.43	209.09
0.00	3.58	16.29	172.73
0.00	1.90	20.08	200.00
0.00	3.41	16.37	100.00
0.00	2.84	13.08	118.18
0.00	1.77	8.01	100.00
0.00	2.87	16.94	100.00
0.00	3.10	7.92	100.00
0.00	3.70	10.09	100.00
0.00	3.25	8.99	100.00
0.00	3.10	6.03	100.00
0.00	3.38	15.55	109.09
0.00	1.77	6.13	100.00
0.00	2.95	19.46	218.18
0.00	0.12	2.21	100.00
0.00	0.00	3.92	100.00
0.00	2.76	17.68	245.45
0.00	2.72	15.44	136.36
0.00	2.14	10.52	100.00
0.00	3.10	6.56	100.00
0.00	1.63	19.26	236.36
0.00	1.83	17.41	227.27
0.00	3.46	13.66	127.27
0.00	3.18	18.24	209.09
0.00	2.02	18.86	163.64
0.00	2.17	16.24	190.91
0.00	3.44	18.34	209.09
0.00	0.86	17.71	481.82
0.00	2.07	16.77	190.91
0.00	2.95	17.77	218.18
0.00	4.81	18.52	136.36
0.00	2.37	20.06	254.55
0.00	2.13	18.97	309.09
0.00	1.19	17.82	354.55
0.00	2.61	13.96	100.00
0.00	2.61	9.84	100.00
0.00	4.11	15.90	154.55
0.00	2.14	8.20	100.00
0.00	1.40	16.30	527.27
0.00	6.80	15.01	90.91
0.00	6.23	11.03	90.91
0.00	6.32	16.32	90.91
0.00	2.00	17.82	345.45
