BLEU	sacre_BLEU	sacre_CHRF2	sacre_TER
0.00	3.40	15.70	100.00
0.00	3.44	18.18	200.00
0.00	4.55	20.78	145.45
0.00	6.05	14.23	90.91
0.00	6.82	15.75	100.00
0.00	3.01	13.55	127.27
0.00	3.74	13.33	100.00
0.00	1.77	6.50	100.00
0.00	1.18	16.89	318.18
0.00	1.81	18.84	345.45
0.00	2.07	19.92	172.73
0.00	4.55	17.93	136.36
0.00	2.61	8.03	100.00
0.00	4.81	18.85	118.18
0.00	2.85	14.07	100.00
0.00	2.63	15.83	100.00
0.00	2.42	11.00	100.00
0.00	5.40	20.51	127.27
0.00	4.11	22.92	136.36
0.00	5.44	18.06	109.09
0.00	5.44	17.49	118.18
0.00	0.00	9.36	100.00
0.00	2.44	21.01	263.64
0.00	2.74	9.35	100.00
0.00	1.70	16.04	218.18
0.00	2.25	19.17	318.18
0.00	2.83	12.53	127.27
0.00	1.79	17.51	209.09
0.00	2.16	18.93	172.73
0.00	2.41	15.19	154.55
0.00	2.95	19.26	209.09
0.00	2.83	16.94	136.36
0.00	3.25	14.30	100.00
0.00	1.69	17.16	409.09
0.00	5.11	15.31	127.27
0.00	6.34	17.36	90.91
0.00	4.32	18.77	154.55
0.00	3.13	16.33	109.09
0.00	3.10	8.46	100.00
0.00	4.14	17.53	154.55
0.00	2.05	16.84	181.82
0.00	3.25	11.20	100.00
0.00	2.16	18.19	172.73
0.00	6.05	9.66	90.91
0.00	2.16	18.41	172.73
0.00	1.57	18.17	418.18
0.00	3.38	13.62	109.09
0.00	2.74	8.67	100.00
0.00	0.00	1.72	100.00
0.00	1.31	5.06	100.00
0.00	0.00	2.68	100.00
0.00	2.10	3.96	100.00
0.00	2.14	6.42	100.00
0.00	3.34	7.31	100.00
0.00	6.33	14.58	90.91
0.00	3.38	14.35	109.09
0.00	2.85	9.08	100.00
0.00	3.46	16.87	109.09
0.00	3.74	17.57	100.00
0.00	2.55	18.87	145.45
0.00	1.83	18.53	209.09
0.00	3.41	11.92	100.00
0.00	1.37	18.63	300.00
0.00	1.76	20.58	200.00
0.00	7.14	13.11	100.00
0.00	4.02	12.90	100.00
0.00	3.92	16.63	154.55
0.00	1.76	18.63	209.09
0.00	4.14	15.55	154.55
0.00	1.90	19.93	200.00
0.00	3.40	16.25	100.00
0.00	2.84	14.59	118.18
0.00	2.14	10.18	100.00
0.00	3.38	13.43	109.09
0.00	3.25	7.51	100.00
0.00	3.70	9.76	100.00
0.00	3.25	9.36	100.00
0.00	3.10	6.03	100.00
0.00	3.40	15.99	100.00
0.00	1.77	6.18	100.00
0.00	3.74	17.38	172.73
0.00	0.00	1.97	100.00
0.00	0.00	3.92	100.00
0.00	2.59	18.44	245.45
0.00	2.29	15.40	145.45
0.00	2.14	9.89	100.00
0.00	3.10	6.56	100.00
0.00	1.69	17.36	236.36
0.00	1.90	17.69	218.18
0.00	3.72	13.12	109.09
0.00	3.06	18.80	209.09
0.00	2.91	18.78	127.27
0.00	2.55	15.39	154.55
0.00	1.96	16.88	190.91
0.00	0.83	16.06	500.00
0.00	2.07	16.92	190.91
0.00	3.18	16.53	200.00
0.00	4.55	18.65	145.45
0.00	2.37	20.24	263.64
0.00	2.13	18.79	309.09
0.00	1.22	18.01	345.45
0.00	2.61	13.96	100.00
0.00	2.61	9.64	100.00
0.00	4.11	17.10	154.55
0.00	2.14	7.52	100.00
0.00	1.45	17.93	500.00
0.00	6.80	15.01	90.91
0.00	6.23	11.03	90.91
0.00	6.32	16.32	90.91
0.00	2.37	18.26	300.00
0.00	2.74	8.83	100.00
0.00	2.61	9.34	100.00
0.00	1.87	18.35	390.91
0.00	1.92	17.22	218.18
0.00	3.64	16.27	181.82
0.00	3.13	15.46	118.18
0.00	3.38	13.55	109.09
0.00	3.39	7.61	100.00
0.00	3.40	16.28	100.00
0.00	3.36	17.34	218.18
0.00	3.18	18.13	209.09
0.00	4.55	16.82	145.45
0.00	2.61	9.97	100.00
0.00	2.66	14.81	145.45
0.00	3.39	12.16	90.91
0.00	2.72	11.94	136.36
0.00	1.77	5.00	100.00
0.00	2.05	15.52	190.91
0.00	3.40	11.68	100.00
0.00	1.82	17.65	181.82
0.00	2.13	19.04	327.27
0.00	1.82	18.56	218.18
0.00	3.18	18.70	209.09
0.00	1.54	18.08	418.18
0.00	2.27	19.18	172.73
0.00	2.86	12.91	100.00
0.00	2.17	14.26	181.82
0.00	4.14	16.36	172.73
0.00	2.39	14.42	172.73
0.00	3.40	15.02	109.09
0.00	2.61	8.32	100.00
0.00	2.84	13.31	118.18
0.00	1.48	16.78	254.55
0.00	3.01	16.69	127.27
0.00	2.74	7.95	100.00
0.00	2.81	16.01	100.00
0.00	3.40	15.23	100.00
0.00	2.14	5.25	100.00
0.00	2.52	17.71	154.55
0.00	2.04	16.77	209.09
0.00	1.43	16.14	281.82
0.00	2.72	17.81	136.36
0.00	2.14	5.61	100.00
0.00	3.58	20.95	181.82
0.00	3.40	11.49	100.00
0.00	3.39	14.12	100.00
0.00	3.40	10.87	100.00
0.00	2.44	15.23	154.55
0.00	3.10	7.89	100.00
0.00	2.83	14.61	118.18
0.00	3.25	10.67	100.00
0.00	6.25	15.95	100.00
0.00	2.66	13.13	136.36
0.00	2.91	15.39	136.36
0.00	2.14	7.50	100.00
0.00	3.43	4.79	100.00
0.00	2.61	6.05	100.00
0.00	1.89	17.24	200.00
0.00	2.27	15.26	172.73
0.00	2.61	4.30	100.00
0.00	1.77	4.24	100.00
0.00	1.77	4.98	100.00
0.00	2.61	9.61	100.00
0.00	2.14	8.60	100.00
0.00	5.11	16.08	145.45
0.00	6.23	10.13	100.00
0.00	3.76	12.45	100.00
0.00	3.39	11.70	100.00
0.00	1.63	18.68	218.18
0.00	3.40	14.00	100.00
0.00	1.64	17.62	263.64
0.00	2.72	15.77	136.36
0.00	2.27	17.12	154.55
0.00	2.41	12.44	163.64
0.00	2.74	9.47	100.00
0.00	3.10	9.70	100.00
0.00	3.74	10.44	100.00
0.00	3.39	11.54	100.00
0.00	3.13	12.54	118.18
0.00	3.41	19.70	100.00
0.00	1.90	16.10	209.09
0.00	2.07	16.22	200.00
0.00	2.16	15.93	136.36
0.00	2.45	13.19	136.36
0.00	1.96	17.66	200.00
0.00	6.69	9.15	90.91
0.00	3.77	11.81	100.00
0.00	3.38	13.40	109.09
0.00	1.90	16.80	181.82
0.00	3.01	15.75	127.27
0.00	6.32	13.10	90.91
0.00	2.74	7.38	100.00
0.00	2.14	5.02	100.00
0.00	3.13	13.39	127.27
0.00	3.01	13.61	127.27
0.00	1.77	8.15	100.00
0.00	3.25	7.85	100.00
0.00	2.66	16.95	145.45
0.00	1.89	17.88	209.09
0.00	2.83	15.84	145.45
0.00	1.53	18.36	254.55
0.00	1.93	17.06	327.27
0.00	3.40	10.04	100.00
0.00	0.00	5.30	100.00
0.00	2.44	18.87	272.73
0.00	4.24	17.80	145.45
0.00	0.70	14.98	518.18
0.00	1.96	17.36	163.64
0.00	1.77	9.26	100.00
0.00	2.63	15.49	118.18
0.00	1.28	17.53	272.73
0.00	1.31	3.40	100.00
